frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz
1,8.065719952,2.473114933,-0.5821510593,8.247211942,2.621576228,-0.6907489344,8.071665256,2.606040372,-0.7042698207,7.923817723,2.215799227,-0.3267820797,7.920161877,2.255660828,-0.5824852471,7.374329046,1.822044464,-0.2033442711,7.922384216,2.327243201,-0.8238813097,8.019035839,2.344815473,-0.5609061212,8.080498974,2.354890504,-0.4546432849,8.307959689,2.450502985,-0.3101960523,8.388350486,2.491576192,-0.1666680426,8.448511697,2.530532933,-0.3257720953,8.434778133,2.643010431,-0.643618048,8.516714605,2.508206069,-0.10303048,8.483561733,2.706803814,-0.9725087018
2,8.060647161,2.473990155,-0.5759688447,8.241917613,2.622568529,-0.684521164,8.067574082,2.606131878,-0.6983174477,7.918007503,2.21694419,-0.3201281751,7.916711436,2.256483177,-0.5721726736,7.369581419,1.822413108,-0.1974056622,7.917198526,2.327844005,-0.8178215675,8.013323096,2.344656559,-0.5556434445,8.07526898,2.35559975,-0.4479022939,8.302853332,2.451925631,-0.3038483981,8.383694267,2.49268955,-0.1606922216,8.443183439,2.532134817,-0.3191966296,8.429876886,2.644309352,-0.637246298,8.510552964,2.509639584,-0.09633019947,8.477871924,2.706988707,-0.9652850869
3,8.055585557,2.474908285,-0.5697991027,8.236643717,2.6236043,-0.6783027064,8.063438138,2.606308184,-0.6923626447,7.912241621,2.218119258,-0.3134778003,7.913197972,2.257350443,-0.5620730814,7.364834147,1.822849515,-0.1914737555,7.912045455,2.328500594,-0.8117726252,8.007621275,2.344582953,-0.5503685465,8.070054586,2.356363655,-0.4412015355,8.29775556,2.453381081,-0.2975132101,8.379009779,2.493862087,-0.1547010408,8.4378659,2.533768241,-0.3126428921,8.42498699,2.645634825,-0.6308841403,8.504383213,2.511110495,-0.08965490115,8.472226054,2.707256621,-0.9581121483
4,8.050534992,2.475869853,-0.5636416432,8.231390175,2.624684194,-0.6720932845,8.059256326,2.606570393,-0.6864050266,7.90652015,2.219324676,-0.306829362,7.90962096,2.258263469,-0.5521882056,7.360086912,1.8233545,-0.1855483843,7.906925122,2.329213892,-0.8057342927,8.001928761,2.344594851,-0.5450820372,8.064855628,2.357182906,-0.4345410555,8.292666182,2.454869998,-0.2911903232,8.374296392,2.495094843,-0.1486938592,8.432558747,2.535433838,-0.3061107025,8.420107993,2.646987756,-0.6245311937,8.49820395,2.512619724,-0.08300442584,8.466624072,2.707608688,-0.9509899096
5,8.045495313,2.476875377,-0.5574962732,8.226156904,2.625808854,-0.6658926179,8.055027545,2.606919594,-0.6804442141,7.900843158,2.220560679,-0.3001812611,7.905979885,2.259223061,-0.5425197837,7.355339391,1.823928867,-0.1796293833,7.901837641,2.329984817,-0.7997063771,7.996243937,2.344692436,-0.5397845313,8.059671939,2.358058176,-0.4279208981,8.287585,2.456393036,-0.2848795688,8.369553465,2.496388845,-0.1426700368,8.427261646,2.537132231,-0.2995998766,8.415239435,2.64836904,-0.6181870726,8.492013769,2.514168178,-0.07637861425,8.461065917,2.708046022,-0.9439183933
6,8.040466363,2.477925367,-0.551362797,8.220943814,2.626978912,-0.6597004227,8.050750681,2.607356862,-0.6744798331,7.895210706,2.221827496,-0.2935318926,7.902274238,2.260229991,-0.5330695552,7.350591254,1.82457341,-0.1737165883,7.896783122,2.330814274,-0.7936886822,7.990565178,2.344875879,-0.5344766473,8.054503349,2.358990123,-0.4213411056,8.282511814,2.457950837,-0.2785807743,8.364780353,2.497745113,-0.136628935,8.421974257,2.538864029,-0.2931102267,8.410380853,2.649779559,-0.6118513876,8.485811259,2.515756749,-0.06977730718,8.455551529,2.708569726,-0.9368976214
7,8.03544798,2.479020319,-0.5452410158,8.215750811,2.62819499,-0.6535164113,8.046424616,2.607883261,-0.6685115157,7.889622848,2.223125345,-0.2868796455,7.898503518,2.261284996,-0.5238392622,7.345842165,1.825288912,-0.1678098363,7.891761669,2.331703161,-0.7876810093,7.984890857,2.345145342,-0.5291590082,8.049349685,2.359979394,-0.4148017188,8.277446416,2.459544032,-0.2722937635,8.359976398,2.499164653,-0.1305699166,8.416696236,2.540629828,-0.2866415612,8.405531777,2.651220185,-0.6055237448,8.479595007,2.517386311,-0.06320034566,8.45008084,2.709180887,-0.9299276152
8,8.030439998,2.48016072,-0.5391307278,8.210577798,2.629457699,-0.6473402926,8.042048222,2.60849984,-0.6625388997,7.884079632,2.224454438,-0.2802229027,7.894667233,2.262388776,-0.5148306489,7.341091783,1.826076145,-0.1619089655,7.88677338,2.332652367,-0.7816831564,7.979219343,2.345500971,-0.5238322414,8.044210769,2.361026617,-0.4083027766,8.272388598,2.461173238,-0.2660183565,8.355140936,2.500648461,-0.1244923462,8.411427234,2.542430211,-0.2801936849,8.400691734,2.652691778,-0.5992037463,8.473363591,2.51905772,-0.05664757108,8.444653778,2.709880579,-0.9230083955
9,8.025442247,2.481347043,-0.5330317284,8.205424669,2.630767639,-0.641171772,8.03762036,2.609207635,-0.6565616293,7.878581098,2.225814979,-0.2735600409,7.890764897,2.263541994,-0.5060454621,7.336339761,1.826935871,-0.1560138158,7.881818347,2.333662767,-0.7756949191,7.973548999,2.345942901,-0.5184969787,8.039086422,2.362132411,-0.4018443165,8.267338144,2.462839063,-0.2597543694,8.350273293,2.502197523,-0.11839559,8.406166901,2.544265749,-0.2737663988,8.395860243,2.654195185,-0.5928909903,8.467115588,2.520771819,-0.05011882542,8.439270266,2.710669862,-0.9161399827
10,8.020454552,2.482579753,-0.52694381,8.200291315,2.632125402,-0.6350105511,8.033139886,2.610007668,-0.6505793552,7.87312728,2.227207166,-0.2668894307,7.886796034,2.264745275,-0.497485451,7.331585744,1.827868838,-0.1501242284,7.876896656,2.334735232,-0.7697160897,7.967878184,2.346471254,-0.5131538565,8.033976459,2.363297378,-0.3954263741,8.262294834,2.464542101,-0.2535016147,8.345372786,2.503812813,-0.112279016,8.400914879,2.546136998,-0.2673595001,8.391036818,2.655731242,-0.5865850708,8.460849568,2.522529431,-0.04361395129,8.433930222,2.71154978,-0.9093223968
