hyoid_data.tx,hyoid_data.ty,hyoid_data.tz,hyoid_data.rx,hyoid_data.ry,hyoid_data.rz
2.426583737,-0.3250303709,1.418151892,41.8537258,39.60808018,42.19653384
2.426221146,-0.3249612033,1.418017114,41.87603516,39.60977934,42.21621636
2.425866135,-0.3249127625,1.417877169,41.89978055,39.61043852,42.23595772
2.425518908,-0.3248846591,1.417732028,41.9249696,39.61005535,42.25577919
2.42517967,-0.3248764938,1.417581641,41.95161009,39.60862766,42.27570217
2.424848626,-0.3248878559,1.41742593,41.97970996,39.60615338,42.29574823
2.424525983,-0.3249183245,1.417264794,42.0092773,39.60263064,42.3159391
2.424211949,-0.3249674672,1.417098107,42.0403203,39.59805768,42.33629669
2.423906734,-0.3250348406,1.416925721,42.07284735,39.59243289,42.35684304
2.423610549,-0.3251199898,1.416747462,42.10686693,39.58575483,42.3776004
2.423323605,-0.3252224484,1.416563134,42.14238768,39.5780222,42.39859115
2.423045814,-0.3253431776,1.416377291,42.17928498,39.56917184,42.42003593
2.422776397,-0.3254826974,1.416192942,42.2174343,39.55917724,42.44201869
2.42251454,-0.3256398624,1.416007562,42.25684452,39.54809228,42.46435675
2.422259431,-0.3258135152,1.415818624,42.29752447,39.53597118,42.48686712
2.422010261,-0.3260024842,1.415623602,42.33948294,39.52286844,42.50936653
2.421766227,-0.3262055825,1.415419963,42.38272871,39.5088389,42.53167138
2.421526526,-0.3264216055,1.415205168,42.42727047,39.49393774,42.55359777
2.421290362,-0.3266493294,1.414976671,42.47311689,39.47822048,42.57496145
2.42105694,-0.3268875093,1.414731918,42.52027653,39.46174304,42.59557783
2.42082547,-0.3271348777,1.414468346,42.5687579,39.44456171,42.61526195
2.420595165,-0.327390142,1.414183386,42.61856932,39.42673321,42.63382845
2.420409745,-0.3276742527,1.413895693,42.67397153,39.40711859,42.65332393
2.420300638,-0.3280004345,1.413618608,42.73791509,39.38488337,42.6753633
2.420248596,-0.3283563026,1.413341896,42.80844171,39.36053856,42.69911086
2.420234331,-0.328730311,1.413055848,42.88359103,39.33459083,42.72372726
2.420238506,-0.3291119056,1.41275139,42.96140047,39.30754169,42.7483691
2.420241728,-0.3294916317,1.412420155,43.03990506,39.27988687,42.77218866
2.420224543,-0.329861198,1.412054527,43.11713745,39.25211583,42.79433369
2.420167435,-0.3302134931,1.411647645,43.19112787,39.22471139,42.81394728
2.420050822,-0.3305425562,1.411193382,43.2599042,39.1981496,42.83016791
2.419855065,-0.3308434993,1.410686296,43.32149207,39.17289965,42.84212951
2.419560464,-0.3311123811,1.410121543,43.37391492,39.14942402,42.8489617
2.419178231,-0.331371205,1.409456033,43.42086008,39.12651607,42.85160233
2.418738995,-0.3316385031,1.408670262,43.46696077,39.1029107,42.85157246
2.418252063,-0.3319059024,1.407795329,43.51165694,39.07897607,42.8488722
2.417726622,-0.3321652576,1.406862558,43.5543874,39.05507798,42.84349985
2.417171736,-0.3324086531,1.405903487,43.59458968,39.03157973,42.83545181
2.416596341,-0.3326283985,1.40494987,43.63169991,39.0088421,42.82472243
2.41600925,-0.3328170162,1.404033661,43.66515265,38.98722319,42.81130392
2.415419151,-0.3329672218,1.403187003,43.69438078,38.96707849,42.79518619
2.414834607,-0.3330718967,1.402442221,43.71881526,38.94876075,42.77635676
2.414264069,-0.333124054,1.4018318,43.73788503,38.93262005,42.75480057
2.413715879,-0.3331167959,1.401388371,43.75101672,38.91900379,42.73049987
2.413173918,-0.3330375684,1.401077749,43.75531243,38.90841202,42.70132953
2.412615168,-0.3328909329,1.400837774,43.74938277,38.90070231,42.66589091
2.412037613,-0.3326952039,1.400658944,43.73491727,38.89525955,42.62525711
2.411439342,-0.3324681028,1.400531404,43.71360899,38.89147404,42.58050621
2.410818536,-0.3322268361,1.400444983,43.68715563,38.88874265,42.53272174
2.410173477,-0.3319881578,1.400389213,43.65726027,38.88646972,42.48299309
2.409502534,-0.3317684166,1.400353348,43.62563173,38.88406752,42.43241555
2.408804169,-0.3315835872,1.400326389,43.59398464,38.88095658,42.38209032
2.408076925,-0.3314492863,1.400297089,43.56403916,38.87656553,42.33312411
2.40731943,-0.3313807728,1.400253974,43.53752035,38.87033072,42.28662877
2.40653039,-0.3313929321,1.400185347,43.51615722,38.86169549,42.2437205
2.405713063,-0.3314525937,1.400203373,43.49709873,38.85111822,42.20268185
2.404872833,-0.3315201277,1.400399844,43.47670713,38.8395474,42.16116598
2.404011735,-0.331600291,1.400732473,43.45553315,38.82716752,42.11934722
2.403131917,-0.3316976576,1.401159144,43.43412682,38.81416494,42.07739894
2.402235647,-0.3318166276,1.401637911,43.41303739,38.80072787,42.0354935
2.401325312,-0.3319614342,1.402126994,43.39281328,38.78704634,41.99380225
2.400403413,-0.3321361505,1.402584781,43.37400208,38.77331209,41.95249549
2.399472565,-0.3323446948,1.402969832,43.35715044,38.75971851,41.91174242
2.398535493,-0.3325908348,1.403240888,43.3428041,38.74646043,41.87171116
2.397595024,-0.3328781914,1.403356877,43.33150786,38.73373395,41.83256869
2.396654079,-0.3332102411,1.403276931,43.32380556,38.72173618,41.79448091
2.395688511,-0.3336548359,1.402948809,43.32114447,38.70886939,41.76026061
2.394678171,-0.3342515994,1.402377682,43.32371479,38.69389417,41.73155548
2.393631902,-0.3349616299,1.401609137,43.33016986,38.67754106,41.70677825
2.392558376,-0.3357461805,1.400688983,43.33915947,38.66053599,41.68433701
2.391466108,-0.3365667201,1.399663253,43.34933175,38.64360179,41.66263664
2.390363471,-0.3373849772,1.398578226,43.35933417,38.6274593,41.64007958
2.389258701,-0.3381629662,1.397480465,43.36781398,38.61282776,41.61506623
2.388159897,-0.338862997,1.396416885,43.37341764,38.60042468,41.58599456
2.38707501,-0.3394476665,1.395434839,43.3747897,38.59096514,41.55125935
2.386011834,-0.3398798333,1.394582224,43.37057084,38.58516049,41.50925075
2.38497798,-0.3401225733,1.393907616,43.35939512,38.58371645,41.4583524
2.383968614,-0.3401991328,1.39334507,43.34151835,38.5853323,41.40021382
2.382972354,-0.3401689665,1.392803219,43.3186587,38.58828721,41.33789702
2.381986834,-0.3400495394,1.392292965,43.29163684,38.59265267,41.27189759
2.381009686,-0.3398582986,1.391825032,43.26127325,38.59850264,41.20271031
2.380038542,-0.339612725,1.391409952,43.22838821,38.60591398,41.13082884
2.379071044,-0.3393303752,1.391058041,43.19380184,38.61496683,41.05674548
2.378104847,-0.339028912,1.390779387,43.15833416,38.62574477,40.98095108
2.377137615,-0.3387261247,1.390583825,43.12280528,38.63833499,40.90393501
2.376167024,-0.3384399389,1.390480918,43.0880356,38.65282829,40.82618525
2.375190757,-0.3381884149,1.390479936,43.05484615,38.66931899,40.74818854
2.374206494,-0.3379897359,1.390589829,43.02405892,38.68790476,40.67043072
2.373188627,-0.3377656073,1.390902049,42.99404529,38.70994207,40.59098831
2.372120754,-0.3374425126,1.391467806,42.96275111,38.73627113,40.50778754
2.371014471,-0.3370457458,1.39223529,42.93036405,38.76621848,40.4210919
2.369881522,-0.336600411,1.393152482,42.89707645,38.79911221,40.33117049
2.36873381,-0.33613141,1.394167117,42.86308593,38.83428214,40.23829887
2.367583393,-0.3356634288,1.395226665,42.82859601,38.87105999,40.14275973
2.366442489,-0.3352209215,1.396278307,42.79381653,38.90877946,40.04484339
2.365323472,-0.3348280923,1.397268918,42.75896393,38.94677636,39.94484815
2.364238868,-0.3345088761,1.398145046,42.72426146,38.98438865,39.84308044
2.363201347,-0.3342869164,1.3988529,42.68993916,39.02095639,39.73985475
2.36222372,-0.3341855402,1.399338343,42.65623379,39.05582178,39.63549349
2.361307129,-0.3342114568,1.399628499,42.62612629,39.09077663,39.52774777
2.360440321,-0.3343456247,1.399803371,42.60143946,39.12771172,39.41488964
2.359617694,-0.3345723703,1.399886663,42.58068433,39.16611733,39.29803649
2.358833782,-0.3348758778,1.399900281,42.56238166,39.20548024,39.1783173
2.358083289,-0.3352402026,1.399864146,42.54506278,39.24528297,39.05687348
2.357361103,-0.3356492673,1.399796061,42.52727003,39.28500337,38.93485931
2.356662306,-0.336086842,1.399711662,42.50755695,39.32411462,38.81344192
2.355982175,-0.3365365077,1.399624414,42.48448795,39.3620857,38.69380092
2.355316182,-0.3369816036,1.399545697,42.45663767,39.39838226,38.57712753
2.354659975,-0.3374051574,1.399484942,42.42258989,39.43246784,38.46462342
2.354009374,-0.3377897998,1.399449838,42.38093603,39.46380561,38.35749908
2.353390406,-0.3381691563,1.399356389,42.33018511,39.49211432,38.25106598
2.352823824,-0.3385808261,1.399140874,42.27077295,39.51777774,38.14082874
2.352297629,-0.3390133762,1.398839654,42.20418651,39.54126213,38.02829205
2.351799787,-0.3394559211,1.398488357,42.13191247,39.56304064,37.91495788
2.351318212,-0.3398982243,1.398121957,42.05543605,39.58359405,37.80232418
2.35084075,-0.3403307695,1.397774855,41.9762401,39.60341102,37.69188386
2.350355174,-0.3407448005,1.397480957,41.89580447,39.622988,37.5851243
2.34984918,-0.3411323303,1.397273766,41.8156058,39.64282878,37.48352721
2.349310387,-0.3414861182,1.397186464,41.73711752,39.66344359,37.38856894
2.348726346,-0.3417996161,1.397252001,41.66181038,39.68534788,37.30172134
2.348084548,-0.3420668828,1.397503186,41.59115316,39.70906076,37.2244529
2.347398422,-0.34232183,1.397874563,41.52421427,39.73242007,37.15996879
2.346692042,-0.3425946035,1.39827847,41.45891803,39.75349151,37.10881604
2.345968736,-0.3428741009,1.398715721,41.39500755,39.77313085,37.06846695
2.345231719,-0.3431494248,1.399188548,41.33221862,39.79218556,37.03638686
2.344484122,-0.3434099622,1.399700185,41.27028403,39.81149554,37.01003719
2.343729005,-0.3436454477,1.400254557,41.20893657,39.83189365,36.98687745
2.342969378,-0.3438460081,1.400856083,41.14791056,39.8542062,36.96436626
2.342208201,-0.3440021896,1.401509583,41.08694203,39.8792531,36.93996142
2.341448392,-0.3441049642,1.4022203,41.02576749,39.90784795,36.91111885
2.34069282,-0.344145716,1.402994023,40.96412135,39.94079787,36.87529067
2.339944295,-0.3441162056,1.403837324,40.9017319,39.97890322,36.82992218
2.339150695,-0.3439909108,1.404794104,40.83937401,40.02199828,36.7773277
2.338273276,-0.3437641126,1.405885371,40.77777852,40.06904277,36.72182199
2.337334887,-0.3434572623,1.407084106,40.71659954,40.1195198,36.66384476
2.336358408,-0.3430914512,1.40836325,40.65549044,40.17291257,36.60383751
2.335366742,-0.3426874028,1.409695717,40.59410386,40.22870439,36.54224362
2.334382801,-0.3422654662,1.411054411,40.53209167,40.28637868,36.47950854
2.333429502,-0.341845611,1.412412232,40.46910505,40.34541899,36.41607987
2.332529755,-0.3414474244,1.413742079,40.40479456,40.40530899,36.35240751
2.331706465,-0.3410901097,1.415016855,40.3388104,40.46553243,36.28894377
2.330982528,-0.3407924863,1.416209463,40.27080254,40.52557313,36.22614347
2.330380826,-0.3405729917,1.4172928,40.20042109,40.58491495,36.16446401
2.329931037,-0.3403891055,1.41833222,40.12846592,40.64676346,36.10119402
2.32962852,-0.3401918303,1.419404787,40.05578598,40.71386204,36.03410011
2.329444712,-0.3399891434,1.420500687,39.98210887,40.78500371,35.96436326
2.329351108,-0.3397884112,1.421609673,39.90716886,40.85898482,35.89317175
2.329319252,-0.3395963974,1.422721021,39.8307085,40.93460518,35.82172246
2.329320742,-0.3394192769,1.423823516,39.75247967,41.01066828,35.75122156
2.329327221,-0.3392626517,1.424905474,39.67224395,41.08598146,35.68288469
2.329310377,-0.3391315716,1.425954801,39.58977236,41.1593562,35.61793648
2.329241934,-0.3390305561,1.426959088,39.50484444,41.22960842,35.55760954
2.329093646,-0.3389636183,1.42790574,39.41724664,41.29555871,35.50314287
2.328837286,-0.3389342902,1.428782143,39.32677006,41.35603271,35.45577959
2.328517283,-0.338939166,1.42955664,39.23060818,41.41160663,35.41771787
2.32819499,-0.3389662579,1.430219221,39.12729464,41.46399614,35.38896577
2.327867424,-0.3390066666,1.430790722,39.01862666,41.51373282,35.36747559
2.32753141,-0.3390527267,1.431292915,38.90639626,41.56133646,35.35119265
2.327183589,-0.3390981741,1.431748282,38.79239264,41.607313,35.33805783
2.326820441,-0.3391382402,1.432179835,38.67840382,41.65215339,35.32600949
2.32643831,-0.3391696723,1.432611006,38.56621747,41.69633326,35.31298465
2.326033423,-0.3391906776,1.433065584,38.45762085,41.74031341,35.29691937
2.325601916,-0.3392007934,1.433567711,38.35440003,41.78454122,35.27574843
2.325139852,-0.339200679,1.434141929,38.25833825,41.82945277,35.24740405
2.324643223,-0.3391918325,1.434813278,38.17121354,41.87547586,35.20981385
2.324089769,-0.3391591991,1.435581467,38.09257737,41.9204832,35.16850122
2.323469103,-0.3390963641,1.436418317,38.01999828,41.96256639,35.12956499
2.32279502,-0.3390179552,1.437307068,37.95227276,42.00247908,35.09179064
2.322081361,-0.3389383093,1.438230453,37.8881955,42.04097663,35.05396339
2.321342004,-0.3388715159,1.439170777,37.82655922,42.07881568,35.01486802
2.320590858,-0.3388314524,1.440109974,37.76615454,42.11675386,34.97328871
2.319841844,-0.3388318094,1.441029671,37.70576966,42.15554941,34.92800886
2.319108892,-0.3388861074,1.441911229,37.64419004,42.19596096,34.87781096
2.318405915,-0.339007705,1.44273578,37.58019794,42.23874732,34.82147639
2.317746797,-0.3392097983,1.443484252,37.51257196,42.28466727,34.75778531
2.317130102,-0.3394780126,1.444177891,37.44989549,42.33219007,34.68531293
2.316540465,-0.3397873541,1.444855532,37.39920939,42.37949145,34.60416937
2.315970988,-0.3401340397,1.44552351,37.35697683,42.42689898,34.51543699
2.315414908,-0.340513522,1.446187187,37.3196657,42.47474681,34.42020144
2.314865559,-0.3409209161,1.446851032,37.28375148,42.52337013,34.31955394
2.314316354,-0.3413512424,1.447518634,37.24571934,42.57310181,34.21459296
2.31376078,-0.3417994841,1.448192621,37.20206553,42.62427112,34.10642544
2.313192428,-0.342260463,1.448874496,37.14929798,42.67720465,33.99616733
2.312605042,-0.3427285366,1.449564398,37.08393615,42.73222933,33.88494367
2.311992595,-0.3431971172,1.450260761,37.00251012,42.78967763,33.77388799
2.311349391,-0.3436580181,1.450959886,36.90155894,42.84989491,33.66414122
2.310668583,-0.3441319083,1.451559636,36.78265074,42.91220063,33.55398075
2.309952001,-0.344637616,1.451987772,36.65058405,42.97576586,33.44116928
2.309207316,-0.3451627842,1.452283767,36.50674655,43.04073031,33.32607434
2.308442201,-0.345695633,1.452487532,36.35252228,43.10723497,33.20905527
2.307664323,-0.3462252065,1.452639562,36.1892911,43.17542099,33.0904625
2.306881324,-0.3467415849,1.45278108,36.01842818,43.24542854,32.97063699
2.306100805,-0.3472360631,1.452954143,35.84130363,43.31739582,32.84990974
2.305330306,-0.3477012948,1.45320175,35.65928211,43.39145816,32.72860143
2.304577283,-0.3481314036,1.453567918,35.47372267,43.46774718,32.60702211
2.303849091,-0.3485220614,1.454097744,35.28597862,43.54639007,32.48547109
2.303152954,-0.3488705346,1.454837439,35.09739759,43.62750901,32.3642368
2.302464607,-0.3491552482,1.455698177,34.901469,43.71165656,32.2409197
2.301761549,-0.3493616085,1.456563879,34.69250876,43.79909395,32.11351574
2.301053342,-0.3494996906,1.457441759,34.47310064,43.8894983,31.98289719
2.300349241,-0.3495812374,1.458340613,34.24582937,43.98253986,31.84993497
2.299658148,-0.3496198056,1.459271047,34.01328084,44.07788044,31.71549951
2.298988591,-0.3496308447,1.460245659,33.7780422,44.1751722,31.58046166
2.298348704,-0.3496317122,1.461279165,33.54270214,44.27405675,31.44569365
2.297746236,-0.3496416281,1.462388477,33.30985103,44.37416471,31.3120701
