inf_data.tx,inf_data.ty,inf_data.tz,inf_data.rx,inf_data.ry,inf_data.rz
3.737775876,0.1176838868,0.7629211448,2.425920222,11.77872202,52.48736998
3.736595484,0.1172995293,0.7625240394,2.419837501,11.7634399,52.37297472
3.735445438,0.1169208778,0.7621243895,2.414196831,11.74819229,52.25761444
3.734325969,0.1165479547,0.761722168,2.408987517,11.73298389,52.14129301
3.733237308,0.1161807885,0.7613173446,2.404198832,11.71781937,52.02401424
3.732179692,0.1158194133,0.7609098865,2.399820027,11.70270335,51.90578194
3.731153357,0.115463869,0.7604997584,2.395840323,11.68764045,51.7865999
3.730158544,0.115114201,0.760086923,2.392248909,11.67263522,51.66647191
3.729195495,0.11477046,0.7596713406,2.38903495,11.65769221,51.54540174
3.728264456,0.1144327019,0.7592529699,2.386187575,11.64281591,51.42339315
3.727365676,0.1141009878,0.7588317677,2.383695884,11.62801078,51.30044993
3.726503321,0.1137733476,0.758412063,2.381310473,11.6133185,51.17671576
3.725679176,0.113448958,0.7579969459,2.378866322,11.59876548,51.05226055
3.724889919,0.1131296419,0.7575845198,2.376479023,11.5843341,50.9269771
3.724132223,0.112817274,0.7571728944,2.374264082,11.57000798,50.8007579
3.723402759,0.1125137833,0.756760184,2.372336917,11.55577199,50.67349505
3.722698193,0.1122211554,0.7563445054,2.370812851,11.54161227,50.54508032
3.722015193,0.1119414345,0.7559239762,2.369807103,11.52751626,50.41540511
3.721350421,0.1116767265,0.7554967137,2.36943479,11.51347275,50.28436051
3.720700542,0.1114292012,0.7550608328,2.369810912,11.49947188,50.15183725
3.720062221,0.1112010956,0.7546144458,2.371050349,11.48550521,50.01772572
3.719432124,0.1109947161,0.7541556607,2.373267852,11.47156574,49.88191599
3.71883785,0.1108356349,0.7536875929,2.377399073,11.45741816,49.7448134
3.718301187,0.1107421122,0.7532133852,2.384045738,11.44293212,49.60675918
3.717810068,0.1107054284,0.7527314539,2.392820186,11.42825626,49.46754636
3.717352401,0.1107166798,0.7522405968,2.403332759,11.413535,49.3269669
3.716916065,0.1107667421,0.7517400137,2.415191694,11.39890842,49.1848115
3.716488907,0.1108462406,0.751229322,2.428003045,11.38451203,49.04086942
3.716058744,0.1109455276,0.7507085678,2.441370635,11.37047665,48.89492834
3.71561335,0.1110546669,0.7501782322,2.454896033,11.35692827,48.74677432
3.715140461,0.1111634263,0.7496392331,2.46817856,11.34398794,48.59619174
3.714627759,0.1112612764,0.7490929222,2.480815313,11.33177166,48.44296329
3.714062874,0.1113373983,0.7485410775,2.492401221,11.32039036,48.28687012
3.713442752,0.1113859785,0.747926604,2.503038945,11.30771369,48.12874901
3.712780914,0.1114141302,0.7472108842,2.513149244,11.29222233,47.96947313
3.712089633,0.1114302879,0.7464245983,2.522793057,11.27493862,47.80887066
3.711380943,0.1114430027,0.7455995926,2.532018455,11.25688327,47.64676139
3.710666646,0.1114609585,0.7447688901,2.540860446,11.23907524,47.48295666
3.709958308,0.1114929812,0.743966707,2.549340731,11.22253168,47.3172592
3.709267256,0.1115480403,0.7432284745,2.557467397,11.2082677,47.14946301
3.70860458,0.1116352433,0.7425908679,2.565234559,11.19729635,46.97935304
3.707981131,0.1117638248,0.7420918402,2.572621925,11.19062834,46.80670493
3.707407517,0.1119431298,0.7417706629,2.579594295,11.18927193,46.63128451
3.706894103,0.112182592,0.7416679725,2.586100982,11.19423265,46.45284737
3.706423052,0.1124778206,0.7418002862,2.591334647,11.20498008,46.27299183
3.705969319,0.1128131126,0.742134097,2.594737062,11.21999049,46.09302743
3.705532258,0.1131812056,0.742636662,2.596620288,11.2387816,45.91226621
3.705111187,0.1135750778,0.7432760514,2.597297642,11.26087685,45.73001748
3.704705379,0.1139878956,0.7440211733,2.597083455,11.28580542,45.54558813
3.704314048,0.1144129729,0.7448418144,2.596292836,11.31310232,45.35828294
3.703936343,0.1148437446,0.7457086948,2.595241454,11.34230854,45.16740467
3.703571335,0.1152737526,0.7465935394,2.59424533,11.37297132,44.97225424
3.703218008,0.1156966442,0.747469164,2.593620629,11.40464446,44.77213069
3.702875253,0.1161061832,0.7483095765,2.593683472,11.43688873,44.56633116
3.702541855,0.1164962736,0.749090094,2.594749739,11.46927234,44.35415076
3.702239274,0.1169093263,0.7500704285,2.595651536,11.50472134,44.13863316
3.701982942,0.1173833727,0.751461462,2.595235481,11.54570363,43.92251132
3.70176255,0.1179059846,0.7531671396,2.593840603,11.59111401,43.70461221
3.701567819,0.1184648297,0.7550925675,2.591807652,11.63985813,43.48376323
3.701388478,0.1190476348,0.7571441135,2.589478601,11.69085293,43.25879315
3.701214251,0.119642186,0.7592295117,2.587196266,11.74302716,43.02853267
3.701034858,0.1202363666,0.7612579707,2.585304046,11.79532214,42.7918148
3.700840008,0.1208182296,0.763140286,2.584145783,11.84669262,42.54747481
3.700619413,0.121376105,0.7647889553,2.584065723,11.89610785,42.29434999
3.700362805,0.1218987405,0.7661182959,2.585408584,11.9425528,42.03127918
3.700059951,0.1223754739,0.7670445659,2.588519712,11.98502957,41.75710194
3.69969254,0.1228416748,0.7677202851,2.593996128,12.02555086,41.4730278
3.699258433,0.1233336047,0.768352586,2.60174209,12.06658293,41.18113915
3.698771532,0.1238424818,0.7689409899,2.611061809,12.10781283,40.88157888
3.698245499,0.1243595325,0.7694846754,2.621256017,12.1489151,40.57448166
3.697693748,0.1248760251,0.7699823544,2.631622022,12.18955124,40.25997373
3.697129445,0.1253832935,0.7704321457,2.641453831,12.22936911,39.93817268
3.696565519,0.1258727491,0.7708314466,2.650042354,12.26800229,39.60918721
3.696014675,0.1263358815,0.7711768009,2.656675683,12.30506927,39.27311699
3.695489423,0.126764247,0.7714637636,2.660639452,12.3401726,38.93005249
3.695002107,0.1271494456,0.7716867621,2.661217291,12.3728979,38.58007493
3.694564945,0.1274830838,0.771838954,2.657691351,12.40281274,38.22325622
3.694155211,0.127833529,0.7718847941,2.645610745,12.43041161,37.84956317
3.693744152,0.1282631217,0.7718485085,2.622580879,12.45644409,37.45204949
3.693335405,0.1287537789,0.7718036205,2.591026833,12.48086228,37.03543297
3.692933182,0.1292860359,0.771811545,2.553459861,12.50364853,36.60445896
3.692542133,0.1298384655,0.7719205262,2.512483853,12.52482392,36.16389652
3.69216723,0.1303872369,0.7721649619,2.470798871,12.54445358,35.71853402
3.691813673,0.1309058299,0.7725651076,2.431201965,12.56264885,35.27317443
3.69148681,0.1313649257,0.7731271581,2.396585511,12.57956624,34.83263108
3.691192096,0.1317324934,0.7738437004,2.369933353,12.59540316,34.40172418
3.690935059,0.1319740898,0.7746945332,2.354315042,12.61039036,33.98527871
3.690721312,0.1320533905,0.7756478489,2.352878446,12.6247812,33.58812427
3.690509777,0.1319501032,0.7765630132,2.36361342,12.63551902,33.19262134
3.69026727,0.1316943544,0.7773624224,2.381785203,12.64059333,32.7816887
3.690011414,0.1313218717,0.7780965721,2.406556785,12.64179528,32.36103374
3.689759801,0.1308646318,0.7788105122,2.437155398,12.64085316,31.93641405
3.689529798,0.13035062,0.7795443352,2.472871536,12.6394231,31.51363738
3.689338322,0.1298037095,0.7803335663,2.51305728,12.63908246,31.09855902
3.689201632,0.129243652,0.7812094657,2.557123808,12.64132604,30.69707709
3.68913513,0.1286861722,0.7821992455,2.604538017,12.64756547,30.31512659
3.689153209,0.1281431552,0.7833262082,2.654818134,12.65913187,29.9586729
3.689269146,0.1276229213,0.784609811,2.707528262,12.67728193,29.6337051
3.689495059,0.1271305774,0.7860656588,2.762271742,12.70320749,29.34622981
3.689832691,0.1265161232,0.7875292529,2.828847579,12.73508436,29.09704358
3.690268291,0.1256616925,0.7888337493,2.914601493,12.77015742,28.88016294
3.690789832,0.1246190894,0.7899946341,3.01543066,12.8081482,28.69143733
3.691385203,0.1234404621,0.7910347905,3.127171295,12.84875325,28.52671417
3.692042226,0.1221777757,0.7919833672,3.245606387,12.8916638,28.38183222
3.6927487,0.1208824661,0.7928748475,3.366472267,12.93658085,28.25261668
3.693492487,0.1196052857,0.7937483168,3.485464119,12.98322562,28.13487595
3.694261623,0.1183963529,0.7946469333,3.59824054,13.03134523,28.02440049
3.695044468,0.1173054102,0.7956176009,3.700427137,13.08071362,27.91696339
3.695829875,0.1163823,0.7967108467,3.787619147,13.13112768,27.80832298
3.696607399,0.1156776632,0.7979809046,3.855383085,13.18239837,27.69422712
3.697424575,0.1151216776,0.7994093215,3.907272789,13.23651285,27.59049148
3.698321139,0.1146035179,0.8009215891,3.950449608,13.29494978,27.51225748
3.699276641,0.1141157169,0.8024928769,3.985846459,13.35680142,27.45424865
3.700271813,0.1136534132,0.8041015625,4.014367748,13.42120027,27.4111778
3.701288358,0.113213913,0.8057296707,4.036892551,13.48730361,27.37774751
3.702308763,0.1127963443,0.8073632049,4.054276693,13.55428163,27.34865027
