susp_data.tx,susp_data.ty,susp_data.tz,susp_data.rx,susp_data.ry,susp_data.rz
1.699884683,1.388690658,1.964700686,-3.24182334,18.68288614,22.52543514
1.699685601,1.388424078,1.964616918,-3.225366247,18.69008862,22.5117043
1.699488617,1.388147042,1.964506955,-3.209429317,18.6968773,22.49892951
1.699293812,1.387859467,1.964370708,-3.194008682,18.70324717,22.4871233
1.699101273,1.38756126,1.964208093,-3.179100504,18.70919325,22.47629823
1.698911084,1.387252324,1.964019035,-3.164700974,18.71471059,22.46646688
1.698723334,1.386932555,1.963803469,-3.150806318,18.7197943,22.4576418
1.69853811,1.386601842,1.963561335,-3.137412792,18.72443951,22.44983561
1.698355501,1.386260066,1.963292582,-3.124516689,18.72864139,22.44306091
1.698175597,1.385907103,1.962997168,-3.112114337,18.73239516,22.43733032
1.697998489,1.385542822,1.96267506,-3.1002021,18.73569608,22.43265648
1.697825254,1.385166962,1.962329683,-3.088782855,18.73854399,22.42912496
1.697656662,1.384779535,1.961963328,-3.077869531,18.74095752,22.42674953
1.697492349,1.384380808,1.961574284,-3.06747374,18.74296012,22.42543502
1.69733195,1.383971038,1.961160868,-3.057607272,18.74457519,22.42508605
1.6971751,1.383550473,1.960721418,-3.048282091,18.74582614,22.42560706
1.697021437,1.383119354,1.960254295,-3.039510326,18.74673633,22.42690228
1.696870597,1.382677915,1.959757878,-3.031304263,18.74732907,22.42887575
1.696722217,1.382226382,1.959230562,-3.023676337,18.74762766,22.43143133
1.696575936,1.381764975,1.958670759,-3.016639128,18.74765535,22.43447266
1.696431393,1.38129391,1.958076891,-3.010205348,18.74743533,22.4379032
1.696288227,1.380813397,1.957447395,-3.004387839,18.74699078,22.44162622
1.696160182,1.380306857,1.956780892,-2.998596901,18.74576039,22.44708146
1.696057715,1.379762192,1.956077735,-2.992400819,18.74332593,22.45537546
1.695975511,1.379186284,1.955339032,-2.986050173,18.73992456,22.46591024
1.695908211,1.378585969,1.954565977,-2.97979638,18.7357926,22.47808621
1.695850407,1.377968033,1.953759835,-2.973891622,18.73116562,22.49130205
1.695796644,1.377339215,1.95292193,-2.968588779,18.7262784,22.50495471
1.695741416,1.376706209,1.952053635,-2.964141392,18.72136491,22.51843941
1.695679166,1.376075667,1.951156366,-2.960803628,18.7166583,22.53114958
1.695604289,1.375454201,1.950231571,-2.958830259,18.71239088,22.54247695
1.695511126,1.374848389,1.949280729,-2.958476662,18.7087941,22.55181148
1.695393975,1.374264777,1.948305344,-2.959998828,18.70609846,22.55854148
1.695252741,1.37367912,1.947258542,-2.963049497,18.70380382,22.56274411
1.695093532,1.373069318,1.946109269,-2.96714241,18.70133944,22.56513273
1.694919833,1.372445121,1.944882784,-2.972325532,18.69882918,22.5660485
1.694735031,1.371816274,1.943604355,-2.978646851,18.69639679,22.56583239
1.69454241,1.371192522,1.942299253,-2.9861544,18.69416595,22.56482517
1.694345148,1.370583605,1.940992746,-2.994896277,18.69226032,22.5633674
1.694146318,1.369999264,1.939710095,-3.004920659,18.69080352,22.56179938
1.693948893,1.369449249,1.938476558,-3.016275816,18.68991929,22.56046116
1.693755741,1.368943332,1.937317389,-3.029010118,18.68973141,22.55969254
1.693569634,1.368491318,1.936257837,-3.043172042,18.69036384,22.55983301
1.693393254,1.368103069,1.935323159,-3.058810177,18.69194074,22.56122181
1.693230354,1.36777863,1.934495731,-3.076529017,18.69481267,22.5627236
1.693079687,1.367504774,1.933733859,-3.096661926,18.69906687,22.56318932
1.692936425,1.367271602,1.933026617,-3.118850409,18.70443374,22.56293872
1.692795804,1.367069312,1.932362977,-3.14273514,18.71064525,22.56229373
1.692653125,1.366888185,1.931731816,-3.16795579,18.71743515,22.56157853
1.692503753,1.366718567,1.931121922,-3.194150919,18.72453909,22.56111968
1.692343109,1.366550869,1.930522001,-3.220957961,18.73169466,22.56124621
1.692166672,1.366375558,1.929920677,-3.248013273,18.73864143,22.56228954
1.691969981,1.366183166,1.929306496,-3.274952266,18.74512084,22.56458347
1.691748624,1.365964297,1.928667917,-3.301409614,18.75087605,22.56846401
1.691498249,1.365709642,1.927993314,-3.327019526,18.75565175,22.57426927
1.691214821,1.365469908,1.92736489,-3.35302417,18.76033843,22.5822957
1.690900635,1.36529077,1.92685202,-3.380694372,18.76581247,22.59235094
1.690560956,1.36515554,1.926423715,-3.409706697,18.77179871,22.60404277
1.690201163,1.365047618,1.926048907,-3.439736994,18.77802237,22.61698102
1.689826745,1.36495048,1.925696435,-3.470460332,18.784209,22.63077778
1.689443307,1.364847665,1.925335034,-3.501550965,18.79008434,22.64504743
1.689056569,1.364722784,1.924933332,-3.532682317,18.79537425,22.65940667
1.68867236,1.364559534,1.924459852,-3.563526992,18.79980458,22.67347446
1.688296619,1.364341732,1.923883014,-3.593756805,18.8031011,22.68687186
1.687935386,1.364053353,1.923171145,-3.623042824,18.80498943,22.69922181
1.687594796,1.36367859,1.922292492,-3.651055438,18.80519487,22.71014887
1.687249619,1.363204531,1.921219578,-3.676612596,18.80302236,22.71967171
1.686876134,1.362639244,1.919966175,-3.699229686,18.79830338,22.72824105
1.686482726,1.361998503,1.918562417,-3.719623346,18.79155236,22.73612799
1.686077687,1.36129793,1.917038498,-3.738510769,18.7832833,22.74360066
1.685669226,1.36055295,1.915424659,-3.756609498,18.77401008,22.7509249
1.685265481,1.359778762,1.913751166,-3.774637257,18.7642467,22.75836473
1.684874525,1.358990301,1.912048298,-3.793311814,18.75450752,22.76618269
1.684504368,1.358202229,1.910346336,-3.813350872,18.74530746,22.77464006
1.684162961,1.357428913,1.908675546,-3.835471985,18.73716219,22.78399687
1.683858196,1.356684419,1.907066176,-3.860392513,18.73058832,22.79451189
1.683597904,1.355982518,1.905548447,-3.888829591,18.72610349,22.80644232
1.683412211,1.355293935,1.904084132,-3.918270626,18.72327207,22.820088
1.683313185,1.354584802,1.902615427,-3.946330069,18.72125412,22.83537757
1.683281511,1.353861735,1.901143111,-3.973915517,18.71996276,22.85200969
1.683297866,1.353131292,1.899667892,-4.001934671,18.71931254,22.8696824
1.68334292,1.352399982,1.898190412,-4.03129533,18.71921972,22.88809317
1.683397338,1.351674278,1.896711237,-4.062905384,18.71960243,22.90693894
1.683441781,1.35096063,1.895230852,-4.097672778,18.72038095,22.92591623
1.68345691,1.350265496,1.893749639,-4.136505473,18.721478,22.9447213
1.68342339,1.349595372,1.892267855,-4.180311384,18.72281907,22.96305031
1.683321897,1.348956828,1.890785606,-4.229998299,18.72433284,22.9805996
1.683133124,1.348356556,1.889302804,-4.286473787,18.72595152,22.99706592
1.682870325,1.347788866,1.8877972,-4.351183082,18.72886753,23.01342957
1.682563416,1.347242239,1.886251622,-4.423998152,18.73395184,23.03065322
1.682218066,1.346714879,1.884673651,-4.503466637,18.74065477,23.0484089
1.681839886,1.346205166,1.883071248,-4.588136608,18.74842193,23.0663704
1.681434419,1.345711631,1.88145284,-4.676556768,18.75669304,23.08421338
1.68100713,1.345232943,1.879827391,-4.767276616,18.76490107,23.10161538
1.680563402,1.344767886,1.878204454,-4.858846598,18.77247154,23.11825578
1.68010853,1.344315345,1.876594206,-4.949818221,18.77882216,23.13381563
1.679647715,1.343874284,1.875007471,-5.038744143,18.78336262,23.14797748
1.679186066,1.343443733,1.873455716,-5.124178218,18.78549476,23.16042501
1.678728597,1.343022757,1.871951041,-5.204675512,18.78461283,23.17084268
1.678227524,1.342604066,1.870444118,-5.281717298,18.78049139,23.17977174
1.677646272,1.342184209,1.868887337,-5.357863358,18.77364105,23.18796448
1.677006561,1.341767802,1.867295928,-5.433287077,18.7645539,23.19542106
1.676330049,1.341359121,1.86568525,-5.50816126,18.753721,23.20214032
1.675638327,1.340962071,1.864070776,-5.582657989,18.74163246,23.20812011
