frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz
1,8.378982846,2.342672837,-0.07278747599,8.315502738,2.133115346,-0.03384754557,8.061221621,2.093039283,0.03820991028,NaN,NaN,NaN,7.48321559,1.691518596,-0.4448650989,8.66886527,2.431511527,-0.5468858563,8.539963499,2.327975855,-0.2564315963,8.363607872,2.231693416,-0.5951822519,7.997974142,1.926277786,0.1747467797,8.10885128,2.071938905,-0.5614078318,8.440252907,2.164577098,0.6535058339,8.07744012,2.066911251,-0.6934466532,7.989000198,1.98395082,-0.2365913985,8.025607441,1.862858291,0.6157855568,8.342689158,2.104316122,0.6776844909,8.494530865,2.204088519,0.5311520877,8.121702733,2.037007257,-0.2894372687
2,8.375204034,2.341711317,-0.07264382789,8.311776861,2.131988722,-0.03354780365,8.057394248,2.092154797,0.03840959627,NaN,NaN,NaN,7.479558268,1.69014787,-0.4449811489,8.666150424,2.429882794,-0.5466408499,8.536172893,2.32721539,-0.2563384824,8.359742228,2.230533491,-0.5957692432,7.994510552,1.925120545,0.1754233097,8.104897723,2.070341832,-0.5614752766,8.436492589,2.163604025,0.6538306862,8.073985219,2.066229881,-0.6933409127,7.984899759,1.983073988,-0.2362674646,8.022032668,1.862080524,0.6163264213,8.339202278,2.102974498,0.6782671912,8.490653889,2.203415662,0.5303135535,8.118011418,2.035884789,-0.2891906636
3,8.371423056,2.340749552,-0.07251544771,8.308048167,2.130868678,-0.03326631214,8.053568561,2.091265928,0.03859453779,NaN,NaN,NaN,7.47589908,1.688780681,-0.4450919306,8.663373043,2.428277348,-0.5464230083,8.532380112,2.326443146,-0.2562585004,8.355881377,2.229373168,-0.59633689,7.991033581,1.923971152,0.1760777727,8.100951818,2.068760073,-0.5615456487,8.432718327,2.162646063,0.6541380048,8.070519517,2.065525526,-0.6932454509,7.980811716,1.982186486,-0.2359561759,8.018457031,1.861303833,0.6168431827,8.335708769,2.10165352,0.6788297777,8.486779446,2.202740647,0.5295045915,8.114321259,2.034758597,-0.2889509619
4,8.367640069,2.33978732,-0.07240241002,8.304316811,2.129755074,-0.03300308857,8.049744766,2.090372453,0.03876475259,NaN,NaN,NaN,7.472238172,1.687416692,-0.4451971594,8.660532352,2.42669494,-0.5462327844,8.528585286,2.325658716,-0.256191693,8.352025508,2.228212046,-0.5968848948,7.987543293,1.922829506,0.1767104039,8.097013887,2.067193299,-0.561618819,8.428930066,2.161703288,0.6544278763,8.067043116,2.064797499,-0.6931602448,7.976736399,1.981287907,-0.2356573371,8.014880858,1.860528249,0.6173358823,8.332208881,2.100353324,0.6793723753,8.482907762,2.202063466,0.5287256342,8.110632455,2.033628375,-0.2887180598
5,8.363855233,2.338824396,-0.07230478166,8.300582944,2.128647768,-0.032758143,8.04592307,2.08947415,0.03892026609,NaN,NaN,NaN,7.468575692,1.686055566,-0.4452965428,8.657627572,2.425135317,-0.5460706233,8.524788541,2.324861694,-0.2561380948,8.348174813,2.227049725,-0.5974129522,7.984039756,1.921695509,0.1773214456,8.093084251,2.065641178,-0.5616946505,8.425127752,2.160775772,0.6547003942,8.06355612,2.064045112,-0.6930852625,7.972674137,1.980377843,-0.2353707445,8.01130448,1.859753801,0.6178045684,8.328702865,2.099074049,0.679895116,8.479039061,2.201384113,0.5279771215,8.106945205,2.032493816,-0.2884918455
6,8.360068704,2.337860556,-0.07222262157,8.29684672,2.127546617,-0.03253147789,8.042103679,2.088570794,0.03906111158,NaN,NaN,NaN,7.464911785,1.684696964,-0.4453897802,8.654657925,2.42359822,-0.5459369619,8.520990006,2.324051669,-0.2560977317,8.344329484,2.225885801,-0.5979207481,7.980523034,1.920569057,0.1779111477,8.089163231,2.064103378,-0.5617729983,8.421311328,2.159863585,0.6549556586,8.060058632,2.063267676,-0.693020463,7.968625261,1.979455885,-0.235096186,8.007728225,1.858980516,0.6182492964,8.325190969,2.097815828,0.6803981386,8.475173568,2.200702578,0.5272595006,8.103259709,2.031354611,-0.2882721988
7,8.356280642,2.33689557,-0.07215598061,8.293108291,2.126451473,-0.03232308789,8.038286799,2.087662156,0.03918733042,NaN,NaN,NaN,7.461246598,1.683340548,-0.4454765629,8.651622634,2.42208339,-0.5458322289,8.517189808,2.323228229,-0.2560706208,8.340489711,2.224719874,-0.5984079599,7.976993192,1.919450047,0.1784797676,8.085251149,2.062579565,-0.5618537096,8.41748074,2.158966796,0.6551937764,8.056550757,2.0624645,-0.6929657953,7.964590101,1.978521621,-0.2348334411,8.00415242,1.858208419,0.6186701288,8.321673443,2.096578795,0.6808815886,8.471311508,2.200018854,0.5265732261,8.099576167,2.030210451,-0.2880589908
8,8.352489796,2.335931467,-0.07210423771,8.289366349,2.125364383,-0.03213275097,8.034471156,2.08675011,0.03929905342,NaN,NaN,NaN,7.457578795,1.681989239,-0.4455574296,8.648519612,2.420593745,-0.5457559379,8.513386697,2.32239357,-0.2560561017,8.336654344,2.223554912,-0.5988738163,7.973448755,1.918340203,0.1790272832,8.081346943,2.061072762,-0.5619365704,8.41363436,2.158086191,0.6554151407,8.053031238,2.061638528,-0.6929211459,7.96056753,1.977577337,-0.2345824334,8.000575765,1.857438432,0.6190667118,8.318148946,2.095363772,0.6813457487,8.467451564,2.199333913,0.5259191395,8.095893341,2.029063802,-0.2878521038
9,8.348694742,2.334969935,-0.07206618364,8.285619369,2.124287027,-0.03195987665,8.030655241,2.085836137,0.03939670319,NaN,NaN,NaN,7.453906811,1.680646154,-0.4456331193,8.645346684,2.419132282,-0.5457068859,8.509579273,2.321549703,-0.2560529107,8.332822123,2.222394078,-0.5993170702,7.969887959,1.917240725,0.179553785,8.077449406,2.059586186,-0.5620210955,8.409770241,2.15722149,0.6556205623,8.049498695,2.060793036,-0.6928861245,7.956556209,1.976625211,-0.2343429131,7.996996591,1.856670515,0.6194387491,8.314615803,2.094170502,0.6817912391,8.463592132,2.198647787,0.5252985523,8.092209799,2.027917053,-0.2876511756
10,8.344895377,2.334010244,-0.07204099297,8.281867177,2.123218713,-0.03180391369,8.026838908,2.084919428,0.03948075331,NaN,NaN,NaN,7.450230448,1.679311249,-0.4457036304,8.642102942,2.417698855,-0.5456844348,8.505767442,2.320695946,-0.2560601652,8.328993072,2.221237268,-0.5997366916,7.966310441,1.916150729,0.1800596935,8.073558642,2.058119805,-0.5621067338,8.405887847,2.156371162,0.6558107678,8.045953045,2.059927829,-0.6928602692,7.952556154,1.975664675,-0.2341144041,7.993414679,1.855903257,0.6197863842,8.31107376,2.092997503,0.6822187045,8.459733,2.197959068,0.5247126193,8.08852545,2.026769781,-0.2874557169
