frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,AA01_data.tx,AA01_data.ty,AA01_data.tz,AA02_data.tx,AA02_data.ty,AA02_data.tz,AA03_data.tx,AA03_data.ty,AA03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz
1,8.54508962,2.435157424,-1.053191592,8.515768896,2.192708278,-0.8901541119,8.249804845,2.237177414,-0.8987583877,8.653776371,2.314145723,-0.3171013213,8.453477727,2.164261246,-0.2140801784,8.3825808,2.042483972,-0.4098187924,8.809513444,2.398751027,-1.058403883,8.122803791,1.95333888,-0.557172505,8.02774417,1.889744737,-0.7174911523,8.326463105,2.055825527,-0.5376977131,8.821632238,2.41111256,-1.170363214,8.026316346,1.905149767,-0.8626178337,8.829082802,2.382054785,-0.9399326057,7.567598073,1.586265695,-0.3902998307,8.873317918,2.352502812,-0.4489416522,8.91673899,2.439361955,-0.5483702842,8.096112899,1.933207663,-0.3456228644,8.223295037,1.979151403,-0.381708929,8.28958375,2.031765625,-0.267634881,9.104060364,2.478661185,-0.1108534257
2,8.540579677,2.434849567,-1.054898062,8.511391341,2.192317826,-0.8918221898,8.245544985,2.236866805,-0.9005930708,8.649332474,2.313972444,-0.3188989116,8.449028623,2.164241535,-0.2157279615,8.378051351,2.042380864,-0.4116267065,8.805393721,2.397794818,-1.061065884,8.118525006,1.953588388,-0.5585835004,8.024014797,1.889080904,-0.7196302779,8.322193426,2.05567712,-0.5392849828,8.816397396,2.410972551,-1.172032065,8.022197344,1.904962426,-0.8641921524,8.824859405,2.382098619,-0.9419058092,7.563834672,1.585560831,-0.3915983948,8.870115945,2.350637024,-0.450764671,8.91225288,2.439227179,-0.5500514193,8.091686685,1.932953488,-0.3471597735,8.217579958,1.97848121,-0.3834610805,8.285969723,2.030644505,-0.2691455019,9.099500157,2.478243393,-0.1126479469
3,8.536044407,2.434500874,-1.056602534,8.506982653,2.191892196,-0.8934872994,8.24123221,2.236519544,-0.9024107645,8.644875572,2.313724944,-0.3206921524,8.444550852,2.164171722,-0.2173669716,8.373503994,2.042226311,-0.4134190051,8.801205185,2.396862419,-1.063647175,8.114212788,1.953724623,-0.5600081012,8.020227355,1.888402379,-0.7217309653,8.317992699,2.0554525,-0.5408871036,8.81119037,2.410795376,-1.173703796,8.018032234,1.904714523,-0.8657835074,8.820574641,2.382085169,-0.943842553,7.56000499,1.584839979,-0.3929156412,8.866782576,2.348864139,-0.4525756637,8.907743528,2.438992463,-0.5517460415,8.087176119,1.932695191,-0.3486939485,8.212031013,1.977823813,-0.3851414135,8.282264722,2.029557436,-0.2706598799,9.094921593,2.477767978,-0.1144343448
4,8.531482761,2.434115324,-1.058306699,8.502541709,2.191435113,-0.8951515046,8.236863762,2.236139995,-0.904212668,8.64040583,2.313403586,-0.3224831378,8.44004316,2.164054609,-0.2189988432,8.368938109,2.042023192,-0.4151975185,8.796943812,2.395961154,-1.066146623,8.10986605,1.953747025,-0.5614487684,8.016380308,1.887713473,-0.7237944983,8.313866008,2.055153393,-0.5425086364,8.806011331,2.410586544,-1.175381123,8.013819584,1.904408585,-0.8673951585,8.816225034,2.382018187,-0.9457434369,7.556106858,1.584106414,-0.3942543028,8.863312166,2.347192757,-0.4543760711,8.903210132,2.438656451,-0.553457355,8.082575088,1.932438397,-0.3502271202,8.206656585,1.977185028,-0.3867475677,8.278465883,2.028509676,-0.2721803099,9.090324156,2.477234574,-0.1162141339
5,8.526895552,2.433693911,-1.060011849,8.498069685,2.1909474,-0.8968167491,8.232448502,2.235725509,-0.906004232,8.635918843,2.313020134,-0.3242725294,8.435508503,2.163888892,-0.2206274075,8.364353732,2.041771851,-0.4169663377,8.792626186,2.395076545,-1.068576106,8.105483059,1.953673288,-0.562907077,8.012479215,1.887009967,-0.725828387,8.309792136,2.054783703,-0.544141772,8.80085419,2.410342002,-1.177060601,8.00956228,1.904049991,-0.8690254063,8.811823014,2.381899562,-0.9476170891,7.552147375,1.583357202,-0.3956185617,8.859728582,2.345594005,-0.4561699752,8.898653535,2.438241954,-0.5551792572,8.077904842,1.932169757,-0.3517648804,8.201418636,1.976553921,-0.3883020094,8.274582069,2.027488704,-0.2737084822,9.085707852,2.476654719,-0.1179891711
6,8.522287808,2.433214945,-1.061708976,8.493571821,2.190408594,-0.8984723397,8.228000959,2.235251671,-0.9077796596,8.631412769,2.312572196,-0.326049213,8.430953334,2.163657928,-0.2222441622,8.359753863,2.04145569,-0.4187161757,8.788274703,2.394168317,-1.070940433,8.101068055,1.953505702,-0.5643704537,8.008532566,1.886267703,-0.7278264642,8.305745914,2.054332427,-0.545762683,8.795716978,2.410032367,-1.178727236,8.005267261,1.903624547,-0.8706576054,8.807387292,2.381708827,-0.9494611731,7.548137572,1.582573021,-0.3969956328,8.856062185,2.344017814,-0.4579503565,8.894078043,2.437757903,-0.5568939139,8.073195884,1.931857784,-0.353298963,8.196271954,1.975900264,-0.3898180764,8.270627111,2.026464345,-0.2752327645,9.08107525,2.476028991,-0.1197511774
7,8.517663559,2.432657223,-1.063388596,8.489052037,2.189798892,-0.9001062989,8.223525793,2.234698479,-0.9095279546,8.626890758,2.312045808,-0.3278022767,8.42638091,2.163348043,-0.223837221,8.355141556,2.041059205,-0.4204340683,8.783892834,2.393214073,-1.073232346,8.096628111,1.95322791,-0.5658255316,8.00454239,1.885468787,-0.7297750156,8.301725665,2.053786282,-0.5473571092,8.790604754,2.40963445,-1.18037088,8.000938259,1.903113515,-0.8722780715,8.802922639,2.381424874,-0.9512643863,7.544080633,1.581739174,-0.3983689367,8.852316146,2.34244836,-0.4597066449,8.889487027,2.437189771,-0.5585913639,8.068455295,1.931487623,-0.3548157563,8.191213438,1.975207807,-0.391285084,8.266604906,2.025421988,-0.2767407247,9.076428838,2.475347145,-0.1214908804
8,8.513023402,2.432020572,-1.065051043,8.48451111,2.189118175,-0.9017184501,8.219024482,2.234065527,-0.9112493297,8.622353223,2.311442046,-0.329531749,8.421791926,2.162959637,-0.2254067074,8.350517213,2.040582547,-0.4221199964,8.779480633,2.392212678,-1.075454944,8.092167581,1.952840266,-0.5672723896,8.000507903,1.884613316,-0.7316742334,8.29772694,2.053148649,-0.5489235753,8.785519062,2.409147227,-1.181991621,7.996576066,1.90251733,-0.8738868783,8.798430514,2.381046884,-0.9530259156,7.539977401,1.580855979,-0.3997379345,8.848490772,2.340886091,-0.4614391145,8.884880842,2.436540132,-0.5602717627,8.063687632,1.931059377,-0.3563152613,8.186237405,1.974475614,-0.3927056933,8.262516834,2.02436145,-0.2782329211,9.071768431,2.474612543,-0.1232089875
9,8.508367929,2.431304806,-1.066696631,8.479949809,2.188366309,-0.9033085983,8.214498501,2.233352396,-0.9129439788,8.617800566,2.310761973,-0.3312376411,8.417187073,2.162493097,-0.2269527278,8.345881234,2.040025853,-0.4237739232,8.775038153,2.391162981,-1.077611302,8.087690809,1.952343115,-0.5687110872,7.996428316,1.883701377,-0.7335242935,8.293745283,2.052422891,-0.5504605897,8.780461436,2.408569655,-1.183589524,7.992181464,1.901836415,-0.8754840819,8.793912374,2.380574023,-0.9547449292,7.535828714,1.57992374,-0.4011020716,8.844586365,2.339331441,-0.4631480249,8.880259837,2.435811539,-0.5619352482,8.058897449,1.930573139,-0.3577974629,8.18133817,1.973702721,-0.3940825492,8.258364277,2.023282532,-0.2797098969,9.067093839,2.473828529,-0.1249061906
10,8.5036949,2.43051202,-1.068326452,8.475366167,2.18754627,-0.9048761926,8.209942727,2.23255991,-0.9146104776,8.613233535,2.310003567,-0.3329213757,8.412566599,2.161950821,-0.2284721274,8.341236548,2.039390091,-0.4253933209,8.770560741,2.390079254,-1.079681966,8.083196945,1.95172022,-0.5701434179,7.992305651,1.882738179,-0.7353180461,8.289818442,2.051603894,-0.5519788799,8.775435714,2.407909122,-1.185166661,7.987750811,1.901067513,-0.877075409,8.789359618,2.380009497,-0.9564183006,7.531632181,1.578942556,-0.4024632469,8.840588429,2.337804919,-0.4648331734,8.875624538,2.435011975,-0.5635864058,8.054057466,1.930046989,-0.3592598965,8.176555834,1.972908934,-0.3953974093,8.254135921,2.022200093,-0.2811720562,9.062406474,2.472995702,-0.1265832756
