C1P2T10_susp_data.tx,C1P2T10_susp_data.ty,C1P2T10_susp_data.tz,C1P2T10_susp_data.rx,C1P2T10_susp_data.ry,C1P2T10_susp_data.rz
1.29601696,1.271228527,2.107260646,5.194843885,16.83377643,43.10764079
1.296434533,1.270877469,2.106821479,5.210432857,16.82388417,43.11636656
1.296821956,1.270519352,2.106361519,5.225112526,16.81438676,43.12492935
1.29717838,1.270151325,2.105877281,5.238896768,16.80525085,43.13337359
1.297502959,1.269770536,2.105365275,5.251799475,16.7964431,43.14174366
1.29779824,1.269388816,2.104842047,5.263762924,16.78809708,43.14981215
1.298067963,1.2690212,2.104327816,5.274699285,16.78039094,43.15731917
1.298313071,1.268669651,2.103824592,5.284577305,16.77335824,43.16426029
1.298534503,1.268336132,2.103334381,5.293365729,16.76703253,43.17063099
1.2987332,1.268022607,2.102859187,5.301033291,16.76144738,43.17642673
1.298901673,1.26772255,2.102393111,5.307486872,16.75657457,43.1817386
1.299036904,1.267432566,2.101933216,5.31271903,16.75238222,43.18659334
1.299146541,1.26715933,2.101485931,5.31682708,16.74889852,43.19088986
1.299238228,1.26690954,2.101057669,5.319908403,16.74615179,43.19452708
1.299319607,1.266689912,2.100654827,5.322060401,16.74417047,43.19740386
1.299376229,1.266474275,2.100241679,5.323234111,16.74275579,43.20006217
1.299396206,1.266246921,2.099799309,5.323333899,16.74180442,43.20278722
1.299391017,1.266030297,2.099359307,5.322387041,16.74148801,43.20509267
1.299372127,1.265846881,2.098953237,5.320420611,16.74197823,43.20649196
1.299350987,1.265719177,2.098612638,5.317461347,16.74344665,43.20649813
1.299267844,1.265548154,2.098207579,5.314001484,16.74478463,43.2061628
1.299089033,1.265277182,2.09766317,5.310190611,16.74542987,43.20627345
1.298865082,1.264992437,2.097093455,5.305540159,16.7463727,43.20594538
1.298646473,1.264780067,2.096612495,5.299560463,16.74860265,43.20429239
1.298483636,1.264726209,2.096334318,5.291760165,16.75310806,43.2004261
1.298309612,1.265004098,2.096410899,5.276102763,16.76464088,43.19106347
1.298059203,1.265595878,2.096794066,5.251016741,16.78388176,43.17591071
1.297785517,1.266301098,2.097297919,5.222714713,16.80571629,43.15857281
1.297541664,1.266918947,2.097737596,5.197425539,16.82504034,43.1426784
1.297380767,1.267248237,2.097929339,5.1813951,16.8367607,43.13188091
1.297301713,1.267383671,2.097945994,5.171850919,16.84357194,43.12399956
1.297261895,1.267545402,2.097979303,5.162173924,16.85117343,43.11474914
1.297252274,1.26772031,2.098024363,5.152851199,16.85898672,43.10464175
1.297263815,1.267895276,2.098076291,5.144371271,16.86643431,43.09419109
1.29728749,1.268057177,2.098130221,5.137224239,16.8729397,43.0839125
1.29731428,1.268192896,2.098181296,5.1319018,16.87792742,43.07432298
1.297335171,1.268289324,2.09822467,5.128897181,16.88082292,43.06594118
1.297341165,1.268333368,2.098255499,5.128704962,16.88105246,43.05928731
1.297323276,1.268311963,2.098268939,5.131820803,16.87804295,43.05488302
1.297348251,1.268193783,2.098246426,5.142332932,16.86928064,43.0513002
1.297453303,1.267986111,2.098185423,5.160737387,16.85484491,43.047435
1.297585073,1.267733367,2.098105554,5.182136774,16.83804695,43.04429048
1.297690055,1.26747922,2.098027167,5.201625669,16.82218825,43.04286222
1.297714585,1.267266548,2.097971375,5.214290662,16.81056088,43.0441383
1.297652696,1.267001179,2.09796201,5.224071349,16.8000159,43.05038987
1.297549416,1.266608974,2.097988896,5.236974165,16.78632516,43.06150579
1.297427432,1.266162175,2.098022472,5.251179144,16.77115578,43.07489096
1.297309396,1.26573278,2.098032908,5.264865701,16.75617455,43.08794553
1.297217919,1.265392539,2.09799009,5.27621312,16.7430481,43.09806494
1.297098565,1.265147925,2.098003687,5.284907457,16.73204798,43.10936493
1.296909893,1.264938448,2.098137969,5.292443212,16.72179477,43.1254938
1.296694078,1.264735241,2.098294147,5.299712887,16.71147943,43.14314242
1.296493444,1.264509417,2.098372836,5.307610638,16.70029414,43.15900178
1.296350473,1.264232097,2.098274064,5.317032379,16.68743239,43.16976299
1.296265456,1.264044981,2.098092061,5.325002759,16.67391406,43.17575752
1.296201385,1.264026573,2.097953675,5.329475948,16.66103235,43.18009841
1.296144999,1.264053451,2.097807644,5.332742723,16.64839214,43.18364886
1.29608323,1.264002496,2.097602911,5.337093496,16.63559945,43.18727246
1.296003189,1.263750895,2.097288609,5.344818329,16.62226144,43.19183316
1.295944916,1.263304283,2.096779838,5.353583292,16.60905774,43.19647554
1.295934297,1.262773439,2.096091177,5.360511677,16.59655372,43.20018648
1.29593722,1.262193712,2.095321007,5.367079639,16.58418608,43.20359547
1.295919486,1.261600678,2.094567632,5.374764434,16.57139278,43.20733447
1.295846813,1.261030122,2.093929283,5.385044331,16.5576129,43.21203796
1.295738983,1.260338379,2.09323022,5.400422961,16.54086283,43.21634735
1.295634579,1.259441514,2.092318288,5.420647769,16.52077456,43.21918507
1.295527386,1.25846491,2.091327247,5.443063007,16.49921036,43.22160977
1.295411162,1.257533645,2.090391146,5.465013084,16.47803149,43.22468302
1.295279652,1.256772476,2.089644334,5.483842802,16.45909839,43.2294698
1.295150166,1.256159108,2.089071704,5.501747555,16.4415616,43.2346315
1.295036465,1.255580807,2.08855703,5.522094587,16.42350588,43.23850321
1.294926913,1.255026339,2.088083268,5.543985504,16.40519159,43.24166144
1.294809892,1.254484304,2.087633506,5.566520581,16.38687777,43.24468173
1.294673793,1.253943128,2.087190983,5.588798686,16.36882204,43.24813861
1.294507018,1.253391045,2.086739087,5.609917264,16.35128067,43.25260556
1.294297982,1.252816108,2.086261339,5.628972371,16.33450876,43.25865492
1.294035117,1.252206193,2.085741372,5.645058771,16.31876067,43.26685794
1.293706882,1.251549024,2.085162892,5.657270074,16.30429067,43.27778481
1.293254547,1.250806016,2.084544221,5.66294774,16.29232478,43.29658603
1.292678316,1.249983547,2.083919992,5.662487599,16.2829434,43.32420008
1.292055079,1.249137181,2.083297736,5.659569881,16.2746831,43.35488122
