frame,A01_data.tx,A01_data.ty,A01_data.tz,AA01_data.tx,AA01_data.ty,AA01_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz
1,7.525370289,1.669927989,-0.772258055,7.325075197,1.893936791,-1.073200779,7.127668267,1.393413367,-0.1002435373,7.341043775,1.533520352,-0.03278086809,7.674763244,1.738412106,-0.200434066,8.028080452,2.046206606,-1.66907087,7.387377929,1.574325635,-0.2587169467,7.212527587,1.540948119,-1.494902612,7.065778716,1.44155872,-1.292675316,7.322214489,1.614593103,-1.498950918,7.319385492,1.633384425,-1.66771836,7.075243744,1.411856669,-0.7635222975,7.499292897,1.678059784,-0.8848185057,8.022361001,1.99231868,-0.9984064918,8.013619363,2.010344055,-1.101761424,7.766262365,1.814449765,-0.5815825921
2,7.521295498,1.667460029,-0.7669637257,7.32094137,1.891692686,-1.068057637,7.125558405,1.389256994,-0.09520257214,7.337588271,1.528489039,-0.02770034029,7.669058446,1.735966519,-0.1965908939,8.024612012,2.044063711,-1.663470882,7.382715804,1.572303559,-0.2530446314,7.208679645,1.538720408,-1.489393492,7.061780816,1.439477723,-1.287527866,7.319367629,1.612025653,-1.493841185,7.316369789,1.63108707,-1.66306119,7.071155501,1.408751187,-0.7583462587,7.496834181,1.674801933,-0.8799535264,8.016797868,1.98878398,-0.9889759645,8.008130498,2.005661405,-1.095054541,7.762033639,1.812413502,-0.5759375601
3,7.517258899,1.664869579,-0.761691082,7.316817361,1.889359196,-1.062943297,7.12329729,1.385238738,-0.09014925137,7.333977412,1.523836453,-0.0226203881,7.663434013,1.733519202,-0.1925865169,8.021077356,2.04185201,-1.657924,7.378066107,1.570221906,-0.2474532271,7.204833096,1.536433614,-1.483888136,7.05776913,1.437439034,-1.282315614,7.316446446,1.609448494,-1.488751786,7.313243148,1.62869244,-1.658284907,7.06712934,1.405610516,-0.753230362,7.494219894,1.671551759,-0.8750770583,8.011397106,1.985357691,-0.9800683667,8.002764473,2.001184049,-1.088485885,7.757798992,1.810277917,-0.5703042846
4,7.513245289,1.662178994,-0.756435774,7.312701044,1.886940293,-1.057852784,7.120872935,1.381354688,-0.08508101651,7.33022861,1.519514711,-0.01753521911,7.657896437,1.731065218,-0.188436072,8.01748149,2.039560315,-1.65241799,7.373428616,1.56807908,-0.241939598,7.200987344,1.534077787,-1.478390945,7.053736911,1.435418155,-1.277055182,7.313455742,1.606847702,-1.483678969,7.3100087,1.626188943,-1.653382008,7.063153559,1.402440635,-0.7481591395,7.491465554,1.668306864,-0.8701855503,8.00614876,1.982019322,-0.9716473376,7.997515899,1.996870171,-1.082050196,7.753557846,1.808048524,-0.5646914925
5,7.509237769,1.659426612,-0.7511974194,7.308590382,1.884458675,-1.052780871,7.118266633,1.377601708,-0.0800035946,7.32636826,1.515450433,-0.01244529941,7.652449839,1.728599898,-0.1841680356,8.013835763,2.037197346,-1.646933755,7.368802306,1.565876706,-0.2365047556,7.197143826,1.531663176,-1.472915202,7.049680439,1.433397354,-1.271776892,7.310402742,1.604224247,-1.478621116,7.306675801,1.623586914,-1.648347143,7.059209352,1.399259422,-0.7431188867,7.488590454,1.6650807,-0.8652782064,8.001037499,1.978753973,-0.9636506443,7.992379734,1.992683274,-1.075737793,7.749309056,1.805743739,-0.5591138541
6,7.505236927,1.656622401,-0.7459809208,7.304485341,1.881930269,-1.047728174,7.115472442,1.373979085,-0.07492616234,7.322402854,1.511621404,-0.007358397523,7.647089804,1.726121935,-0.179794173,8.010145657,2.034781841,-1.64146653,7.364186179,1.56361591,-0.231153382,7.193304285,1.529209136,-1.467469313,7.045603653,1.431384024,-1.266491915,7.307288636,1.601592044,-1.473580844,7.303249981,1.620907546,-1.643183754,7.055290319,1.39607521,-0.7381131347,7.48559483,1.661888007,-0.8603586254,7.99605989,1.975567721,-0.9560567142,7.987356778,1.9886329,-1.069544723,7.745051739,1.80337363,-0.5535763223
7,7.501242401,1.653764782,-0.7407887397,7.300384262,1.879355752,-1.042695203,7.112484821,1.370482315,-0.06985140955,7.318339341,1.508002567,-0.002277776257,7.641811957,1.723625346,-0.1753248637,8.00641389,2.032310627,-1.636014513,7.359579246,1.561292313,-0.2258863178,7.189468319,1.526714669,-1.462057193,7.041508771,1.429367519,-1.261205462,7.304112414,1.598944676,-1.468557341,7.299734256,1.618149675,-1.637892076,7.051389266,1.3928846,-0.7331391079,7.482477762,1.658730618,-0.8554280108,7.991210919,1.972452794,-0.9488462434,7.982446094,1.984713446,-1.063469477,7.740784318,1.800939144,-0.548083557
8,7.4972651,1.650832127,-0.7356255777,7.296288323,1.876726464,-1.037685966,7.109305078,1.367119312,-0.06478644727,7.314151207,1.504654177,0.002792802205,7.636620177,1.721114843,-0.1707338978,8.002628544,2.029794476,-1.630590136,7.354981002,1.558903251,-0.2207130304,7.185638476,1.524184114,-1.456674082,7.037394679,1.427378444,-1.255897312,7.300875156,1.596296613,-1.463554827,7.296123907,1.615320905,-1.632479309,7.047513741,1.389682531,-0.7282104687,7.479212103,1.655619418,-0.8504880828,7.986517707,1.969440304,-0.9420974407,7.977644322,1.980962543,-1.057511352,7.73650553,1.798428975,-0.5426224179
9,7.493311848,1.647800025,-0.7304863722,7.292199092,1.874020998,-1.032698535,7.105937972,1.363890796,-0.05972420227,7.309822015,1.501615991,0.007860290959,7.631518948,1.718589356,-0.1659972778,7.998781609,2.027217634,-1.625199938,7.350392867,1.556442369,-0.2156305796,7.181815999,1.521599003,-1.451307617,7.03325967,1.425419113,-1.250545249,7.297577303,1.593637509,-1.458569105,7.292414101,1.612402881,-1.626942829,7.043671776,1.386455561,-0.7233264719,7.475784978,1.652543896,-0.8455336957,7.981997184,1.966534499,-0.9358571386,7.972950856,1.977386621,-1.051669329,7.73221604,1.795826037,-0.5371796905
10,7.489375519,1.644675845,-0.7253655664,7.288115247,1.871237498,-1.027728794,7.102381777,1.36078721,-0.05465627865,7.305372468,1.49883709,0.01292913174,7.626503713,1.716040922,-0.161134425,7.994882032,2.024560162,-1.619835097,7.345815576,1.553907137,-0.210629001,7.177998568,1.518945489,-1.445958635,7.029104918,1.423455593,-1.245161049,7.294216933,1.590945105,-1.453594135,7.288607914,1.609378818,-1.621275298,7.039856155,1.38320094,-0.7184727298,7.472216363,1.649488214,-0.8405622869,7.977628608,1.963702613,-0.9300615556,7.968368711,1.973949852,-1.045943826,7.727916433,1.793133467,-0.5317646647
