frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz,F15_data.tx,F15_data.ty,F15_data.tz
1,4.79320672,3.460816811,-1.231483337,4.863199116,3.521510045,-1.050188091,4.608548313,2.875999254,-0.985033247,4.441681612,2.547225703,-0.6930375492,4.576603636,2.793824099,-1.106731568,4.695644771,3.02528766,-1.023141708,4.803239615,3.115116649,-0.8934715766,4.423439005,2.693299136,-1.491263024,4.558941419,2.84836742,-1.565101545,4.784658132,3.230244256,-1.385917324,4.654485297,2.893693869,-0.2781901035,4.71449252,3.13810711,-1.531248326,4.462611649,2.747990243,-1.922594548,4.811198146,3.285443296,-1.498959313,4.76932193,3.241138908,-1.627275912,5.391598141,4.20879582,-0.4028086435,5.354042696,4.19470262,-0.7592517474
2,4.790278045,3.455054985,-1.22437724,4.86034896,3.515930959,-1.042890994,4.604819038,2.871301601,-0.9790539911,4.438801216,2.539969578,-0.6863786584,4.575457099,2.788103715,-1.100399429,4.693417523,3.018586957,-1.016541463,4.800082297,3.107742611,-0.886240231,4.42092577,2.686407743,-1.484281654,4.557435061,2.84227976,-1.557970554,4.782124578,3.224243023,-1.379380463,4.651298613,2.888651826,-0.27196209,4.709928809,3.132557585,-1.524479329,4.461027486,2.741933525,-1.915348577,4.810542521,3.280193814,-1.490981245,4.767027216,3.235225076,-1.618495873,5.388884831,4.203425793,-0.3940327463,5.351915685,4.191879944,-0.7510151972
3,4.787452495,3.449263536,-1.217179312,4.857578066,3.510308245,-1.035499499,4.601208809,2.86650397,-0.9729218749,4.435958618,2.532809719,-0.679627569,4.574258649,2.782352899,-1.093955075,4.69116068,3.011942738,-1.009830703,4.797041955,3.100447624,-0.8789445678,4.418474833,2.679627819,-1.477247385,4.555945149,2.836212265,-1.550793964,4.779683091,3.218244696,-1.372667496,4.648132398,2.883471063,-0.2655080552,4.705582966,3.12690988,-1.517550751,4.459492768,2.73590275,-1.908083108,4.809814735,3.274870907,-1.482986732,4.764811306,3.22930925,-1.609685691,5.386199706,4.19797672,-0.3851988304,5.349809032,4.1888117,-0.7426883973
4,4.784729456,3.443442533,-1.209889198,4.854885359,3.504641943,-1.028013383,4.597716888,2.861605914,-0.9666352104,4.433153793,2.525748562,-0.6727835215,4.573005294,2.77657184,-1.087398507,4.688870137,3.0053565,-1.003009141,4.794119073,3.093233861,-0.8715852616,4.416084191,2.672961548,-1.470160238,4.554470622,2.830166002,-1.54357338,4.777332978,3.212249816,-1.36577514,4.644984616,2.878150387,-0.2588240502,4.701454986,3.12115947,-1.51045773,4.458006309,2.729898253,-1.900799416,4.809012506,3.269472758,-1.474977352,4.762673387,3.223390967,-1.600843511,5.383540563,4.192448875,-0.376308253,5.34772068,4.185495451,-0.7342712125
5,4.782108291,3.437592028,-1.202506531,4.852269737,3.498932078,-1.02043242,4.594342491,2.856606953,-0.9601923105,4.430386706,2.518788533,-0.6658457311,4.571694013,2.770760726,-1.080729745,4.686541773,2.998829737,-0.9960764907,4.791314131,3.086103485,-0.8641629515,4.413751845,2.666411108,-1.463020214,4.553010417,2.824142041,-1.536310397,4.775073502,3.206258896,-1.358700093,4.641853164,2.872688573,-0.2519061497,4.697544806,3.11530179,-1.503195386,4.456566925,2.723920372,-1.893498766,4.80813354,3.26399757,-1.466954711,4.760612621,3.217469763,-1.591967469,5.380905179,4.186842534,-0.367362384,5.345648524,4.181928757,-0.7257635491
6,4.779588339,3.431712059,-1.195030934,4.849730073,3.493178663,-1.012756382,4.591084793,2.851506581,-0.9535914885,4.427657311,2.511932048,-0.6588133879,4.570321763,2.764919742,-1.073948823,4.684171446,2.992363938,-0.9890324757,4.788627603,3.07905865,-0.856678241,4.411475788,2.659978678,-1.455827289,4.551563464,2.818141453,-1.529006606,4.772903884,3.200272421,-1.351439043,4.638735872,2.867084367,-0.2447504522,4.693852307,3.109332235,-1.495758828,4.455173424,2.717969448,-1.886182413,4.807175526,3.258443559,-1.45892044,4.75862815,3.211545173,-1.583055687,5.378291311,4.181157974,-0.3583626062,5.343590412,4.178109171,-0.7171653558
7,4.777168915,3.425802649,-1.187462021,4.847265214,3.4873817,-1.004985036,4.587942925,2.846304265,-0.9468310589,4.424965546,2.505181518,-0.6516856565,4.568885474,2.759049072,-1.0670558,4.681755,2.985960592,-0.9818768252,4.78605996,3.072101495,-0.8491316973,4.409254014,2.653666431,-1.448581418,4.550128688,2.812165313,-1.521663591,4.770823298,3.194290846,-1.343988659,4.6356305,2.861336485,-0.2373530815,4.690377305,3.10324616,-1.48814315,4.453824615,2.712045828,-1.878851599,4.806136142,3.252808962,-1.450876199,4.756719094,3.20561673,-1.57410628,5.375696697,4.17539547,-0.3493103166,5.341544142,4.174034238,-0.7084766249
8,4.774852278,3.419862964,-1.179800191,4.844875435,3.481541144,-0.9971185486,4.584923134,2.840995379,-0.9399100475,4.422308222,2.498543313,-0.6444605526,4.567374584,2.753152883,-1.060050696,4.679282359,2.979619934,-0.9746066114,4.783605566,3.065233605,-0.8415236204,4.407069457,2.647491478,-1.441281074,4.54869909,2.806214816,-1.5142807,4.768827638,3.188315319,-1.336359288,4.632533384,2.855442257,-0.2297095607,4.687117767,3.09703566,-1.480338361,4.452518069,2.706151447,-1.871502157,4.805000905,3.247091325,-1.442825348,4.754882096,3.199687212,-1.565145214,5.373118192,4.169553462,-0.3402026929,5.339506757,4.169696047,-0.6996999257
9,4.772638914,3.413893606,-1.172047918,4.842561435,3.475658413,-0.9891587898,4.582029087,2.83558075,-0.9328352543,4.419680225,2.492012363,-0.6371421064,4.565791907,2.747234716,-1.052935714,4.676761141,2.973337227,-0.9672234855,4.781255172,3.058448209,-0.833852201,4.404917341,2.641457094,-1.433926535,4.54727262,2.800287246,-1.506852035,4.766913069,3.182345877,-1.328572644,4.629445447,2.849406987,-0.2218354941,4.684068459,3.090716928,-1.472358556,4.45125606,2.700287105,-1.864127091,4.803767315,3.241297775,-1.43476537,4.753115834,3.193761205,-1.55619817,5.370557396,4.163631511,-0.3310331957,5.337479903,4.165101441,-0.6908377711
10,4.770524433,3.407893365,-1.164210247,4.840321978,3.469732111,-0.9811104569,4.579254425,2.830064712,-0.9256190698,4.417076902,2.485570639,-0.6297408766,4.564152534,2.741290618,-1.045716603,4.674212306,2.967103108,-0.9597364366,4.779002702,3.051731307,-0.8261173411,4.402811572,2.635541948,-1.426522721,4.545853227,2.794374932,-1.499373715,4.765077594,3.176378004,-1.320644893,4.626370677,2.843237524,-0.2137595571,4.681222545,3.084318351,-1.464237358,4.450041448,2.694448905,-1.856725763,4.80244937,3.235437671,-1.42669158,4.751420619,3.187837842,-1.547265263,5.368020311,4.157626911,-0.3218002393,5.335468959,4.160265698,-0.68189267
