frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz,F15_data.tx,F15_data.ty,F15_data.tz
1,6.083668429,3.92482459,0.5286027502,6.249766908,3.862241552,0.4757704564,6.199496681,4.043053094,0.572526154,5.559252134,3.007631978,0.325252776,5.6619321,3.113913691,-0.07313424867,6.010195378,3.555367462,0.6310869253,6.100168643,3.647172082,-0.04355253933,6.123144832,3.837726371,1.016319771,6.052720226,3.62658655,0.7687494729,5.806673475,3.296579876,0.3222036169,5.840644495,3.326883206,-0.1335552407,5.767705676,3.275746271,0.9429129984,6.110809691,3.780093397,0.901007659,5.803516989,3.259627391,-0.2484455836,5.818505951,3.372280109,1.007002451,6.283415782,3.913577794,0.8522522576,6.41989126,4.092862558,0.8373729637,6.521358219,4.078119726,0.7506448241
2,6.079250277,3.919068264,0.5284192807,6.24549238,3.856740614,0.4757906662,6.194963155,4.037392248,0.5720156549,5.554785393,3.002095103,0.325234312,5.657296858,3.108385703,-0.07364118711,6.005763715,3.549942397,0.6311997461,6.095974561,3.64307349,-0.04320226053,6.118375221,3.831174952,1.015550025,6.048606089,3.621446288,0.7694859498,5.801952951,3.291165795,0.322338369,5.835901212,3.321270687,-0.132702232,5.763209949,3.269911708,0.942349532,6.106712757,3.775015287,0.900470336,5.798921453,3.254173546,-0.2485768248,5.814106314,3.366755386,1.006712289,6.279111776,3.9075903,0.8513844583,6.4153342,4.087245185,0.8368111602,6.514678814,4.073986959,0.750141166
3,6.074814813,3.91333955,0.5282757886,6.241195249,3.851250235,0.4758389237,6.190418113,4.031766261,0.57156944,5.550312613,2.996560211,0.3253019887,5.65266564,3.102856129,-0.07407355103,6.0013227,3.54453894,0.6313192483,6.091754386,3.638901155,-0.04284195346,6.113623235,3.8247085,1.014834392,6.04443928,3.616278288,0.7701803261,5.79722607,3.285744475,0.3225403745,5.831169303,3.315673383,-0.1318754939,5.758700595,3.264114815,0.9418496837,6.10263227,3.769910809,0.8999993021,5.794338939,3.24871906,-0.2486503384,5.80968713,3.361268965,1.006479111,6.274782067,3.901644976,0.8505994679,6.410766815,4.081650577,0.8362895509,6.508125636,4.069752233,0.7497091651
4,6.070361188,3.907639425,0.5281741632,6.236874699,3.845770859,0.4759168032,6.185860827,4.026176775,0.5711901161,5.545833585,2.991027279,0.3254612578,5.648038489,3.097324673,-0.07442804976,5.996872189,3.539158416,0.6314455508,6.087507243,3.63465295,-0.04247074296,6.108889663,3.818329988,1.014174356,6.040217793,3.611081776,0.7708319283,5.792491884,3.280315184,0.322814777,5.826449027,3.310092106,-0.131075506,5.75417694,3.258356942,0.9414161123,6.098570101,3.764778899,0.8995973287,5.789769637,3.243263536,-0.2486626231,5.805247684,3.355823307,1.00630588,6.270425942,3.89574287,0.849900504,6.406188563,4.07607969,0.8358096275,6.50170013,4.065412487,0.7493517153
5,6.065888551,3.90196887,0.5281163018,6.232529913,3.840302932,0.4760258882,6.181290563,4.020625438,0.5708802972,5.54134809,2.985496297,0.3257175815,5.643415442,3.091791047,-0.07470138112,5.992412037,3.533802155,0.6315787808,6.083232254,3.630326749,-0.04208773893,6.104175289,3.812042395,1.013571408,6.035939623,3.605855976,0.7714400934,5.787749436,3.2748772,0.3231667308,5.82174064,3.304527671,-0.1303027372,5.749638307,3.252639449,0.9410514831,6.094528115,3.7596185,0.899267203,5.785213732,3.237806587,-0.2486101654,5.800787261,3.350420881,1.006195567,6.266042684,3.889885037,0.8492907904,6.401598901,4.070533485,0.8353728907,6.495403735,4.060964672,0.7490717373
6,6.061399368,3.896324711,0.5281071115,6.228163818,3.8348453,0.4761745063,6.176709179,4.015105963,0.570640987,5.536855432,2.979968298,0.3260633133,5.638796372,3.086254993,-0.07489309465,5.987940402,3.528465621,0.6317361171,6.078934318,3.625933226,-0.04168044126,6.099471289,3.805832426,1.013032527,6.031612736,3.600608605,0.7720257085,5.78300181,3.269434782,0.3235877348,5.817042703,3.298974105,-0.1295366054,5.745084799,3.246958327,0.9407595689,6.090494112,3.754438516,0.8990105074,5.780667639,3.232347276,-0.2484930799,5.796306278,3.345052824,1.006149682,6.261633704,3.884069178,0.8487722145,6.396998039,4.065009663,0.8349877051,6.489234432,4.056425392,0.7488691304
7,6.056898579,3.890701359,0.5281406214,6.223781499,3.829395493,0.4763593429,6.172120996,4.009608414,0.5704615462,5.532356537,2.974443602,0.3264720465,5.634181412,3.080717822,-0.075017716,5.983457481,3.523141298,0.6319238898,6.074619414,3.621486329,-0.04124827904,6.094770911,3.799680778,1.012554179,6.027249237,3.595346102,0.7725996994,5.778254606,3.263992555,0.3240521091,5.812353614,3.293426153,-0.1287670238,5.74052,3.241305213,0.9405303621,6.086455613,3.749246385,0.8988159293,5.776128847,3.226887308,-0.2483270464,5.79180858,3.339704301,1.006156055,6.257203293,3.878289318,0.8483328835,6.392388999,4.059502538,0.8346513953,6.483187753,4.05181334,0.7487303137
8,6.052388571,3.885096182,0.5282051266,6.219384924,3.823951904,0.4765674265,6.167528492,4.004129009,0.5703297717,5.527853152,2.968920991,0.3269245974,5.62957079,3.07518096,-0.07509094244,5.978965589,3.517826194,0.6321290636,6.070288156,3.616988157,-0.04080512836,6.090077233,3.793582022,1.012124895,6.022852668,3.590066075,0.7731495086,5.773510216,3.258550158,0.3245425549,5.80767327,3.287884945,-0.1280068745,5.735947602,3.235675515,0.940349117,6.082413319,3.74403932,0.898669808,5.771599096,3.221429379,-0.2481285039,5.787297712,3.33436947,1.006200321,6.25275436,3.872541394,0.8479581835,6.387774793,4.054008327,0.8343516185,6.477260856,4.047128817,0.7486408465
9,6.047870012,3.87950786,0.5282988496,6.214974427,3.818513968,0.4767964174,6.162932349,3.998665439,0.5702431275,5.523345524,2.963399876,0.3274146073,5.62496425,3.069644601,-0.07511578545,5.974464939,3.512519161,0.6323499946,6.065940745,3.612439546,-0.04035352664,6.085390374,3.787534265,1.01174352,6.018424144,3.584768594,0.7736737227,5.768769616,3.25310775,0.3250539005,5.803001287,3.282350042,-0.1272568636,5.731368349,3.230068,0.9402130801,6.078365239,3.738817554,0.8985690486,5.76708011,3.215974098,-0.2479014767,5.782774141,3.329046117,1.006279776,6.248287264,3.866824087,0.8476439039,6.383155979,4.048525866,0.8340859602,6.47144864,4.042374328,0.7485965366
10,6.043343565,3.87393508,0.528419994,6.210550342,3.813081126,0.4770439586,6.158333246,3.993215402,0.5701990588,5.518833895,2.957879675,0.3279357009,5.620361533,3.064108945,-0.07509527221,5.96995574,3.50721906,0.6325850219,6.061577384,3.607841336,-0.0398960186,6.080710445,3.781535625,1.011408876,6.013964779,3.579453726,0.7741709138,5.764033782,3.247665498,0.3255809597,5.798337282,3.276821002,-0.1265177131,5.726782979,3.224481444,0.9401194784,6.074309372,3.733581331,0.8985105414,5.762573613,3.210522084,-0.2476500037,5.778238331,3.323732037,1.006391698,6.243802363,3.86113609,0.8473858118,6.378533109,4.043054001,0.8338519883,6.465745998,4.037552389,0.7485931962
