ope_tip_data.tx,ope_tip_data.ty,ope_tip_data.tz,hyoid_tip_data.tx,hyoid_tip_data.ty,hyoid_tip_data.tz,upper_jaw_tip_data.tx,upper_jaw_tip_data.ty,upper_jaw_tip_data.tz,lower_jaw_tip_data.tx,lower_jaw_tip_data.ty,lower_jaw_tip_data.tz
0.7735769718,-0.9073851534,1.621128586,2.317436777,1.215143377,0.3861601492,3.606665463,2.834745412,0.4279461742,3.626667099,2.444904309,0.3917308656
0.7740134907,-0.9080381075,1.619871306,2.316970917,1.214715883,0.383261915,3.60683909,2.835033528,0.427008694,3.626845435,2.44496062,0.3908008433
0.7744109617,-0.9086493731,1.618660337,2.316490491,1.214286383,0.3804917503,3.607002459,2.835319603,0.4261289358,3.627015281,2.445017875,0.3899394252
0.7747678832,-0.9092175005,1.617497538,2.315993981,1.213853751,0.3778516695,3.607155257,2.835603417,0.4253092682,3.627176188,2.445076471,0.3891489003
0.7750827427,-0.9097410292,1.61638477,2.315479877,1.21341686,0.375343701,3.607297165,2.835884761,0.4245520349,3.627327706,2.445136803,0.3884315675
0.7753540151,-0.9102184855,1.615323891,2.314946668,1.212974576,0.3729698839,3.607427851,2.836163444,0.4238595551,3.627469384,2.445199273,0.3877897352
0.7755901969,-0.9106577872,1.614304133,2.314400339,1.212534062,0.3707194434,3.60755049,2.836439561,0.423223235,3.627602709,2.445262616,0.3872108149
0.775801669,-0.9110693362,1.613312694,2.313848784,1.212104107,0.3685778537,3.607668529,2.836712993,0.4226313976,3.627729753,2.445324883,0.3866785745
0.775989712,-0.9114553587,1.612348387,2.313293374,1.211686024,0.3665415212,3.607782019,2.836983268,0.4220816485,3.627850938,2.445385456,0.3861898707
0.776155595,-0.9118180632,1.611410022,2.312735489,1.211281123,0.3646068404,3.60789098,2.837249954,0.4215715043,3.627966688,2.445443723,0.3857415685
0.7763005781,-0.9121596435,1.610496404,2.312176518,1.210890707,0.362770198,3.607995404,2.837512657,0.4210983973,3.628077425,2.445499074,0.3853305414
0.7764259137,-0.9124822808,1.609606337,2.311617861,1.210516077,0.3610279772,3.608095256,2.837771017,0.4206596814,3.628183571,2.445550904,0.384953672
0.7765229609,-0.9127801327,1.608738248,2.311055961,1.210155677,0.3594030557,3.608188194,2.838023486,0.4202675471,3.628284178,2.445598478,0.3846258415
0.7765869196,-0.9130489885,1.60789229,2.310487774,1.209808173,0.3579072952,3.608272905,2.838269254,0.4199298138,3.628378331,2.445642068,0.3843557292
0.7766247894,-0.913293453,1.607069856,2.309915514,1.209475147,0.3565206667,3.608350902,2.838509068,0.4196373119,3.628466515,2.445682574,0.3841309495
0.7766435637,-0.9135181197,1.606272333,2.309341448,1.20915813,0.3552232901,3.608423727,2.838743645,0.419380992,3.628549229,2.445720892,0.383939152
0.7766502381,-0.9137275797,1.605501097,2.308767893,1.208858601,0.3539954331,3.608492955,2.838973664,0.419151921,3.628626985,2.445757901,0.3837680175
0.7766518154,-0.9139264273,1.604757517,2.308197218,1.208577987,0.3528175079,3.608560193,2.839199767,0.4189412774,3.628700311,2.445794474,0.3836052558
0.7766208999,-0.914095479,1.604062076,2.307616725,1.208302568,0.351735934,3.608620346,2.839422975,0.4187763878,3.628764164,2.445830825,0.3834898863
0.7765374506,-0.9142208365,1.603423818,2.307017536,1.208024312,0.3507907725,3.608670519,2.83964374,0.4186793035,3.628815364,2.445866533,0.3834523554
0.7764195163,-0.9143150148,1.602826938,2.306407778,1.20775316,0.3499529988,3.608715655,2.839861819,0.4186334301,3.628857259,2.445901492,0.3834675767
0.7762851638,-0.9143905271,1.60225562,2.305795587,1.207499069,0.3491936003,3.608760718,2.840076949,0.4186222441,3.628893233,2.445935568,0.3835105135
0.7761524862,-0.9144598966,1.601694044,2.305189114,1.20727199,0.3484835965,3.608810691,2.840288852,0.4186292764,3.6289267,2.445968598,0.383556173
0.7760396076,-0.9145356622,1.60112638,2.304596533,1.207081867,0.3477940542,3.608870703,2.840479371,0.4186676381,3.628961108,2.446000388,0.3835796002
0.7758605779,-0.914521111,1.600623524,2.303943607,1.206869646,0.3472679126,3.608917412,2.840664747,0.4188623087,3.628968112,2.446055341,0.3837327088
0.7755556814,-0.9143561533,1.600234182,2.3031857,1.206597697,0.3470038817,3.608935061,2.840870828,0.4192625462,3.628930378,2.446145929,0.3841143324
0.7751825541,-0.9141083644,1.599909198,2.302375434,1.206308093,0.3469065647,3.608939746,2.841091043,0.4197720206,3.628867942,2.446254016,0.3846199433
0.774799217,-0.9138456742,1.599599355,2.301565568,1.206042771,0.3468804878,3.608947608,2.841318779,0.4202942205,3.628800958,2.446361345,0.3851450749
0.7744641967,-0.9136365078,1.599255375,2.300809071,1.205843435,0.3468302467,3.608974885,2.841547313,0.4207325291,3.62874973,2.44644948,0.3855853386
0.7742364865,-0.9135497414,1.598827914,2.30015911,1.205751554,0.3466606232,3.609048418,2.841759904,0.4210205966,3.628734698,2.446499827,0.3858364131
0.7740884144,-0.9135494473,1.598295346,2.29960165,1.20577491,0.3465088681,3.609165351,2.841963799,0.4212606177,3.628754123,2.446508222,0.3859743915
0.7739517826,-0.9135554345,1.597691206,2.299081202,1.205879582,0.3465282397,3.609297943,2.842177752,0.4215591421,3.628788373,2.446489581,0.3861322464
0.7738251395,-0.9135705287,1.597048858,2.298589046,1.206044152,0.3466483686,3.609436818,2.842387358,0.4218825093,3.628831156,2.446453818,0.3862910524
0.7737071881,-0.9135977568,1.596401673,2.298116605,1.206247054,0.3467994999,3.609572723,2.842578012,0.4221975417,3.628876217,2.44641081,0.3864319023
0.7735967922,-0.9136403582,1.595783033,2.297655369,1.206466672,0.3469122729,3.609696501,2.842734973,0.4224713841,3.628917314,2.446370422,0.3865358729
0.7734929533,-0.913701757,1.595226328,2.297196864,1.206681378,0.3469176009,3.60980138,2.842861164,0.4226658727,3.628948212,2.446342517,0.3865840165
0.7734185341,-0.9137882369,1.594726302,2.29677909,1.206944153,0.3468740301,3.609888704,2.842977233,0.422770141,3.628973635,2.446322211,0.3865439683
0.7733906603,-0.9139004091,1.594255104,2.296434217,1.207308344,0.3468767711,3.609963231,2.843092028,0.422810427,3.629001534,2.446298594,0.3864087589
0.7733997637,-0.914033247,1.593812259,2.296145042,1.207752867,0.3469119797,3.610032079,2.843201571,0.4228033411,3.629030519,2.446272478,0.3861975454
0.7734362351,-0.9141816764,1.593397301,2.295894347,1.208256669,0.3469657707,3.610102371,2.843301867,0.4227655766,3.629059187,2.446244685,0.3859294759
0.7734904327,-0.9143405858,1.593009774,2.295664892,1.208798729,0.3470241037,3.610181207,2.843388939,0.4227137972,3.629086108,2.446216067,0.3856236546
0.7735526897,-0.9145048352,1.592649231,2.295439413,1.209358055,0.3470727117,3.610275609,2.843458891,0.422664456,3.629109819,2.446187516,0.3852991207
0.7736133202,-0.9146692631,1.592315225,2.295200631,1.209913686,0.3470970722,3.610392452,2.843507996,0.4226335454,3.629128823,2.446159972,0.3849748426
0.7736626225,-0.9148286904,1.592007312,2.294931251,1.210444679,0.3470824224,3.610538365,2.843532815,0.4226362785,3.6291416,2.446134411,0.3846697257
0.7736908824,-0.9149779242,1.591725049,2.294613979,1.210930099,0.3470138157,3.610719619,2.843530338,0.4226867025,3.629146611,2.44611183,0.3844026365
0.7736883729,-0.9151117581,1.591467988,2.294231526,1.211349005,0.3468762227,3.610941993,2.843498158,0.4227972443,3.629142325,2.446093222,0.3841924395
0.7736453542,-0.9152249709,1.591235679,2.293766635,1.211680428,0.3466546734,3.611233788,2.8434038,0.4230309775,3.629127239,2.446079541,0.3840580506
0.7735717538,-0.9152366478,1.591408473,2.293220486,1.211992452,0.3464805032,3.611597054,2.843269855,0.4233736694,3.629079834,2.446110591,0.3839859225
0.7734860846,-0.9151201002,1.592154149,2.292620033,1.212346859,0.3464357728,3.611996242,2.843146125,0.4237306024,3.628993901,2.446201567,0.3839412717
0.7733914821,-0.9149514528,1.593153485,2.29198672,1.212713217,0.3464319102,3.612396217,2.843042353,0.4240432404,3.628890922,2.446316498,0.3839112512
0.773291281,-0.9148073183,1.594087441,2.291341992,1.213061088,0.3463805974,3.612766857,2.842961866,0.4242695523,3.628792353,2.446419477,0.3838830716
0.773189096,-0.9147649628,1.594637175,2.290707294,1.213360011,0.3461937867,3.613082496,2.842901927,0.4243824465,3.628719611,2.446474666,0.3838440004
0.773088718,-0.9149019746,1.59448397,2.290104109,1.213579532,0.3457836716,3.613399634,2.842793416,0.4244374288,3.628694068,2.44644631,0.3837813065
0.7729810298,-0.9152060497,1.593790076,2.289478877,1.2137257,0.3452319986,3.613781902,2.842566063,0.4244564022,3.628681487,2.446330826,0.3836937737
0.7728568913,-0.915592544,1.592949106,2.288786665,1.213834049,0.3446710102,3.614204351,2.842252214,0.4244067841,3.628644897,2.446161177,0.3835958653
0.7727200352,-0.9160303195,1.591989354,2.28806207,1.213918258,0.3440890425,3.614625118,2.841906939,0.4243001913,3.62860145,2.445956627,0.3834981866
0.7725742085,-0.916488238,1.590939092,2.287339778,1.213991881,0.3434747728,3.615004847,2.841581692,0.4241568826,3.628568104,2.445736712,0.3834110823
0.7724231843,-0.9169351732,1.589826586,2.286654561,1.21406835,0.3428172301,3.615306315,2.841324672,0.4240045794,3.628561589,2.445521297,0.3833445904
0.7722707615,-0.9173400151,1.588680095,2.286041344,1.2141609,0.3421058267,3.615538458,2.8411637,0.4238655037,3.628598436,2.445330528,0.3833084871
0.7721069756,-0.9177636425,1.587358819,2.285461065,1.21422439,0.3412389944,3.615749176,2.841031392,0.4237212822,3.628661419,2.445120885,0.3832921177
