C2P1T04_hyoid_data.tx,C2P1T04_hyoid_data.ty,C2P1T04_hyoid_data.tz,C2P1T04_hyoid_data.rx,C2P1T04_hyoid_data.ry,C2P1T04_hyoid_data.rz
2.328616174,0.5860074607,0.998853422,55.85929729,36.68814568,64.8825137
2.328097249,0.5860859138,0.9964105927,55.73538796,36.68816987,64.8915682
2.327585051,0.5861555344,0.9940927519,55.6134296,36.68851256,64.90234189
2.327078896,0.5862160808,0.9919025104,55.49331022,36.68920149,64.91490734
2.326578104,0.5862673036,0.9898424997,55.37491801,36.69026481,64.92933759
2.326082002,0.5863089491,0.9879153675,55.25814134,36.6917311,64.94570616
2.325592469,0.5863443702,0.9861067043,55.14362425,36.69347357,64.96361325
2.325111949,0.5863772053,0.984397067,55.03217018,36.6952934,64.98254425
2.32464063,0.5864076215,0.9827815496,54.92390649,36.69711104,65.00240095
2.324178709,0.5864357775,0.9812552328,54.81896019,36.69884632,65.02308547
2.323726402,0.5864618214,0.9798131887,54.71745792,36.70041852,65.04450017
2.323283938,0.5864858902,0.9784504853,54.61952596,36.70174649,65.06654778
2.322852651,0.5865037154,0.9771871385,54.52564902,36.70272724,65.08964833
2.322432493,0.5865137669,0.9760345491,54.43594642,36.70336675,65.11404863
2.322021681,0.5865202239,0.9749749929,54.34999619,36.70374786,65.13939328
2.321618493,0.5865271939,0.9739909193,54.26737655,36.70395461,65.16532877
2.321221273,0.5865387158,0.9730649476,54.18766592,36.70407228,65.19150335
2.32082842,0.5865587623,0.9721798628,54.11044292,36.70418732,65.21756687
2.320436188,0.5865734825,0.97138125,54.03532041,36.70408975,65.24446276
2.320043783,0.5865727914,0.9707067143,53.96245811,36.70360277,65.27297483
2.319654084,0.5865662771,0.970127184,53.89225504,36.70286283,65.30251479
2.31926998,0.5865635307,0.9696135983,53.82511012,36.70200557,65.3324945
2.318894382,0.5865741321,0.9691369284,53.76142214,36.70116598,65.36232608
2.318530225,0.5866076409,0.9686681936,53.70158983,36.70047864,65.39142196
2.318141719,0.5866492402,0.9683920159,53.63912167,36.70178364,65.42337487
2.317708463,0.5866833191,0.9684274261,53.57054088,36.70587567,65.46053029
