frame,AA01_data.tx,AA01_data.ty,AA01_data.tz,AA02_data.tx,AA02_data.ty,AA02_data.tz,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz
1,6.929461478,4.795985636,0.6562210026,7.101765073,4.842395575,0.8328672663,7.019889291,4.986161152,1.082012656,7.041846622,5.173124132,1.266586577,7.137680569,5.111180142,1.4623592,6.865913152,4.684277179,0.6367124259,6.927260033,4.620876123,1.018976581,6.848779822,4.580172545,0.2995676758,7.016779334,4.705946198,1.153027201,7.187624054,4.866211415,1.997021748,6.96912776,4.503131471,1.71706512,7.269503039,4.998011383,1.712356701,7.038324644,4.869035815,0.3479563911,7.240158087,5.104520048,0.9871189722,7.340496533,5.105821017,1.771523929,7.34910882,5.184289738,1.29037673,7.397489604,5.295308358,1.333808842,7.431968222,5.30120217,1.567374882,7.430547503,5.264780762,1.689263667
2,6.917025054,4.784744566,0.6542111674,7.089133757,4.831112472,0.8308784086,7.007613659,4.974939914,1.080025525,7.029486329,5.161748526,1.264712569,7.125294536,5.09991121,1.460415484,6.85252736,4.673175555,0.635231829,6.917172529,4.608548379,1.01712498,6.835780176,4.569078153,0.2977871432,7.004950415,4.694756976,1.150651161,7.174972628,4.854907682,1.994881895,6.956979586,4.491364835,1.715216742,7.257461851,4.986709064,1.711557418,7.025540439,4.858073227,0.3457579311,7.22788244,5.093266305,0.9848499251,7.328363456,5.094340091,1.769462296,7.336468274,5.172980117,1.288504817,7.385136079,5.284003069,1.331470062,7.419672944,5.289989866,1.565172931,7.417925995,5.252973755,1.687159693
3,6.904578553,4.77354991,0.6522293053,7.07650718,4.819878245,0.8289158446,6.99531465,4.963761464,1.078068745,7.017111302,5.150421344,1.262856902,7.112899754,5.088684667,1.458497559,6.839185899,4.662104287,0.6337771704,6.906938632,4.59633048,1.015306323,6.822818434,4.558020316,0.2960221214,6.993076092,4.683612288,1.148311224,7.162343058,4.843624152,1.99277405,6.944830485,4.479659968,1.713396056,7.245391019,4.975444993,1.710733683,7.012754793,4.847156784,0.3435921369,7.21558189,5.082068117,0.9826282561,7.316199926,5.082911941,1.767406989,7.323835358,5.161720417,1.286650416,7.372769781,5.272749737,1.329175354,7.407371872,5.278823921,1.563000051,7.405315295,5.241244464,1.685084325
4,6.892121308,4.762403261,0.6502760909,7.063884974,4.808694505,0.8269803176,6.98299084,4.95262751,1.07614324,7.004720429,5.139144391,1.261019785,7.100495293,5.077502345,1.456606092,6.825889326,4.651063823,0.632350269,6.896553416,4.584226112,1.013522368,6.80989584,4.547000114,0.2942730567,6.981154384,4.672513753,1.146008029,7.149735371,4.832361337,1.990699119,6.932679984,4.468018911,1.711604174,7.233288725,4.96422059,1.709885887,6.999967402,4.836288403,0.3414598894,7.203255064,5.070927545,0.9804552897,7.304003969,5.071538681,1.765357084,7.311210046,5.150512655,1.284813818,7.360390045,5.261550354,1.326925647,7.395064404,5.267706141,1.560856674,7.392715065,5.229595491,1.68303831
5,6.879652666,4.751306198,0.6483521999,7.051266786,4.797562847,0.8250725716,6.970640818,4.941539737,1.074249938,6.992312609,5.127919455,1.25920143,7.08808023,5.066366058,1.454741749,6.812638209,4.640054598,0.6309529433,6.88601196,4.572238937,1.01177488,6.797013648,4.53601861,0.2925403943,6.969183324,4.661462971,1.143742217,7.137149611,4.821119729,1.988658011,6.920527626,4.456443689,1.709842211,7.221153163,4.953037258,1.709014422,6.987177976,4.825469986,0.3393620706,7.190900603,5.059846628,0.9783323527,7.291773625,5.060222409,1.763311661,7.298592325,5.139358829,1.282995312,7.347996215,5.250406894,1.324721871,7.382749949,5.256638314,1.558743229,7.380124978,5.218029421,1.681022394
6,6.867172081,4.740259522,0.6464601669,7.038650153,4.786484713,0.8231948282,6.958267024,4.930498972,1.072389719,6.97988847,5.116747081,1.257406447,7.075654423,5.055276399,1.452906607,6.799425774,4.629083113,0.6295816793,6.875338356,4.560357161,1.010059782,6.784161783,4.52507926,0.2908270108,6.957170069,4.650460487,1.141517805,7.124580523,4.809908894,1.986651459,6.908372364,4.44493304,1.708110318,7.20898745,4.941898534,1.708120793,6.974384305,4.81469976,0.3373004851,7.178520845,5.048825256,0.9762590906,7.279513466,5.048961916,1.761282869,7.285976018,5.128259189,1.281199832,7.335585763,5.239319336,1.322565904,7.370425072,5.245621954,1.55666283,7.367540275,5.206543834,1.679038
7,6.854684637,4.729252907,0.6445964775,7.026038128,4.775450027,0.8213430896,6.945878932,4.919494505,1.070557313,6.967455609,5.105616117,1.255634138,7.063224323,5.044222094,1.45109682,6.786249293,4.618146375,0.6282254534,6.864565397,4.548556283,1.008366868,6.771333286,4.514175289,0.2891302073,6.945128356,4.639495792,1.139332385,7.112028514,4.798727136,1.984673985,6.896218085,4.43347421,1.706402262,7.196802835,4.930796275,1.707201851,6.961589172,4.803964809,0.3352703996,7.16612513,5.037850753,0.9742279563,7.267236188,5.037743991,1.75927844,7.273361245,5.117201425,1.279426281,7.323163188,5.228275291,1.320452771,7.358093588,5.234646213,1.554613154,7.354963092,5.195123022,1.677080756
8,6.84219592,4.718275681,0.6427543719,7.01343637,4.764447621,0.8195104384,6.933483288,4.908515093,1.068746133,6.955020827,5.094515141,1.253878507,7.05079638,5.03319149,1.449305923,6.773113287,4.607234977,0.6268764185,6.853699109,4.536825212,1.006690289,6.758532089,4.503296912,0.2874436313,6.933063902,4.628558246,1.137178565,7.099499735,4.787562261,1.982718855,6.884069637,4.422056106,1.704711114,7.184607252,4.919718719,1.706252736,6.948797538,4.793254938,0.3332645669,7.153720131,5.026910881,0.9722312514,7.254949459,5.026557125,1.757292597,7.260754872,5.106173254,1.277667704,7.31073572,5.217262771,1.318374971,7.345763107,5.223698871,1.552588315,7.342400772,5.183754132,1.67514454
9,6.829706164,4.707327615,0.6409325874,7.000844985,4.75347711,0.8176955498,6.921080865,4.897560158,1.066955103,6.942584499,5.083443458,1.252139054,7.038370604,5.022183873,1.447533006,6.760017137,4.596349832,0.6255322011,6.842740258,4.525163362,1.005029699,6.745757385,4.492444584,0.2857664198,6.920976917,4.61764789,1.135054504,7.086994006,4.776413184,1.980784929,6.871926382,4.410678311,1.703035466,7.17240224,4.908665324,1.705274229,6.936009067,4.782570548,0.3312813085,7.141306389,5.016004463,0.9702669161,7.242654318,5.015401162,1.75532523,7.248157295,5.095173693,1.275922831,7.29830389,5.206281179,1.316330701,7.333434382,5.212779202,1.550588138,7.329853797,5.172435816,1.673228942
10,6.817215594,4.696408483,0.6391298447,6.988264073,4.742538116,0.8158970822,6.908672433,4.886629133,1.06518313,6.930146996,5.07240038,1.250415263,7.025947001,5.011198531,1.445777144,6.746960217,4.585491855,0.6241904141,6.831689606,4.51357015,1.003384732,6.733008365,4.481618766,0.2840976963,6.908867604,4.60676477,1.132958341,7.074511139,4.765278827,1.978871052,6.859787675,4.39934041,1.701373893,7.160189341,4.897635552,1.704267092,6.923223419,4.771912046,0.3293189316,7.12888444,5.005130328,0.9683328723,7.230351802,5.004275957,1.753376214,7.23556891,5.084201763,1.274190371,7.285868226,5.195329929,1.314318138,7.32110816,5.201886483,1.54861243,7.317322645,5.161166733,1.671333531
