C2P2T17_sup_data.tx,C2P2T17_sup_data.ty,C2P2T17_sup_data.tz,C2P2T17_sup_data.rx,C2P2T17_sup_data.ry,C2P2T17_sup_data.rz
3.141399661,1.539476537,0.8742954285,4.066123192,17.18794416,86.03373533
3.142077445,1.539250038,0.8741689922,4.075935894,17.1952178,86.05936013
3.142795684,1.539035998,0.8740657129,4.084398563,17.20322786,86.08703352
3.143557092,1.538834703,0.8739875363,4.091429983,17.21205194,86.11689752
3.144364377,1.53864645,0.8739364033,4.096949443,17.22176777,86.14909423
3.145220245,1.538471543,0.8739142497,4.1008768,17.23245319,86.18376579
3.146111328,1.538308978,0.8739131784,4.103680728,17.24375216,86.22021493
3.147021639,1.538157417,0.8739220317,4.105870838,17.25521383,86.25760203
3.147949942,1.538016676,0.8739378531,4.107428777,17.2667741,86.29585573
3.148895002,1.537886569,0.8739576923,4.108336044,17.27836895,86.33490464
3.149855584,1.537766909,0.8739786052,4.108573988,17.28993447,86.37467733
3.150853541,1.53765992,0.874013594,4.107420673,17.30209581,86.41624075
3.151899238,1.537566747,0.8740705426,4.1045795,17.31517802,86.46011184
3.152974224,1.537485545,0.8741388525,4.100667917,17.32866683,86.50539383
3.154060067,1.537414425,0.8742079503,4.096300714,17.34204749,86.55118948
3.155138362,1.537351447,0.8742672878,4.092089861,17.35480466,86.59660111
3.156190722,1.537294624,0.8743063398,4.088644569,17.36642241,86.64073057
3.157298976,1.537245,0.8743620932,4.083220657,17.37910541,86.68768537
3.158511505,1.537204995,0.8744587118,4.074216546,17.39418372,86.73987767
3.159759837,1.53717452,0.8745665301,4.063945421,17.4098275,86.79386495
3.160975613,1.537153288,0.8746559981,4.05470777,17.42420401,86.8462031
3.162090584,1.537140809,0.8746976763,4.048791604,17.43547757,86.89344655
3.163298427,1.537133082,0.8747987144,4.041515733,17.44890471,86.94551839
3.164749655,1.537129358,0.8750363844,4.028743845,17.46858331,87.01010095
3.166311478,1.537133616,0.8753367421,4.01355991,17.49093693,87.08038454
3.167851441,1.537149299,0.8756263871,3.999019502,17.51238557,87.14955716
3.16923747,1.537179261,0.8758325407,3.988146624,17.52934513,87.21080463
3.170337773,1.537225879,0.8758828901,3.983941743,17.53822902,87.25731061
3.171390173,1.537300255,0.8758562941,3.982954254,17.54374784,87.30041559
3.172607949,1.537404341,0.8758518714,3.980902829,17.55109362,87.35079852
3.173822752,1.537526171,0.8758281312,3.979527321,17.55740273,87.40064772
3.174866515,1.537653164,0.875744048,3.980557673,17.55981285,87.44214972
3.175571339,1.537772264,0.8755588438,3.985720204,17.55546332,87.46748927
3.175810437,1.537904679,0.8752016327,3.998090029,17.54226321,87.47104415
3.175635201,1.538073454,0.8746571291,4.018348693,17.52111115,87.45542048
3.175144912,1.538268316,0.873967646,4.044643964,17.49363193,87.4251455
3.174438927,1.538479063,0.8731755579,4.075120995,17.46144922,87.38474758
3.173616824,1.538695399,0.8723235887,4.107910903,17.42618451,87.33875602
3.172778506,1.538906815,0.8714549972,4.141123342,17.38945633,87.29170097
3.172024245,1.539102534,0.8706136611,4.172843033,17.3528797,87.24811323
3.171454684,1.539271503,0.86984406,4.201130213,17.31806582,87.21252425
3.171170781,1.539402443,0.8691911586,4.224024964,17.28662204,87.18946626
3.171273709,1.53948396,0.8687001913,4.239555375,17.26015221,87.18347244
3.171227798,1.539548647,0.8681594521,4.257744625,17.2276008,87.17099802
3.170644234,1.539628722,0.8674109521,4.286011239,17.18165919,87.1347865
3.169845047,1.539711979,0.8665811724,4.318444676,17.12954099,87.08880816
3.169153513,1.539785198,0.8657984126,4.349054681,17.07844184,87.04703654
3.16889434,1.539833905,0.8651930315,4.371760012,17.0355364,87.02344802
3.169393197,1.539842903,0.8648965584,4.380423881,17.00798215,87.03202375
3.170575548,1.539777028,0.8648645233,4.373889279,16.99215347,87.0716418
3.17207293,1.539641427,0.8649451347,4.358078557,16.97930609,87.127139
3.173770093,1.539481582,0.8651084913,4.337482097,16.96891519,87.19144008
3.175551642,1.539342995,0.8653244148,4.316588517,16.96045733,87.25746781
3.17730209,1.539271124,0.8655625396,4.299878213,16.95340947,87.31814243
3.17926736,1.539227122,0.8659708312,4.28056279,16.95349177,87.38707863
3.18170662,1.539148527,0.8666692181,4.250575904,16.96493656,87.47913454
