frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz,F15_data.tx,F15_data.ty,F15_data.tz
1,7.139397106,2.234629852,0.4216942472,7.350472936,2.305768221,0.4106412942,7.300073568,2.359233764,0.4091150954,6.5436885,1.502261675,1.182484538,7.00678137,1.933004375,0.564695469,7.145744471,2.082291886,0.03241063343,7.244420474,2.151991394,0.09297991795,7.100287753,2.025308897,0.4243084929,7.168588824,2.01640851,1.074818688,7.109860879,2.045466524,0.30701225,7.231447871,2.136673891,0.6061103408,7.142617877,2.078286493,0.1732107226,7.213868947,2.168255781,-0.05201367874,7.322910483,2.227667051,-0.134959638,7.463236938,2.363834021,0.9871950212,7.610024128,2.511651645,0.787852804,7.547403147,2.420750589,0.8573138273,7.362842173,2.239954456,1.053946363
2,7.136436367,2.23167787,0.416020928,7.347074748,2.302002259,0.4059986605,7.297696255,2.354752911,0.4052314567,6.54077656,1.499769945,1.177049447,7.004492705,1.930143405,0.5606483587,7.139881272,2.078977692,0.02860956654,7.239024992,2.148660401,0.08938606238,7.099284974,2.02344177,0.4210684427,7.165422588,2.013416264,1.07074936,7.106071668,2.041735422,0.3008625339,7.236199792,2.132887965,0.6017373645,7.1363871,2.075031536,0.1679493755,7.212615838,2.164268496,-0.05359971467,7.32076318,2.224732857,-0.1418681115,7.460782146,2.36218736,0.9848927583,7.605626394,2.50695809,0.7849335043,7.544620854,2.418050255,0.8519331654,7.361508592,2.239493944,1.051505681
3,7.13346154,2.22874491,0.4104792094,7.343747654,2.298383854,0.4013878606,7.295214004,2.350512171,0.401272056,6.538036398,1.497317207,1.171651551,7.002240467,1.927393244,0.5565043748,7.134072931,2.075753065,0.02479438507,7.234017878,2.145299738,0.08568220927,7.098333323,2.021746174,0.418185685,7.162366212,2.010583526,1.066683454,7.102411251,2.038137489,0.2948911638,7.240133287,2.129292799,0.5974270967,7.130552731,2.071813461,0.1627289316,7.211206254,2.16035109,-0.05518055238,7.318239165,2.222020482,-0.1485237122,7.458298514,2.360525372,0.982187919,7.601419741,2.502613455,0.7818277366,7.54184,2.415424393,0.846664419,7.360054476,2.238838669,1.04889247
4,7.130466099,2.22585005,0.4050817828,7.34046763,2.294909207,0.3968260268,7.292646989,2.346488103,0.3972768112,6.535410718,1.494917705,1.166374011,7.000008559,1.92477161,0.5522564802,7.128401525,2.072600466,0.02098684428,7.229302827,2.141969623,0.08191389495,7.097390372,2.020145413,0.4155294206,7.159389534,2.007859898,1.062676167,7.098873321,2.034655209,0.2891498765,7.243213244,2.125908161,0.5931800437,7.124981967,2.068561688,0.1575039287,7.209635188,2.156521298,-0.05684380442,7.315470461,2.219434579,-0.1549530749,7.455782552,2.358839042,0.9791958289,7.597381098,2.498576668,0.7785609719,7.539048095,2.412902578,0.8415067172,7.358433068,2.238019204,1.046074148
5,7.127431166,2.223010801,0.3998270202,7.337211387,2.291584619,0.3923164252,7.28998465,2.342684421,0.3932561657,6.532859002,1.49258341,1.16124757,6.99776814,1.922288526,0.5479110872,7.12289678,2.069518345,0.01718425939,7.224821566,2.138699415,0.07809446607,7.096415973,2.018614057,0.413035553,7.156463215,2.005231854,1.058744073,7.095439754,2.031289232,0.2836528,7.245421977,2.122767418,0.5889853854,7.119605338,2.065258399,0.1522426229,7.207883952,2.152795924,-0.05862165811,7.312497771,2.216930827,-0.161154808,7.453219009,2.357131578,0.975960801,7.593484023,2.494838086,0.7751447856,7.536220366,2.410501978,0.8364578442,7.356600916,2.237037408,1.04300773
6,7.124315763,2.22024529,0.3946883187,7.333959361,2.288441301,0.3878407428,7.2871697,2.339150998,0.3891718158,6.530381183,1.490326441,1.156216672,6.995482166,1.919939705,0.5434871282,7.117488157,2.066527087,0.01335308185,7.220612592,2.135472726,0.07417509488,7.095424447,2.017238902,0.4108041923,7.153585849,2.0027541,1.054820671,7.092098757,2.028077823,0.2783678569,7.246802036,2.11986883,0.5848263773,7.114460406,2.061944773,0.1469181041,7.205905987,2.149188697,-0.06048509504,7.309149731,2.214628645,-0.167116877,7.450571128,2.355425433,0.9723915701,7.589711004,2.491449181,0.7715600413,7.533344954,2.408236087,0.8314914826,7.354521192,2.235864161,1.039661532
7,7.121091737,2.217565617,0.3896447505,7.330692142,2.285499504,0.3833774779,7.284165043,2.335915751,0.3849928205,6.527970363,1.488157742,1.151237607,6.993121146,1.917720625,0.5389891523,7.11211897,2.063647222,0.00946983203,7.216688931,2.132286322,0.07012158121,7.094409997,2.0160672,0.4088744447,7.150745329,2.000460247,1.050864332,7.088830408,2.025045292,0.2732631932,7.247407593,2.11717863,0.580687519,7.109566433,2.058654956,0.14152221,7.203671788,2.145711358,-0.06242563788,7.305338354,2.212594509,-0.1728481897,7.447810628,2.353738081,0.9684251391,7.586043532,2.488443779,0.767781571,7.530402808,2.40611598,0.8265887973,7.352178341,2.234501059,1.036032128
8,7.117759508,2.214978984,0.3846971469,7.327386727,2.282747773,0.3789191278,7.280990476,2.33294823,0.3807347073,6.525575802,1.486086444,1.146352872,6.990656358,1.915625554,0.5344185964,7.106839787,2.060876214,0.005540894911,7.212954141,2.129188041,0.06596307983,7.093302332,2.015012366,0.4070850089,7.147896348,1.998303974,1.046923092,7.085604463,2.022170148,0.2683473217,7.247293609,2.114661795,0.5765502625,7.104826577,2.055359147,0.1360454736,7.201188241,2.142376166,-0.06451234631,7.301229572,2.210703432,-0.1783844527,7.444935062,2.352064232,0.9641422417,7.58245373,2.48578448,0.7638059969,7.527358414,2.404153887,0.8217527515,7.34956083,2.232994579,1.032112864
9,7.114320941,2.212491047,0.3798442393,7.324021562,2.28017305,0.3744561557,7.277667267,2.330216484,0.376411002,6.523148188,1.484120272,1.141602896,6.988060518,1.9136472,0.5297748624,7.101702629,2.05821003,0.001570554357,7.209313205,2.126224174,0.06172656937,7.092032588,2.013985707,0.4052728213,7.144995088,1.996237543,1.043043081,7.082392151,2.019429357,0.2636267581,7.246516497,2.112281694,0.5723940844,7.100145464,2.052025895,0.1304764885,7.19846363,2.139193579,-0.06681639219,7.296990866,2.208828874,-0.1837631507,7.441943466,2.350397286,0.9596215552,7.578915173,2.483432297,0.7596279757,7.524177689,2.402360467,0.8169842149,7.346658526,2.231389613,1.027894892
10,7.110779933,2.21010558,0.3750838004,7.320577131,2.277760351,0.3699781337,7.274218748,2.327686729,0.3720343697,6.520640229,1.48226521,1.137027193,6.985401349,1.911864922,0.5248134739,7.096761561,2.055642813,-0.002437868021,7.205673116,2.123439125,0.05743799939,7.090533917,2.012896081,0.4032742058,7.14199982,1.994211466,1.039269662,7.079166759,2.016798009,0.2591071667,7.244738686,2.110136108,0.5681622559,7.09542978,2.048621759,0.1248030575,7.195508218,2.136171922,-0.06940991755,7.292791865,2.20684242,-0.1890224141,7.438836951,2.348729011,0.9549408386,7.575403483,2.481346334,0.7552413437,7.520828577,2.400744479,0.8122831056,7.343463273,2.22972914,1.023368306
