T1P1T06_hyoid_data.tx,T1P1T06_hyoid_data.ty,T1P1T06_hyoid_data.tz,T1P1T06_hyoid_data.rx,T1P1T06_hyoid_data.ry,T1P1T06_hyoid_data.rz
2.007727302,-1.083132203,-1.629754605,-26.46325301,-24.78864121,38.98177675
2.007727302,-1.083132203,-1.629754605,-26.46325301,-24.78864121,38.98177675
2.007747162,-1.083137827,-1.629776413,-26.46293908,-24.78917946,38.98155973
2.007805623,-1.08315438,-1.629841567,-26.46201498,-24.79078499,38.98088407
2.007901008,-1.083181388,-1.629949664,-26.46050725,-24.79344397,38.97971283
2.008031636,-1.083218375,-1.630100302,-26.45844241,-24.79714256,38.97800909
2.008195832,-1.083264866,-1.630293077,-26.45584699,-24.80186694,38.97573594
2.008391915,-1.083320387,-1.630527585,-26.45274751,-24.80760327,38.97285645
2.008618207,-1.083384461,-1.630803425,-26.44917052,-24.81433772,38.96933368
2.008873031,-1.083456614,-1.631120193,-26.44514253,-24.82205646,38.96513073
2.009154709,-1.08353637,-1.631477485,-26.44069007,-24.83074564,38.96021066
2.00946156,-1.083623255,-1.631874898,-26.43583968,-24.84039146,38.95453656
2.009791909,-1.083716792,-1.632312031,-26.43061789,-24.85098006,38.9480715
2.010144075,-1.083816507,-1.632788478,-26.42505121,-24.86249761,38.94077855
2.010516381,-1.083921925,-1.633303838,-26.41916619,-24.87493029,38.93262079
2.010907149,-1.08403257,-1.633857706,-26.41298935,-24.88826427,38.92356131
2.011314699,-1.084147967,-1.634449681,-26.40654722,-24.9024857,38.91356316
2.011737355,-1.084267641,-1.635079359,-26.39986633,-24.91758076,38.90258944
2.012173437,-1.084391116,-1.635746336,-26.3929732,-24.93353562,38.89060322
2.012621267,-1.084517918,-1.63645021,-26.38589438,-24.95033644,38.87756757
2.013079167,-1.084647572,-1.637190578,-26.37865637,-24.96796939,38.86344558
2.013545459,-1.084779601,-1.637967036,-26.37128573,-24.98642064,38.84820031
2.014018464,-1.084913532,-1.638779182,-26.36380897,-25.00567635,38.83179484
2.014496504,-1.085048887,-1.639626611,-26.35625262,-25.0257227,38.81419226
2.0149779,-1.085185194,-1.640508922,-26.34864321,-25.04654585,38.79535563
2.015460975,-1.085321975,-1.641425711,-26.34100727,-25.06813197,38.77524804
2.01594405,-1.085458757,-1.642376574,-26.33337133,-25.09046722,38.75383255
2.016425446,-1.085595063,-1.64336111,-26.32576193,-25.11353778,38.73107226
2.016903486,-1.085730419,-1.644378914,-26.31820558,-25.13732981,38.70693022
2.017376491,-1.085864349,-1.645429583,-26.31072881,-25.16182948,38.68136953
2.017842783,-1.085996379,-1.646512715,-26.30335817,-25.18702295,38.65435325
2.018300683,-1.086126032,-1.647627906,-26.29612016,-25.21289641,38.62584446
2.018748513,-1.086252834,-1.648774754,-26.28904134,-25.239436,38.59580624
2.019184595,-1.08637631,-1.649952854,-26.28214821,-25.2666279,38.56420167
2.019607251,-1.086495984,-1.651161805,-26.27546732,-25.29445828,38.53099382
2.020014802,-1.086611381,-1.652401202,-26.26902519,-25.32291331,38.49614576
2.020405569,-1.086722026,-1.653670643,-26.26284835,-25.35197915,38.45962059
2.020777875,-1.086827444,-1.654969725,-26.25696333,-25.38164197,38.42138136
2.021130042,-1.086927159,-1.656298045,-26.25139665,-25.41188794,38.38139116
2.02146039,-1.087020696,-1.657655198,-26.24617486,-25.44270323,38.33961306
