frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz,F15_data.tx,F15_data.ty,F15_data.tz,F17_data.tx,F17_data.ty,F17_data.tz,F18_data.tx,F18_data.ty,F18_data.tz,F19_data.tx,F19_data.ty,F19_data.tz,F20_data.tx,F20_data.ty,F20_data.tz
1,6.838288987,2.318536234,0.2587339643,6.934854615,2.540560137,0.1835157683,6.924984153,2.513005666,0.2416181899,6.388555646,1.713157888,0.3165674116,6.569423442,1.907184828,-0.191882366,6.685526116,2.049200141,-0.3227978944,6.784461163,2.165743185,-0.1420642978,6.695106976,2.033006326,0.181605642,6.72780962,2.069813586,-0.1974061519,6.814813804,2.181685395,0.001325391195,6.75303803,2.078350658,-0.05511641847,6.918773629,2.266201117,-0.1934289421,6.798562633,2.122001447,0.2335427684,6.910371716,2.21970282,0.9400705202,7.001898324,2.309481091,-0.09673450252,6.912481135,2.275536426,-0.03601605551,7.028340626,2.317962155,0.04167927643,7.007821052,2.325116768,0.83284338,7.121166408,2.478473792,-0.03683856417,7.15100343,2.572102018,-0.4897247617,6.913968333,2.30937247,-0.9123457803,7.339761838,2.71625779,-0.1960576565
2,6.833978114,2.31682381,0.2555433179,6.930318627,2.537542812,0.1804443365,6.920028523,2.512501087,0.2386351097,6.384760807,1.708927728,0.3139498621,6.57155239,1.91069812,-0.1918907876,6.681735364,2.049552813,-0.3380099307,6.779407842,2.163273253,-0.1430082957,6.689157787,2.028963025,0.1769305622,6.7217174,2.068627892,-0.1967910637,6.811463448,2.177991532,-0.001633888304,6.745564465,2.075331513,-0.05415265154,6.915499282,2.264377238,-0.1940057407,6.798758498,2.123696565,0.2318725982,6.901199706,2.229673848,0.9374561183,7.000755846,2.304753004,-0.09693565559,6.914181209,2.267724757,-0.03722415511,7.021423693,2.314895817,0.04174415674,7.002142203,2.324600163,0.8313283313,7.116759383,2.477679999,-0.03921962812,7.150454037,2.568852925,-0.500444844,6.906211987,2.309975994,-0.9153208086,7.334714073,2.714907572,-0.197044819
3,6.829377976,2.314584751,0.2521438655,6.925308584,2.53412895,0.1770596657,6.914697145,2.51107779,0.2353578725,6.380577352,1.703737872,0.3106748063,6.570732896,1.911375795,-0.1927209155,6.676999262,2.048739773,-0.3515115307,6.774108065,2.16038364,-0.1443775949,6.684264166,2.024845682,0.1730067012,6.715109015,2.066571286,-0.1974203332,6.807587609,2.174011323,-0.00532134785,6.738186995,2.072009801,-0.05437360608,6.911098536,2.261965148,-0.1952239803,6.797944893,2.124104387,0.2298898649,6.892881618,2.2347782,0.933665351,6.998458962,2.300337124,-0.0979060847,6.913921054,2.260690524,-0.03876197432,7.015235465,2.311477508,0.04082159926,6.996083254,2.322912916,0.8294329343,7.112172848,2.476542949,-0.04217989196,7.148827611,2.565567306,-0.5104096134,6.899111612,2.309879597,-0.9182899549,7.328722348,2.712948858,-0.1985606709
4,6.824578494,2.311970709,0.2486402561,6.919982113,2.530454462,0.1735186661,6.909106874,2.508995183,0.2319241763,6.376029652,1.697863471,0.3069261576,6.567596736,1.909837158,-0.1941287383,6.671512348,2.047041275,-0.363184732,6.768534822,2.157305136,-0.1461039217,6.680108394,2.020771201,0.1696536648,6.708294066,2.063916528,-0.1987091671,6.803157831,2.169995945,-0.009338703468,6.730951289,2.068635315,-0.05563454391,6.906012322,2.259045629,-0.1968500032,6.796166874,2.1236471,0.2276144125,6.885379872,2.236384137,0.9291393287,6.995252218,2.296211112,-0.09946196819,6.912386251,2.254211524,-0.04050261614,7.009465126,2.307933899,0.03922501978,6.989833091,2.320405024,0.827205031,7.107402786,2.475102167,-0.04546683699,7.146470709,2.562181257,-0.5194436533,6.892505551,2.309224831,-0.9212421083,7.322155961,2.710586919,-0.2004607841
5,6.819572531,2.309023637,0.2450024883,6.914282692,2.526580388,0.1697740575,6.903210818,2.506223485,0.2282872235,6.371167486,1.691303149,0.3026189355,6.561779703,1.905783254,-0.1962293025,6.66521303,2.044460044,-0.3730691724,6.762691649,2.154096435,-0.1482295919,6.676904165,2.016835674,0.1669588274,6.701195284,2.060675211,-0.2007838357,6.798178736,2.166038074,-0.01383741543,6.723904283,2.065214567,-0.05807815661,6.900085128,2.255697993,-0.1989585649,6.793391251,2.122332763,0.2250147983,6.878695393,2.234289532,0.9237407646,6.99106208,2.292543978,-0.1017161942,6.909249518,2.248577353,-0.04244276294,7.00429788,2.304146832,0.03686931677,6.983350944,2.317028841,0.8246209211,7.102495943,2.473489147,-0.04917984006,7.143260501,2.558824111,-0.5276346087,6.886490026,2.308069894,-0.9241978261,7.31489984,2.70781729,-0.2028212603
6,6.8143622,2.305736415,0.2412453823,6.9082296,2.522492204,0.1658497298,6.897027334,2.502784096,0.2244687708,6.365958057,1.684078021,0.2977931731,6.55343827,1.899344248,-0.1989688979,6.658130429,2.041001831,-0.3811511908,6.756588945,2.15073135,-0.1507410452,6.674534585,2.012994774,0.1648578699,6.693856128,2.056856234,-0.2035721472,6.792664295,2.162090309,-0.0187550249,6.717025213,2.061750836,-0.06163983775,6.893386109,2.251892447,-0.2015079704,6.789653252,2.12017261,0.2221100623,6.872820384,2.228626736,0.9175285835,6.985936566,2.289275652,-0.1046212458,6.904632125,2.243677925,-0.04458532451,6.999649965,2.30016607,0.03380042156,6.976639587,2.312815149,0.8216914304,7.097432351,2.471653415,-0.05327081038,7.139226779,2.555466483,-0.5349234771,6.881006249,2.306423624,-0.9271534962,7.307016501,2.704644318,-0.2056077953
7,6.808991657,2.302112454,0.2374677434,6.901982566,2.518157407,0.1619063443,6.890691272,2.498848996,0.2206146752,6.360293264,1.676347387,0.2926934577,6.543555481,1.891381963,-0.2020163494,6.650462675,2.036794867,-0.3873543126,6.75026864,2.147152022,-0.1535440353,6.672368055,2.009055482,0.1629949168,6.686561634,2.052589707,-0.2065749171,6.786676504,2.158028576,-0.02363469189,6.710238413,2.058351523,-0.06596072939,6.886398549,2.247514825,-0.2042486527,6.785112275,2.117369849,0.2189867908,6.867675365,2.220527651,0.9109318141,6.98016693,2.286115106,-0.1078900694,6.899363632,2.238930304,-0.0468946462,6.99504497,2.296225868,0.03034154366,6.969811674,2.308015694,0.8184778546,7.092122428,2.469363074,-0.05742849121,7.134665007,2.551916852,-0.5410422688,6.875738292,2.304311159,-0.9300881067,7.298920899,2.701159529,-0.2086260703
8,6.803162159,2.297489291,0.2334703131,6.894928492,2.512945247,0.1574774085,6.883701788,2.493400857,0.2163759847,6.35397009,1.667083217,0.2867712703,6.529304306,1.879082462,-0.206240493,6.641469715,2.030665248,-0.3915142188,6.743533651,2.142786624,-0.1567713458,6.671857429,2.004888733,0.1625004032,6.678332226,2.046665275,-0.2115387954,6.779916492,2.153080539,-0.02996097769,6.703458343,2.053916161,-0.07181978663,6.877506071,2.242123322,-0.2077783226,6.77931887,2.112188599,0.2155684615,6.863937584,2.203869674,0.9025835057,6.972695768,2.282957221,-0.1121264186,6.891187544,2.234818966,-0.04954228791,6.991452531,2.292091374,0.02541159776,6.962063649,2.301227442,0.8149476547,7.086534899,2.466430625,-0.06250625425,7.128444612,2.548144351,-0.5460102714,6.871480917,2.301110454,-0.9328423788,7.289182024,2.696477199,-0.2122304316
9,6.797187308,2.292512547,0.2294546714,6.887704816,2.507460464,0.15302259,6.876566443,2.487460176,0.2121032825,6.347248567,1.657248717,0.2805576117,6.513453931,1.86517913,-0.2107780145,6.631910013,2.023776073,-0.3937067676,6.736459011,2.138317779,-0.1602615643,6.671756102,2.000769316,0.1624674415,6.670122875,2.040245574,-0.2167472643,6.772518621,2.148156361,-0.03624325866,6.696775435,2.049547472,-0.07850526712,6.868315604,2.236175975,-0.2115187613,6.772567004,2.106310766,0.2118998641,6.861058107,2.184509038,0.8938632076,6.964465826,2.27986223,-0.1167158787,6.8824887,2.230777126,-0.05231999764,6.98789978,2.288150145,0.02003078628,6.95429614,2.293843617,0.8111389202,7.080702471,2.46307119,-0.0676814099,7.121866856,2.54403699,-0.5498824466,6.86757676,2.297314245,-0.9355412308,7.279144854,2.69150827,-0.2160465703
10,6.791673116,2.288463901,0.2261373238,6.881165809,2.50310872,0.1496322957,6.869821405,2.482827287,0.2086775096,6.341327165,1.648265106,0.2748632479,6.497360508,1.85165961,-0.214529069,6.622242781,2.018322214,-0.3915981413,6.728362722,2.136298255,-0.1636899688,6.671752942,1.9983097,0.1616137149,6.663774263,2.034626124,-0.2190762307,6.763663764,2.146145741,-0.03971749051,6.689844455,2.048240262,-0.08706934482,6.861504886,2.230347806,-0.2145119631,6.763919694,2.102896028,0.2079346243,6.85962795,2.169283701,0.8872002964,6.955440485,2.277952725,-0.1209405337,6.877446541,2.226587813,-0.05393861382,6.982529242,2.286070284,0.01581437359,6.947960604,2.287707463,0.80738044,7.074236894,2.460130519,-0.07115685977,7.117425614,2.538708702,-0.5517953277,6.863673146,2.293597372,-0.9379046359,7.270534682,2.688025064,-0.2194588047
11,6.786137551,2.284337583,0.222677389,6.874836004,2.498685877,0.1462451697,6.863295344,2.478141085,0.205203703,6.334927388,1.639232744,0.2690609699,6.482150638,1.838757734,-0.2181613437,6.612680629,2.012619314,-0.3887036646,6.720329338,2.133961903,-0.1673954311,6.670980635,1.995616001,0.160712354,6.657701519,2.029402166,-0.2210844796,6.754704009,2.144142346,-0.04262602976,6.683299135,2.047124712,-0.09530119725,6.855033741,2.224338543,-0.2175467417,6.754972857,2.099451461,0.2036841529,6.8581178,2.155371212,0.8806154675,6.946744564,2.275906009,-0.1252042632,6.872673679,2.22222203,-0.05601225641,6.977026044,2.283763802,0.01160270189,6.942098159,2.281844557,0.8032053034,7.067786242,2.456769514,-0.0745998695,7.113039192,2.533440813,-0.5532661919,6.859609056,2.28963575,-0.9405229044,7.262398056,2.684619594,-0.2229789043
12,6.780308265,2.279909819,0.2180213433,6.868869177,2.493392259,0.1419035292,6.857449267,2.472913986,0.2009180765,6.326466288,1.630380921,0.2627061139,6.47189212,1.830021314,-0.2220077791,6.603875078,2.006248072,-0.3888685148,6.713813276,2.128890007,-0.1722236765,6.66656132,1.990924387,0.1591165153,6.651251579,2.025953017,-0.2235616115,6.747200713,2.13958373,-0.04591423957,6.677794298,2.045109114,-0.1010164643,6.848826324,2.217924978,-0.2209012076,6.747874922,2.094865305,0.1985955821,6.855053804,2.145343496,0.8730944372,6.940668377,2.272574627,-0.1297008258,6.867218368,2.216862501,-0.06067258527,6.97143372,2.279973427,0.006958843229,6.936281316,2.276660905,0.7975878924,7.061626546,2.451878658,-0.07896875983,7.106933194,2.530359858,-0.5547077545,6.853496522,2.286322747,-0.944458741,7.255678636,2.680790202,-0.2268925843
13,6.77437259,2.275370712,0.2130369692,6.863138126,2.487756061,0.1373842349,6.851970656,2.467486643,0.1965054985,6.31681414,1.621695705,0.2562483776,6.463682266,1.822999349,-0.225757137,6.595258817,1.999512733,-0.3889660407,6.707871117,2.122739766,-0.1775889562,6.660229391,1.985404368,0.1570813856,6.645115022,2.023347637,-0.2255952649,6.740116776,2.134061862,-0.0487626872,6.672800132,2.043147853,-0.1059293888,6.843209442,2.211027828,-0.2241407058,6.741293882,2.09004108,0.1931915655,6.851741714,2.137306395,0.8655797171,6.935606385,2.268783213,-0.1342282775,6.861934252,2.210849525,-0.06635598563,6.965341115,2.275837007,0.002398691143,6.930541172,2.27180548,0.7912779429,7.055374133,2.446072634,-0.08335407936,7.100047865,2.52815834,-0.5549542822,6.846243296,2.283280235,-0.9488936672,7.25001396,2.676851571,-0.2309081771
14,6.768357254,2.269869693,0.2089702859,6.857269581,2.48166994,0.1336103278,6.846290464,2.461583208,0.1926706213,6.3065299,1.612465907,0.2507429755,6.45609764,1.815252903,-0.2281737905,6.587077874,1.991318873,-0.3876003516,6.702018526,2.115468108,-0.1818074211,6.653391827,1.978601635,0.1556412388,6.639363539,2.019252749,-0.2274646952,6.733538419,2.127512756,-0.05111987309,6.668221097,2.038914425,-0.1084024205,6.837033315,2.203629559,-0.2268049948,6.735091182,2.084853831,0.1894367592,6.847251122,2.129150572,0.8589726145,6.930762315,2.263778957,-0.1377716731,6.855977989,2.204036582,-0.07127708261,6.960004393,2.270475559,-0.00133496158,6.924623131,2.266355678,0.7859133196,7.049607981,2.439779012,-0.08732770325,7.093532872,2.524621218,-0.5549998164,6.839839206,2.278794341,-0.9527145736,7.244012512,2.672040241,-0.234568628
15,6.762482713,2.26517282,0.2057025994,6.851776276,2.47690947,0.1303409885,6.840991177,2.457050242,0.1891160899,6.295704703,1.604144507,0.2460969954,6.451505751,1.809524548,-0.2287308364,6.580187793,1.982707573,-0.3844481475,6.696808463,2.108477773,-0.1845396277,6.647602938,1.972740037,0.157689936,6.633987938,2.015653951,-0.2304259507,6.728248965,2.121368763,-0.05311157793,6.664861304,2.033238891,-0.1058007477,6.830311852,2.197589522,-0.2295815171,6.730065595,2.081314345,0.1888158878,6.840934407,2.123493162,0.8529493641,6.92681629,2.259207304,-0.1399166889,6.849083354,2.197687878,-0.07678432078,6.9570692,2.265158813,-0.004552936282,6.918970193,2.261988678,0.7813510056,7.044979501,2.434868505,-0.09171093843,7.087108391,2.52316881,-0.5564764052,6.835093378,2.273810534,-0.9565291306,7.237002833,2.668516194,-0.2380564673
16,6.756368864,2.259027929,0.202743571,6.846050566,2.471091243,0.1274444658,6.835407662,2.451444102,0.1857407409,6.284345956,1.594670265,0.2418556342,6.447057393,1.80274712,-0.2287063637,6.573295439,1.972541149,-0.3808883179,6.691533664,2.099805744,-0.1868844578,6.640530099,1.964817107,0.1588071054,6.62870635,2.010353921,-0.2332892841,6.723130016,2.113731254,-0.05477598226,6.661507969,2.025618693,-0.1022784848,6.823114455,2.19049015,-0.2321197472,6.724960226,2.076486291,0.1884661881,6.83369313,2.117253614,0.8472771607,6.922865187,2.253003197,-0.1417020799,6.841748505,2.190237902,-0.08182582196,6.954133688,2.25812074,-0.00748632708,6.91336572,2.256651506,0.7771387298,7.040464372,2.428703433,-0.09576503652,7.081145108,2.519306518,-0.5579361796,6.830573771,2.267219583,-0.9600047481,7.22997436,2.66359768,-0.2414677301
17,6.749645365,2.249108247,0.2006130862,6.839228369,2.462767641,0.1252767847,6.828358806,2.443035605,0.182624025,6.271890523,1.583010779,0.2383858878,6.439216177,1.790450648,-0.228332633,6.566331096,1.958965392,-0.3746813178,6.685269175,2.088000649,-0.1889524809,6.629729663,1.951541089,0.1549432805,6.624504353,2.000760704,-0.2335257108,6.717528527,2.103699941,-0.05642105818,6.65843373,2.013608131,-0.09873950596,6.814179642,2.181261516,-0.2339791809,6.718687915,2.068531203,0.187098679,6.824856022,2.108761259,0.8426037315,6.918977894,2.243269543,-0.143288396,6.833218302,2.181158187,-0.08427016078,6.950840234,2.247005469,-0.009624711138,6.907689493,2.249099003,0.7737293968,7.036063475,2.419858727,-0.09925315268,7.076626557,2.508391595,-0.5591961095,6.827609869,2.257880935,-0.9624070302,7.222791223,2.654854762,-0.2450454266
