T1P1T09_sup_data.tx,T1P1T09_sup_data.ty,T1P1T09_sup_data.tz,T1P1T09_sup_data.rx,T1P1T09_sup_data.ry,T1P1T09_sup_data.rz
4.25345257,0.6227238892,-1.442690056,10.70344307,-39.02913194,65.75124636
4.253152216,0.6226394539,-1.442449492,10.72297905,-39.0163305,65.71838103
4.252278459,0.6223916548,-1.44174967,10.77981099,-38.97908995,65.62249852
4.250872256,0.6219887525,-1.440623393,10.87127491,-38.91915593,65.46766906
4.248974564,0.6214390075,-1.439103467,10.99470679,-38.8382741,65.25796287
4.246626341,0.6207506803,-1.437222695,11.14744264,-38.73819011,64.99745018
4.243868544,0.6199320314,-1.435013881,11.32681848,-38.62064962,64.69020121
4.240742131,0.6189913212,-1.43250983,11.53017028,-38.48739826,64.34028619
4.237288059,0.6179368104,-1.429743346,11.75483407,-38.34018169,63.95177534
4.233547286,0.6167767594,-1.426747232,11.99814584,-38.18074557,63.52873889
4.229560768,0.6155194287,-1.423554294,12.25744159,-38.01083554,63.07524706
4.225369463,0.6141730787,-1.420197334,12.53005734,-37.83219726,62.59537007
4.221014329,0.6127459701,-1.416709158,12.81332907,-37.64657637,62.09317816
4.216536322,0.6112463633,-1.41312257,13.10459279,-37.45571853,61.57274154
4.211976401,0.6096825188,-1.409470373,13.40118451,-37.26136939,61.03813045
4.207375522,0.6080626972,-1.405785372,13.70044023,-37.0652746,60.4934151
4.202774644,0.6063951588,-1.402100371,13.99969594,-36.86917981,59.94266572
4.198214723,0.6046881643,-1.398448174,14.29628766,-36.67483067,59.38995254
4.193736716,0.6029499741,-1.394861585,14.58755139,-36.48397283,58.83934577
4.189381582,0.6011888487,-1.391373409,14.87082312,-36.29835194,58.29491566
4.185190277,0.5994130487,-1.38801645,15.14343886,-36.11971366,57.76073241
4.181203759,0.5976308344,-1.384823511,15.40273461,-35.94980363,57.24086626
4.177462986,0.5958504666,-1.381827397,15.64604638,-35.79036751,56.73938742
4.174008914,0.5940802055,-1.379060913,15.87071017,-35.64315094,56.26036614
4.170882501,0.5923283118,-1.376556862,16.07406198,-35.50989959,55.80787262
4.168124704,0.5906030459,-1.374348048,16.25343781,-35.39235909,55.3859771
4.165776481,0.5889126684,-1.372467276,16.40617366,-35.2922751,54.99874979
