frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz
1,7.561009318,3.181206033,0.1813179993,7.580835341,3.006703429,0.4122095682,7.579845361,2.994050725,0.4092519137,7.37241137,2.64452535,-0.03850148883,7.334927743,2.629702265,0.0657322139,7.445072648,2.788047227,0.1213415048,7.732327146,3.026620881,-0.1124480813,7.747420062,3.030214147,0.04028390486,7.41100829,2.684072432,0.6767819527,7.431124159,2.679717345,0.8248444706,7.54586259,2.840880386,0.7003182912
2,7.554219964,3.175800845,0.17693677,7.574542828,3.000691321,0.4084705649,7.573602506,2.989706965,0.4057122336,7.36588088,2.639312359,-0.0427498126,7.327801463,2.623051023,0.06333869593,7.438286771,2.782771511,0.1170622918,7.725376499,3.020892147,-0.116680955,7.741030847,3.024111888,0.03540585065,7.40230448,2.675951387,0.6641748478,7.425068129,2.673840292,0.8219299377,7.53931367,2.834785952,0.695431541
3,7.547438386,3.170628975,0.1726273772,7.568238337,2.994977756,0.4047715969,7.567347342,2.985528028,0.4022023749,7.359364591,2.634329761,-0.04694585711,7.32077467,2.616691752,0.06088394299,7.431547292,2.777622916,0.1128550826,7.718429418,3.015445047,-0.1208631257,7.734623748,3.018330382,0.03063915623,7.393643765,2.668192879,0.651871242,7.418980697,2.668245306,0.8189392674,7.532791942,2.829016377,0.6906699143
4,7.540664384,3.165701406,0.1683907009,7.561922318,2.989577553,0.4011135389,7.561080146,2.981522876,0.3987229128,7.352863679,2.629589883,-0.05109054391,7.313853924,2.610635225,0.05836438791,7.424857898,2.772604941,0.1087207045,7.711484288,3.010294262,-0.1249945266,7.728197786,3.012886315,0.02598407272,7.385017175,2.660805989,0.6398449861,7.412859638,2.662945072,0.8158656097,7.526299303,2.823588109,0.6860350392
5,7.53389774,3.161029082,0.164227595,7.555595195,2.984505495,0.3974972346,7.554801185,2.977700432,0.3952743981,7.346379301,2.625105017,-0.05518482202,7.307045761,2.604892195,0.05577643104,7.418222288,2.76772106,0.104659958,7.704539467,3.005454436,-0.1290751179,7.721751943,3.007796336,0.0214408214,7.376415679,2.653799772,0.6280699029,7.406702697,2.657952228,0.8127020843,7.519837608,2.818517572,0.6815285122
6,7.527143991,3.1565678,0.1601286722,7.549259602,2.979699478,0.3939124202,7.548513995,2.974026869,0.391851147,7.339912462,2.620827078,-0.05923294235,7.300332313,2.599419784,0.05312440006,7.411629669,2.762955458,0.1006644053,7.697604136,3.000867519,-0.1331124167,7.715294961,3.002995056,0.01700278917,7.367889402,2.647136405,0.6166533486,7.400523754,2.653214334,0.809465551,7.513405244,2.813743628,0.67713961
7,7.520409311,3.152257315,0.1560867283,7.542917735,2.975078407,0.3903512807,7.542220903,2.970452748,0.3884480762,7.33346304,2.616689869,-0.0632344863,7.293685337,2.594159173,0.05042169225,7.40506528,2.758286141,0.09672712848,7.690690976,2.996453539,-0.137110778,7.708837467,2.998392937,0.01266669365,7.359496627,2.640765556,0.6057333563,7.394339061,2.648662226,0.8061887423,7.506998445,2.80917835,0.6728577291
8,7.513694386,3.148084536,0.1521058806,7.536569286,2.970628587,0.3868183209,7.535920336,2.966963572,0.3850666278,7.327030444,2.612678533,-0.06718340916,7.287095744,2.58909724,0.04767830726,7.398526838,2.753707344,0.09285119867,7.683803529,2.992194272,-0.1410654301,7.702381189,2.993970416,0.008437741467,7.351240458,2.634677543,0.5953297559,7.388149861,2.644283458,0.802888573,7.500615758,2.804797994,0.6686846374
9,7.506999856,3.144036421,0.1481902545,7.530213892,2.966336368,0.3833180548,7.529610686,2.963544887,0.3817082528,7.320614046,2.608778266,-0.07107365655,7.280554385,2.584220922,0.04490426435,7.392012009,2.749213352,0.08903969813,7.676945292,2.988071547,-0.144971593,7.695927805,2.989707978,0.004321149916,7.343123916,2.628862764,0.5854623876,7.381957354,2.640065639,0.7995819657,7.494255675,2.800578861,0.6646221189
10,7.500326107,3.140157635,0.1443442442,7.523847696,2.96225533,0.3798506731,7.523289079,2.960230686,0.3783730214,7.314226386,2.605043467,-0.07491948156,7.274085527,2.579581588,0.04207616815,7.385530173,2.744818878,0.08529447183,7.670106944,2.984138301,-0.1488371538,7.68947266,2.985668112,0.0003255714214,7.335121769,2.623366965,0.5760713706,7.375753444,2.636061631,0.7962525057,7.48792579,2.796579889,0.6606809754
