ope_tip_data.tx,ope_tip_data.ty,ope_tip_data.tz,hyoid_tip_data.tx,hyoid_tip_data.ty,hyoid_tip_data.tz,lower_jaw_tip_data.tx,lower_jaw_tip_data.ty,lower_jaw_tip_data.tz,upper_jaw_tip_data.tx,upper_jaw_tip_data.ty,upper_jaw_tip_data.tz
-1.982180948,-0.5451599723,-2.32484132,3.41139875,0.5072542538,-0.3459583266,5.107935181,1.870606971,-0.04181641697,4.985375093,2.166538108,-0.05495443931
-1.982180948,-0.5451599723,-2.32484132,3.41139875,0.5072542538,-0.3459583266,5.107935181,1.870606971,-0.04181641697,4.985375093,2.166538108,-0.05495443931
-1.982225245,-0.5451159325,-2.324826103,3.411401319,0.5073118202,-0.3460588345,5.108059112,1.870549253,-0.0418578823,4.985378964,2.166570968,-0.05497537394
-1.98235614,-0.5449858665,-2.324781276,3.411409029,0.5074814078,-0.3463549254,5.108425803,1.870377827,-0.04198003692,4.98539037,2.166667773,-0.05503704622
-1.982570637,-0.5447728545,-2.324708072,3.411421884,0.5077583489,-0.34683845,5.109027601,1.870095286,-0.04217951877,4.985408996,2.166825858,-0.05513775877
-1.982865743,-0.5444799768,-2.324607725,3.411439886,0.5081379761,-0.3475012589,5.109856853,1.86970422,-0.0424529658,4.985434528,2.167042559,-0.05527581416
-1.983238461,-0.5441103134,-2.324481469,3.41146304,0.5086156218,-0.3483352029,5.110905906,1.869207223,-0.04279701595,4.985466652,2.167315211,-0.055449515
-1.983685797,-0.5436669447,-2.324330537,3.41149135,0.5091866185,-0.3493321328,5.112167108,1.868606887,-0.04320830718,4.985505054,2.16764115,-0.05565716389
-1.984204757,-0.5431529508,-2.324156164,3.411524818,0.5098462985,-0.3504838991,5.113632806,1.867905803,-0.04368347743,4.985549421,2.168017712,-0.05589706343
-1.984792345,-0.5425714119,-2.323959582,3.411563449,0.5105899944,-0.3517823527,5.115295347,1.867106563,-0.04421916464,4.985599438,2.168442232,-0.05616751621
-1.985445565,-0.5419254081,-2.323742027,3.411607246,0.5114130386,-0.3532193442,5.117147077,1.86621176,-0.04481200676,4.985654792,2.168912046,-0.05646682483
-1.986161425,-0.5412180198,-2.323504731,3.411656213,0.5123107636,-0.3547867244,5.119180345,1.865223986,-0.04545864175,4.985715169,2.169424489,-0.05679329189
-1.986936927,-0.540452327,-2.323248928,3.411710354,0.5132785018,-0.3564763439,5.121387498,1.864145833,-0.04615570754,4.985780254,2.169976898,-0.05714521998
-1.987769079,-0.5396314099,-2.322975853,3.411769671,0.5143115856,-0.3582800535,5.123760882,1.862979892,-0.04689984207,4.985849734,2.170566608,-0.05752091171
-1.988654883,-0.5387583489,-2.322686738,3.41183417,0.5154053476,-0.3601897038,5.126292845,1.861728756,-0.04768768331,4.985923296,2.171190955,-0.05791866967
-1.989591347,-0.5378362239,-2.322382818,3.411903852,0.5165551201,-0.3621971456,5.128975734,1.860395017,-0.04851586919,4.986000624,2.171847273,-0.05833679645
-1.990575474,-0.5368681154,-2.322065327,3.411978723,0.5177562357,-0.3642942297,5.131801895,1.858981268,-0.04938103766,4.986081405,2.1725329,-0.05877359467
-1.99160427,-0.5358571034,-2.321735498,3.412058785,0.5190040267,-0.3664728066,5.134763678,1.857490099,-0.05027982666,4.986165325,2.17324517,-0.0592273669
-1.99267474,-0.5348062681,-2.321394565,3.412144043,0.5202938256,-0.3687247271,5.137853427,1.855924103,-0.05120887415,4.986252071,2.173981419,-0.05969641576
-1.993783889,-0.5337186897,-2.321043762,3.412234499,0.521620965,-0.371041842,5.141063492,1.854285872,-0.05216481807,4.986341328,2.174738984,-0.06017904384
-1.994928722,-0.5325974484,-2.320684322,3.412330158,0.5229807771,-0.3734160019,5.144386218,1.852577999,-0.05314429636,4.986432782,2.175515198,-0.06067355373
