T1P1T17_inf_data.tx,T1P1T17_inf_data.ty,T1P1T17_inf_data.tz,T1P1T17_inf_data.rx,T1P1T17_inf_data.ry,T1P1T17_inf_data.rz
4.151668519,0.2920047652,-1.143322928,12.06703433,-33.42545964,54.84300088
4.151668519,0.2920047652,-1.143322928,12.06703433,-33.42545964,54.84300088
4.151668519,0.2920047652,-1.143322928,12.06703433,-33.42545964,54.84300088
4.151627626,0.2916268087,-1.142649361,12.03367279,-33.40074961,54.82988359
4.151571571,0.2911069991,-1.141726044,11.98794124,-33.36687742,54.81177661
4.151501043,0.2904507189,-1.140564331,11.93040196,-33.32425955,54.78882833
4.15141673,0.2896633506,-1.139175572,11.86161722,-33.27331245,54.76118715
4.151319323,0.2887502764,-1.13757112,11.78214928,-33.21445258,54.72900148
4.15120951,0.287716879,-1.135762328,11.69256043,-33.14809641,54.69241969
4.15108798,0.2865685406,-1.133760548,11.59341294,-33.0746604,54.6515902
4.150955424,0.2853106438,-1.131577131,11.48526908,-32.99456101,54.6066614
4.150812529,0.2839485709,-1.129223431,11.36869112,-32.9082147,54.55778169
4.150659986,0.2824877044,-1.1267108,11.24424134,-32.81603793,54.50509946
4.150498483,0.2809334268,-1.124050589,11.11248201,-32.71844716,54.44876311
4.150328709,0.2792911204,-1.121254151,10.9739754,-32.61585886,54.38892104
4.150151354,0.2775661676,-1.118332838,10.82928378,-32.50868948,54.32572164
4.149967107,0.275763951,-1.115298003,10.67896944,-32.39735549,54.25931332
4.149776658,0.2738898529,-1.112160997,10.52359464,-32.28227335,54.18984447
4.149580694,0.2719492558,-1.108933174,10.36372165,-32.16385952,54.11746348
4.149379907,0.2699475421,-1.105625884,10.19991275,-32.04253045,54.04231876
4.149174984,0.2678900942,-1.102250482,10.03273021,-31.91870262,53.9645587
4.148966615,0.2657822946,-1.098818318,9.862736305,-31.79279249,53.8843317
4.148755489,0.2636295257,-1.095340744,9.690493308,-31.66521651,53.80178615
4.148542296,0.2614371699,-1.091829115,9.516563493,-31.53639114,53.71707045
4.148327724,0.2592106096,-1.08829478,9.34150913,-31.40673285,53.63033301
4.148112463,0.2569552274,-1.084749094,9.165892495,-31.2766581,53.54172221
4.147897202,0.2546764055,-1.081203407,8.99027586,-31.14658335,53.45138646
4.14768263,0.2523795265,-1.077669073,8.815221498,-31.01692507,53.35947415
4.147469437,0.2500699728,-1.074157443,8.641291682,-30.8880997,53.26613368
4.147258311,0.2477531267,-1.07067987,8.469048686,-30.76052372,53.17151344
4.147049942,0.2454343708,-1.067247706,8.299054782,-30.63461358,53.07576183
4.14684502,0.2431190875,-1.063872303,8.131872243,-30.51078575,52.97902726
4.146644232,0.2408126592,-1.060565014,7.968063343,-30.38945669,52.88145811
4.146448269,0.2385204683,-1.05733719,7.808190355,-30.27104286,52.78320279
4.146257819,0.2362478972,-1.054200185,7.652815552,-30.15596072,52.68440969
4.146073572,0.2340003284,-1.05116535,7.502501207,-30.04462673,52.5852272
4.145896217,0.2317831444,-1.048244037,7.357809593,-29.93745735,52.48580374
4.145726444,0.2296017275,-1.045447599,7.219302983,-29.83486905,52.38628768
4.145564941,0.2274614601,-1.042787388,7.087543651,-29.73727828,52.28682744
4.145412397,0.2253677248,-1.040274756,6.963093869,-29.64510151,52.1875714
4.145269502,0.2233259039,-1.037921056,6.84651591,-29.5587552,52.08866797
4.145136946,0.2213413799,-1.03573764,6.738372048,-29.47865581,51.99026554
4.145015416,0.2194195352,-1.033735859,6.639224556,-29.40521979,51.8925125
4.144905603,0.2175657522,-1.031927067,6.549635707,-29.33886363,51.79555727
4.144808196,0.2157854134,-1.030322616,6.470167774,-29.28000376,51.69954823
4.144723884,0.2140839011,-1.028933857,6.40138303,-29.22905666,51.60463377
4.144653355,0.2124665979,-1.027772143,6.343843749,-29.18643879,51.51096231
4.1445973,0.2109388861,-1.026848827,6.298112202,-29.1525666,51.41868223
4.144556408,0.2095061482,-1.02617526,6.264750664,-29.12785656,51.32794193
4.144531366,0.2081737666,-1.025762795,6.244321408,-29.11272513,51.23888981
