T1P1T17_ope_data.tx,T1P1T17_ope_data.ty,T1P1T17_ope_data.tz,T1P1T17_ope_data.rx,T1P1T17_ope_data.ry,T1P1T17_ope_data.rz
-0.1768828219,1.395911552,-1.813321603,7.04566936,-5.933706381,19.89783057
-0.1768828219,1.395911552,-1.813321603,7.04566936,-5.933706381,19.89783057
-0.1768828219,1.395911552,-1.813321603,7.04566936,-5.933706381,19.89783057
-0.1768899697,1.396008848,-1.81356293,7.041484841,-5.928094008,19.89304983
-0.1768999083,1.396142705,-1.813895987,7.035710122,-5.920367956,19.88647606
-0.1769125982,1.396311764,-1.814318003,7.028393436,-5.910603958,19.87817805
-0.176928,1.396514664,-1.814826209,7.019583021,-5.898877747,19.86822461
-0.1769460743,1.396750045,-1.815417834,7.00932711,-5.885265056,19.85668454
-0.1769667817,1.397016549,-1.816090108,6.997673938,-5.869841617,19.84362665
-0.1769900826,1.397312814,-1.816840261,6.98467174,-5.852683165,19.82911973
-0.1770159377,1.397637481,-1.817665524,6.970368751,-5.83386543,19.81323259
-0.1770443075,1.39798919,-1.818563125,6.954813207,-5.813464148,19.79603403
-0.1770751526,1.398366582,-1.819530296,6.938053341,-5.79155505,19.77759286
-0.1771084336,1.398768296,-1.820564265,6.92013739,-5.768213869,19.75797787
-0.177144111,1.399192972,-1.821662263,6.901113587,-5.743516339,19.73725787
-0.1771821454,1.399639251,-1.822821519,6.881030168,-5.717538191,19.71550166
-0.1772224974,1.400105773,-1.824039265,6.859935368,-5.69035516,19.69277805
-0.1772651275,1.400591178,-1.825312728,6.837877421,-5.662042978,19.66915583
-0.1773099962,1.401094106,-1.826639141,6.814904563,-5.632677378,19.64470381
-0.1773570643,1.401613197,-1.828015732,6.791065029,-5.602334093,19.6194908
-0.1774062921,1.402147091,-1.829439731,6.766407053,-5.571088856,19.59358559
-0.1774576403,1.402694429,-1.830908368,6.740978871,-5.539017399,19.56705698
-0.1775110695,1.40325385,-1.832418874,6.714828716,-5.506195456,19.53997379
-0.1775665402,1.403823995,-1.833968478,6.688004825,-5.47269876,19.5124048
-0.177624013,1.404403503,-1.83555441,6.660555433,-5.438603043,19.48441883
-0.1776834484,1.404991016,-1.8371739,6.632528773,-5.403984038,19.45608468
-0.177744807,1.405585172,-1.838824178,6.603973081,-5.368917479,19.42747115
-0.1778080494,1.406184613,-1.840502474,6.574936593,-5.333479098,19.39864704
-0.1778731362,1.406787978,-1.842206017,6.545467542,-5.297744628,19.36968116
-0.1779400279,1.407393908,-1.843932039,6.515614164,-5.261789802,19.3406423
-0.178008685,1.408001042,-1.845677768,6.485424694,-5.225690353,19.31159928
-0.1780790682,1.40860802,-1.847440434,6.454947366,-5.189522014,19.28262088
-0.1781511379,1.409213484,-1.849217268,6.424230417,-5.153360518,19.25377592
-0.1782248549,1.409816072,-1.8510055,6.393322079,-5.117281598,19.2251332
-0.1783001796,1.410414426,-1.852802359,6.36227059,-5.081360986,19.19676152
-0.1783770726,1.411007185,-1.854605075,6.331124182,-5.045674416,19.16872969
-0.1784554944,1.411592989,-1.856410878,6.299931092,-5.01029762,19.14110649
-0.1785354057,1.412170478,-1.858216999,6.268739554,-4.975306332,19.11396075
-0.178616767,1.412738293,-1.860020667,6.237597804,-4.940776284,19.08736126
-0.1786995388,1.413295074,-1.861819112,6.206554075,-4.906783209,19.06137682
-0.1787836818,1.41383946,-1.863609563,6.175656604,-4.873402841,19.03607623
-0.1788691564,1.414370093,-1.865389252,6.144953625,-4.840710911,19.01152831
-0.1789559234,1.414885612,-1.867155407,6.114493372,-4.808783154,18.98780184
-0.1790439431,1.415384656,-1.868905259,6.084324082,-4.777695301,18.96496564
-0.1791331762,1.415865868,-1.870636038,6.054493988,-4.747523087,18.94308851
-0.1792235833,1.416327885,-1.872344974,6.025051326,-4.718342243,18.92223924
-0.1793151249,1.416769349,-1.874029296,5.996044331,-4.690228502,18.90248665
-0.1794077616,1.4171889,-1.875686234,5.967521237,-4.663257599,18.88389952
-0.179501454,1.417585178,-1.877313019,5.93953028,-4.637505265,18.86654668
-0.1795961625,1.417956823,-1.87890688,5.912119694,-4.613047233,18.85049691
-0.1796918479,1.418302475,-1.880465047,5.885337715,-4.589959236,18.83581903
-0.1797922532,1.418621608,-1.882013902,5.858179596,-4.567414557,18.82219768
-0.1799008666,1.418915478,-1.883581214,5.829660923,-4.544557107,18.80925527
-0.1800172659,1.419185398,-1.885166297,5.799860429,-4.521418567,18.79696724
-0.180141029,1.419432682,-1.886768465,5.768856847,-4.498030617,18.78530899
-0.1802717338,1.419658644,-1.888387031,5.736728909,-4.474424937,18.77425598
-0.1804089581,1.419864595,-1.890021309,5.703555349,-4.450633208,18.76378361
-0.1805522797,1.420051849,-1.891670612,5.669414898,-4.42668711,18.75386733
-0.1807012766,1.420221721,-1.893334255,5.63438629,-4.402618323,18.74448255
-0.1808555266,1.420375523,-1.89501155,5.598548257,-4.378458527,18.7356047
-0.1810146075,1.420514567,-1.896701812,5.561979533,-4.354239402,18.72720922
-0.1811780973,1.420640169,-1.898404353,5.524758849,-4.329992629,18.71927153
