frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz,F15_data.tx,F15_data.ty,F15_data.tz,F16_data.tx,F16_data.ty,F16_data.tz
1,7.402455235,2.860518732,-0.07332129936,7.278135528,2.672653758,0.07320070038,7.301947776,2.643540825,0.06993587954,7.279348793,2.523694074,0.3023512168,7.133401374,2.442265277,0.3530353185,7.430439395,2.784962565,-0.6248493829,7.459591003,2.826739733,-0.2981221495,7.463316909,2.763856291,0.3865706594,7.045807007,2.399353285,0.04178963707,7.41458352,2.705747588,-0.238032634,7.04448199,2.288557729,0.2704185057,7.630790434,2.957208537,-0.4841829052,7.543522599,2.851626246,0.1230097846,7.318002809,2.609052856,-0.2158579176,7.138765529,2.383900956,0.6900215643,7.07054339,2.329318162,0.3704272528,6.956653375,2.18699301,0.5119935638,7.457292375,2.795029075,-0.4409872378,7.070888862,2.361524026,-0.2661087963
2,7.398736461,2.859180803,-0.07330033983,7.274347574,2.671363879,0.07388862859,7.290996871,2.651479462,0.07180865618,7.275567777,2.52046013,0.3034766219,7.134303303,2.435683914,0.3564598555,7.432069584,2.78576351,-0.6211921173,7.454387159,2.824026395,-0.2976734768,7.459757178,2.761841899,0.3886251644,7.043404175,2.394439147,0.04484820607,7.414553123,2.705236123,-0.229285604,7.04404268,2.287403641,0.2658823216,7.627926779,2.957067026,-0.4839775406,7.539786416,2.851105524,0.1242017642,7.312080915,2.608221627,-0.2236007536,7.137985739,2.382772205,0.6945351785,7.069315875,2.322871537,0.370220961,6.953875236,2.18596277,0.5101308863,7.45312337,2.792012355,-0.4462931245,7.064849838,2.364300632,-0.2641719243
3,7.395150292,2.857776321,-0.07330051484,7.27077439,2.669631943,0.07444612012,7.28153193,2.657174754,0.07327387436,7.271832185,2.51745124,0.3044500266,7.134342364,2.430567903,0.3585324711,7.43261506,2.785937722,-0.6181979209,7.44998743,2.821866541,-0.2967659351,7.456403243,2.760119138,0.3900513543,7.041092427,2.389753397,0.04706104433,7.413888763,2.704798041,-0.2226870079,7.043065922,2.285743266,0.2636411851,7.624968272,2.956380497,-0.4833514183,7.53637364,2.850210335,0.1247914149,7.305823566,2.607378315,-0.229718995,7.136744359,2.381554218,0.6987904466,7.067636711,2.316853366,0.3699525444,6.951122954,2.185019959,0.508722626,7.448325631,2.788143721,-0.4523632549,7.059672425,2.365834474,-0.2623967297
4,7.391694308,2.856238845,-0.07335501047,7.267355103,2.667526307,0.07485639312,7.273443195,2.660826313,0.07434843838,7.268126442,2.514623839,0.3052603829,7.133629742,2.42664223,0.3594465502,7.432323393,2.785593731,-0.615840896,7.446146732,2.820145878,-0.2954613545,7.453234855,2.758624547,0.3909542952,7.038879454,2.385288211,0.04855130845,7.412541001,2.704225463,-0.2183492347,7.041640054,2.283638231,0.2633677011,7.621931357,2.955204723,-0.4823780927,7.533150314,2.849032482,0.1249534844,7.299461943,2.606485682,-0.2338857967,7.135025662,2.38014553,0.7025650324,7.065563431,2.311307045,0.3696594922,6.94824883,2.183938123,0.5078163365,7.443216378,2.783767549,-0.4585145663,7.05537783,2.366344953,-0.2607548815
5,7.388351321,2.854546786,-0.07346566741,7.264070696,2.665108116,0.07514549802,7.266581769,2.662702525,0.0750979028,7.264425447,2.511968188,0.3058552917,7.132318687,2.423712043,0.3593660653,7.431348917,2.784766862,-0.6140816015,7.44266684,2.818694089,-0.2939168307,7.450210022,2.757195707,0.391433883,7.036905,2.380739283,0.04950732493,7.410600973,2.70343064,-0.2159815378,7.039858072,2.281210018,0.2645561477,7.618803121,2.953608523,-0.4811829815,7.529954861,2.847575125,0.1248082756,7.293161928,2.605502926,-0.2362876571,7.132832926,2.378489116,0.7056001135,7.063230427,2.306196238,0.3693396548,6.945270336,2.182692149,0.5073589015,7.438019283,2.779089617,-0.4644309075,7.05190614,2.366034943,-0.2592039727
6,7.385133516,2.852720766,-0.07357752374,7.260926657,2.662374511,0.07532792108,7.260966846,2.662629257,0.07547166219,7.260702557,2.50952238,0.3062179849,7.130240209,2.422089077,0.3579721942,7.429598811,2.783284767,-0.612919376,7.439679612,2.817616643,-0.2920610719,7.447276284,2.755936674,0.3912469747,7.035056187,2.376287971,0.04974798053,7.408053437,2.702621067,-0.2155970077,7.037611772,2.278329255,0.2675941585,7.615527786,2.951578533,-0.4797351256,7.527175671,2.845621202,0.1241534996,7.28678901,2.604383155,-0.2370819701,7.130177284,2.376599138,0.7081085366,7.060622424,2.30149078,0.368982342,6.942321139,2.181434518,0.507454702,7.43252738,2.77404428,-0.4704159677,7.049405051,2.364558709,-0.2576518109
7,7.382089445,2.850754576,-0.073635962,7.258068414,2.658843166,0.07535575947,7.257241292,2.659845658,0.07548907795,7.256991978,2.5074778,0.3060804454,7.127587806,2.421818107,0.3552574486,7.426658544,2.781381472,-0.6125907042,7.437334108,2.81740432,-0.2891504611,7.44477978,2.754669966,0.3910199572,7.033257587,2.372302148,0.04913067944,7.404784994,2.70114322,-0.2188724453,7.034959468,2.275044746,0.2726309014,7.612307658,2.948899194,-0.4775395798,7.524252329,2.843569181,0.1231778585,7.279985517,2.603455773,-0.2349064925,7.127055392,2.374580373,0.7099056431,7.057407726,2.297424194,0.3684822814,6.939054081,2.179896798,0.5082228714,7.42679489,2.767435384,-0.4768530464,7.048120464,2.362247771,-0.2561365663
8,7.379116989,2.848614967,-0.07379274902,7.255310238,2.655152908,0.07532378632,7.254460873,2.655937898,0.07535599879,7.253308821,2.505509417,0.3058493842,7.124656579,2.421962,0.3521788348,7.423305565,2.779202422,-0.6127407345,7.435039732,2.817068129,-0.2863805087,7.442382166,2.753224848,0.3907012739,7.031976532,2.36760692,0.04850306258,7.401086411,2.699292037,-0.2233176005,7.032165155,2.271696085,0.2781818122,7.609027893,2.945918266,-0.4753607331,7.520792264,2.841447141,0.122231483,7.273595967,2.602405142,-0.2313362918,7.123461037,2.37226715,0.7105749001,7.054150012,2.29371285,0.3680279131,6.935640866,2.178096595,0.5092079497,7.421375697,2.760947389,-0.482422481,7.047275425,2.359664745,-0.2548018265
9,7.376140256,2.845918904,-0.07434005317,7.252591482,2.651614283,0.07526138754,7.252384609,2.651866837,0.07528325618,7.24952428,2.503215565,0.3055126541,7.12176151,2.420763217,0.3503819235,7.420944379,2.777024182,-0.6131243612,7.431557964,2.815824702,-0.2841753621,7.44040917,2.751165253,0.3907810631,7.032854142,2.359922066,0.04865308495,7.397066246,2.695522159,-0.2287886256,7.029814488,2.268934101,0.2819971804,7.605667571,2.942811332,-0.4736095088,7.515156403,2.839924946,0.1224191313,7.269118469,2.601024014,-0.2249742635,7.118945901,2.369091781,0.7081779674,7.051339558,2.290605209,0.3677731316,6.931445646,2.17528753,0.5104134674,7.418080364,2.756020057,-0.4845641764,7.047051049,2.358538654,-0.2532769853
10,7.373079134,2.84326227,-0.07519639334,7.249423882,2.649088889,0.07525900359,7.249306244,2.64923756,0.07527210386,7.245752173,2.500824736,0.305892317,7.119113848,2.419486618,0.3485861008,7.419056236,2.774590136,-0.6137921509,7.427319351,2.812751592,-0.2846265015,7.437106808,2.748838458,0.3899252389,7.03404369,2.350395695,0.05029649724,7.392877884,2.693208979,-0.2306448001,7.027486151,2.266454939,0.2853253845,7.601844571,2.940040717,-0.4735298197,7.509607998,2.837595234,0.1224188882,7.26613781,2.598877888,-0.2206005849,7.113997649,2.365257896,0.7040567222,7.049654336,2.287226657,0.3678668282,6.927934146,2.172640693,0.5112801066,7.415552127,2.754600245,-0.4835665445,7.046020928,2.35745999,-0.2523892156
