frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz
1,7.378237593,2.852387642,-0.1854591268,7.245889637,2.803742772,-0.3738355786,7.245889637,2.803742772,-0.3738355786,7.148171114,2.393109331,-0.06266278343,7.412698148,2.65880588,0.1970313281,7.417725972,2.723263012,-0.02888726397,7.387339436,2.641483963,0.07901351319,7.475442062,2.786799328,0.07200905335,7.300416275,2.541883841,0.03096005245,7.372009584,2.642887621,-0.05924457473,7.497123247,2.826033208,-0.0390070339,7.487695203,2.747956479,0.02859422242,7.481201575,2.79293116,-0.5030278004
2,7.372908916,2.839061124,-0.18403633,7.242395121,2.78680785,-0.3707873366,7.242395121,2.78680785,-0.3707873366,7.139851531,2.375614442,-0.05694857531,7.408612436,2.640770807,0.199804315,7.415938701,2.708528684,-0.02628493275,7.384259521,2.62697953,0.08457586695,7.473680814,2.771362994,0.07487519985,7.298292541,2.531360355,0.02980694205,7.367456514,2.62900995,-0.06012352107,7.491635922,2.812173478,-0.03675610773,7.483363158,2.737018518,0.03865092029,7.477430644,2.778233926,-0.5005443634
3,7.367567551,2.825645324,-0.1823129845,7.23838332,2.770171799,-0.3673306215,7.23838332,2.770171799,-0.3673306215,7.131183278,2.357924921,-0.05119911668,7.404081191,2.623063598,0.2029934638,7.413427898,2.69355329,-0.02323095178,7.380850693,2.612418827,0.09048345785,7.471381711,2.7560709,0.07834285239,7.295526275,2.520440038,0.02878796473,7.362911435,2.615310529,-0.06039835542,7.486142656,2.798338717,-0.03413146028,7.478899154,2.725892057,0.04875611189,7.473427472,2.763567167,-0.4975344279
4,7.36213472,2.81209424,-0.1803480981,7.233743783,2.753822846,-0.3635862047,7.233743783,2.753822846,-0.3635862047,7.122255947,2.340142155,-0.04570362399,7.39901292,2.605548343,0.2064607486,7.410256492,2.678488584,-0.01984528921,7.376978934,2.597800552,0.0964255247,7.468609936,2.740900065,0.0823131632,7.292163635,2.509092805,0.02813797289,7.358211937,2.601732131,-0.06008231043,7.48065826,2.784357446,-0.0311951851,7.47428368,2.714611982,0.05871836739,7.469161741,2.74898054,-0.4942087784
5,7.356636602,2.798485398,-0.1781395577,7.228513246,2.737816154,-0.359523742,7.228513246,2.737816154,-0.359523742,7.113026374,2.3222777,-0.04039060468,7.393438252,2.588325775,0.2102160458,7.406369333,2.663314836,-0.01611358688,7.37270776,2.583206934,0.1024684437,7.465383529,2.72588685,0.08684420935,7.288124613,2.497311961,0.02779107664,7.353429813,2.588371546,-0.05912810062,7.475267274,2.770254051,-0.02795956371,7.469615668,2.703158946,0.06855776225,7.464622406,2.734496,-0.4905240748
6,7.351020368,2.784705115,-0.1757068768,7.22264224,2.722062269,-0.3552094016,7.22264224,2.722062269,-0.3552094016,7.103571498,2.30432539,-0.03541067735,7.387298306,2.571242508,0.2142162439,7.401857603,2.648082775,-0.01207995016,7.367925477,2.568526861,0.1084432694,7.461705369,2.710961011,0.09183874546,7.283522768,2.485095961,0.02788071277,7.348445026,2.575083632,-0.05762093269,7.469878354,2.755946858,-0.02442879737,7.464762425,2.69155522,0.07822589711,7.45982058,2.720084433,-0.4865705041
7,7.345296263,2.770769654,-0.1729971983,7.216280332,2.706490282,-0.3505414721,7.216280332,2.706490282,-0.3505414721,7.093849083,2.286203679,-0.03059170759,7.380602727,2.55443246,0.2185780237,7.396719892,2.632698476,-0.007638634472,7.36265751,2.553779373,0.1143155904,7.457630892,2.69598982,0.09737523825,7.278317483,2.472418734,0.02839758365,7.343357837,2.561862315,-0.05562406951,7.464598368,2.741391673,-0.02057527124,7.4597203,2.67977234,0.08797021714,7.454754901,2.705658465,-0.482128977
8,7.33944053,2.756615048,-0.1700769193,7.209252384,2.691140255,-0.3456569472,7.209252384,2.691140255,-0.3456569472,7.083931837,2.267988517,-0.02617368278,7.3733258,2.537697121,0.223159896,7.390990369,2.617270202,-0.002920660192,7.356839651,2.538897042,0.1200537545,7.453097685,2.681086707,0.1033300491,7.272599018,2.459310858,0.02938636623,7.3380245,2.54865889,-0.05310876784,7.459272589,2.72661251,-0.01643257545,7.45443564,2.667847993,0.09751279615,7.449434307,2.69129362,-0.4774648243
9,7.33396973,2.742471771,-0.1666620675,7.201561091,2.676431674,-0.3401914708,7.201561091,2.676431674,-0.3401914708,7.073599145,2.249577361,-0.02150580409,7.365926574,2.521533259,0.2284186304,7.384309218,2.601319963,0.002467622361,7.350988176,2.52414237,0.1259223013,7.447830909,2.666604178,0.1100874173,7.266190945,2.445900933,0.03008800238,7.333131496,2.536073243,-0.04970729909,7.453799295,2.71231177,-0.01174123764,7.448934892,2.656024167,0.1072815807,7.443931683,2.676954435,-0.4720414843
10,7.328377385,2.728105033,-0.1630750639,7.193076249,2.662023753,-0.3345885219,7.193076249,2.662023753,-0.3345885219,7.06311066,2.231145942,-0.01739785614,7.357951824,2.50534707,0.2338009561,7.377031856,2.585399491,0.008048176638,7.344583477,2.509256312,0.1316651296,7.442067481,2.652293637,0.1171973842,7.259285518,2.432070717,0.03127174686,7.327934478,2.523536235,-0.04571236947,7.448217646,2.697806902,-0.006782984998,7.443214824,2.64407254,0.1166415437,7.438170833,2.662746971,-0.4665705253
