frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz
1,7.025716056,2.618795482,-0.367095836,6.855562795,2.683773305,-0.5119469726,6.869689767,2.647929664,-0.5268309828,6.825703801,2.527707038,-1.145774886,6.762639292,2.397208629,-0.8878523411,6.880266333,2.469865838,-0.8079156812,6.83251179,2.32025638,-0.6722130764,6.804594148,2.234129805,-0.4289947289,6.914055271,2.351491326,-0.3699537486,6.976285063,2.397021764,-0.2628555074,7.079713416,2.429247503,-0.01195418283,7.099441477,2.48451465,-0.1408406281,7.15797333,2.491792268,0.01740313664,7.160893924,2.751199385,-0.7555718718,7.227834734,2.918128653,-0.9467324771,7.263199699,2.927768416,-0.8200842687
2,7.022563826,2.612754336,-0.3596364538,6.848798729,2.677228222,-0.5056415749,6.863431888,2.64976824,-0.5170796977,6.823507391,2.519130539,-1.138616256,6.761531372,2.390630599,-0.8763913907,6.876392101,2.463387106,-0.7998013582,6.821654218,2.319487922,-0.6640322904,6.806600427,2.227044687,-0.4216793451,6.914716598,2.342163547,-0.3627663431,6.977425575,2.388283809,-0.2571557381,7.072491962,2.421398929,-0.003360160136,7.09203642,2.48053105,-0.1316123581,7.155481936,2.487782377,0.03382207041,7.156945585,2.747395689,-0.7545158798,7.224948871,2.91277756,-0.9326226328,7.261346092,2.924421831,-0.8136107509
3,7.019507562,2.606633346,-0.3518302286,6.842980169,2.671105839,-0.4988029229,6.859083414,2.648705789,-0.508112349,6.820973589,2.510666583,-1.131215519,6.760478018,2.384288637,-0.8658096598,6.87286271,2.457664922,-0.791932814,6.812285132,2.317535434,-0.6552614992,6.806907828,2.220188678,-0.414228655,6.915243159,2.332629034,-0.3552484742,6.977340888,2.379965585,-0.2509099825,7.066715156,2.413667239,0.004960950379,7.086165456,2.475793851,-0.1222359866,7.152306569,2.484132843,0.04638469413,7.153257848,2.74306268,-0.752076848,7.221865933,2.907213595,-0.9197474874,7.259092572,2.920726779,-0.8064910576
4,7.016413211,2.600631408,-0.3438684343,6.83790707,2.665425279,-0.491571183,6.856328155,2.645183251,-0.4998745893,6.818077108,2.50248694,-1.123683773,6.759507113,2.378288796,-0.8561583185,6.869587954,2.452621949,-0.7843748067,6.804397836,2.314551869,-0.6460247436,6.805782262,2.213577994,-0.4067523611,6.915367685,2.323165792,-0.3475174448,6.976379044,2.372195019,-0.2441819883,7.062219038,2.406122548,0.01286190522,7.081502192,2.470554311,-0.1129566311,7.14852359,2.480818642,0.05543970395,7.149618881,2.738417002,-0.7484697801,7.218651981,2.901580709,-0.9081770982,7.256600592,2.916588221,-0.7989123281
5,7.013237175,2.594773497,-0.3358421312,6.833412702,2.66003357,-0.4840754051,6.854717229,2.639690473,-0.4922428351,6.814927269,2.494699654,-1.11606604,6.758619241,2.372577087,-0.8474436357,6.866456468,2.447987562,-0.7770737596,6.79790407,2.310599412,-0.6365255028,6.8035598,2.207110463,-0.3993001791,6.91495205,2.313934682,-0.3396532734,6.97469834,2.364963128,-0.2370201761,7.05871759,2.398853624,0.02036352954,7.077686075,2.464975276,-0.1038689101,7.144250348,2.477709663,0.06143798861,7.146008731,2.733543868,-0.7436847236,7.215373946,2.895952029,-0.8979101489,7.253979614,2.912039349,-0.7910272356
6,7.010084639,2.588869476,-0.327271753,6.829857199,2.655105629,-0.4758887493,6.854789991,2.631486282,-0.4851948935,6.811716093,2.486992237,-1.108220813,6.757917827,2.367075226,-0.839530955,6.863602326,2.444113625,-0.7698005819,6.79292586,2.305533502,-0.6263219171,6.799791502,2.2009249,-0.3916405101,6.914760044,2.304177393,-0.3314573144,6.972115657,2.357948614,-0.2291629218,7.056712478,2.391542733,0.02760645844,7.075355699,2.458630368,-0.09466815541,7.139443119,2.474962411,0.06400112431,7.142571918,2.728278175,-0.7374271505,7.211955134,2.890129034,-0.8884143658,7.25106808,2.907075356,-0.7823623422
7,7.006992465,2.58326459,-0.3194924427,6.826427915,2.650020375,-0.4679406178,6.856279648,2.62103072,-0.4790098263,6.807233807,2.479811563,-1.100062451,6.757104945,2.362430832,-0.8331435981,6.860963947,2.440618798,-0.7639369252,6.789525349,2.299085838,-0.6160432623,6.794568103,2.194345403,-0.3841620294,6.91198143,2.296264455,-0.3226215418,6.969155946,2.351906842,-0.2214159672,7.055616731,2.385523743,0.03447276887,7.073697149,2.45233901,-0.08544623299,7.133591448,2.472443859,0.06160168669,7.138873118,2.722647,-0.7305206476,7.208701232,2.884321215,-0.8824695537,7.248364211,2.901843507,-0.7738814536
8,7.003612771,2.578051914,-0.3121759684,6.823028032,2.644961184,-0.4603280289,6.857651289,2.61025804,-0.4732543726,6.802600377,2.473582981,-1.092107303,6.756223562,2.357943653,-0.8276730259,6.85816788,2.436735424,-0.7582332477,6.787178649,2.292088042,-0.6062812021,6.789318563,2.187770257,-0.3770174364,6.907961252,2.289449319,-0.3141307748,6.965612296,2.34680986,-0.2134920347,7.054486106,2.380098741,0.04082126891,7.071668484,2.446383942,-0.07695523451,7.127595101,2.46976139,0.05769235037,7.135088955,2.717133129,-0.7226753831,7.205481934,2.878873577,-0.8779102397,7.245716356,2.896234579,-0.7657918493
9,6.99862759,2.573801291,-0.3057040683,6.818843033,2.639467876,-0.4538059069,6.85623426,2.601583477,-0.4675601123,6.799052503,2.468603196,-1.085606206,6.756331101,2.353051138,-0.8237647499,6.854454001,2.430834234,-0.7522947822,6.786056508,2.284745477,-0.5982990047,6.786646172,2.180933325,-0.371305157,6.902910402,2.283234045,-0.3076176164,6.963180312,2.342412661,-0.205240667,7.051948221,2.37412822,0.04563812051,7.066865075,2.441469025,-0.07142749183,7.122636349,2.466187042,0.05498649748,7.130586917,2.712509869,-0.7134908798,7.202521832,2.874586993,-0.8745936861,7.244361511,2.889739627,-0.7588926737
10,6.994100064,2.569830666,-0.2983499161,6.815053833,2.634485017,-0.4469284731,6.852868882,2.59558984,-0.4609877746,6.797081673,2.466071651,-1.078306883,6.755610398,2.3469515,-0.8186777031,6.850013514,2.4237323,-0.7432313016,6.785301296,2.278303876,-0.5912680217,6.78549862,2.174864663,-0.3646734432,6.898646057,2.278240738,-0.3014785587,6.956730058,2.339863663,-0.1959024048,7.047981472,2.369680228,0.05127745276,7.060671213,2.437649791,-0.06553791793,7.118206486,2.462637923,0.05553407751,7.127255207,2.70871709,-0.7017910591,7.199355418,2.870729825,-0.8669767585,7.241278683,2.88229335,-0.7523414667
11,6.989895557,2.565855225,-0.2913428627,6.811290165,2.629841644,-0.4403870725,6.848637065,2.590894328,-0.4545278354,6.795195735,2.46464968,-1.071307415,6.753830546,2.341035292,-0.8132974105,6.845367942,2.416480532,-0.7336757525,6.784073684,2.272615749,-0.5847474167,6.784319941,2.169382155,-0.3579386369,6.894431867,2.273872704,-0.2959176664,6.950009621,2.337776662,-0.1867807557,7.043563722,2.365720613,0.05675256378,7.054305541,2.434127563,-0.05986392306,7.114039528,2.458466608,0.05835964064,7.124159883,2.705272616,-0.6903061205,7.19605668,2.867133977,-0.8588531368,7.237573366,2.875384415,-0.7461378103
12,6.986990253,2.561806459,-0.2863045515,6.807470199,2.626789109,-0.435553874,6.8446898,2.587867335,-0.4500027915,6.79232345,2.464742163,-1.066002673,6.748686086,2.337338064,-0.8074042563,6.840700468,2.410549919,-0.7246622391,6.780024107,2.269701541,-0.5791007137,6.78114544,2.165674896,-0.3517425218,6.890112601,2.271041395,-0.2920780128,6.943089398,2.336872266,-0.1795903271,7.038603882,2.36254231,0.06052709911,7.049055784,2.430881531,-0.054665263,7.109753532,2.453065208,0.06480810782,7.121450377,2.702635414,-0.6825332883,7.191996999,2.86446647,-0.8524500308,7.232127744,2.870950235,-0.7411714579
13,6.984347513,2.557301133,-0.2814108829,6.803774963,2.623544437,-0.4306569352,6.840757804,2.584907349,-0.4453773737,6.788637005,2.464859592,-1.060698179,6.742803321,2.333355809,-0.8008807134,6.836275978,2.404864015,-0.7161300392,6.775537335,2.266973493,-0.5732269018,6.777465096,2.162137799,-0.3453905087,6.885901549,2.267943322,-0.288128898,6.937263993,2.335104251,-0.1727697041,7.033835914,2.359057711,0.06480976885,7.044426756,2.427209661,-0.04929868102,7.10586571,2.446995766,0.07356535917,7.118797804,2.699407278,-0.6758265798,7.187956856,2.861204583,-0.8458063894,7.226828501,2.8672503,-0.7360039166
14,6.98213509,2.551763616,-0.276195978,6.800129646,2.619402683,-0.4245737218,6.83710774,2.581229099,-0.4391451033,6.783612186,2.464574905,-1.054710942,6.736368684,2.328695819,-0.7929918085,6.83241913,2.399833609,-0.708695756,6.770767431,2.264023002,-0.5653895228,6.772560743,2.158265566,-0.3382930737,6.881984418,2.263296025,-0.2825331649,6.936486295,2.330022118,-0.1661984762,7.031488325,2.354432591,0.07148890759,7.042039525,2.422238871,-0.04281619421,7.102851826,2.440099895,0.08674488016,7.114924434,2.694872529,-0.6720435959,7.184669737,2.855621337,-0.8375703421,7.22289056,2.863714015,-0.7299530721
15,6.979063437,2.544717889,-0.269004252,6.796904086,2.612888216,-0.4164555016,6.833746836,2.575173629,-0.4312560434,6.774817152,2.46203485,-1.046252415,6.731478096,2.320665299,-0.783826337,6.829728471,2.394955464,-0.7032654151,6.7670532,2.257596718,-0.5557050358,6.767625228,2.1525951,-0.3295930133,6.878159053,2.255987704,-0.274610674,6.939024946,2.321730511,-0.1585064607,7.02879836,2.348250911,0.08102524507,7.039330027,2.415647586,-0.03475398131,7.099891524,2.43248252,0.09977968517,7.111753126,2.686950634,-0.6660673487,7.181746071,2.84747795,-0.828120576,7.221060174,2.862876488,-0.720410878
16,6.975710525,2.537665913,-0.2615010683,6.793760385,2.605984707,-0.4080614682,6.830575611,2.568552935,-0.4231001447,6.766084089,2.457837489,-1.037659759,6.72738661,2.312418236,-0.7747286774,6.827599765,2.390269694,-0.6985946965,6.763709785,2.250571655,-0.5459919503,6.762879525,2.146790677,-0.3205693368,6.874654055,2.248127595,-0.2663132348,6.941762353,2.312500824,-0.1511098498,7.02577894,2.341629052,0.09030555565,7.036587261,2.408804055,-0.02649231927,7.097030607,2.42507535,0.112181908,7.108847112,2.678638501,-0.6594168886,7.178899912,2.839343439,-0.8190865202,7.219786679,2.861864443,-0.7103422274
17,6.971290086,2.531012813,-0.2529475741,6.790740168,2.598323406,-0.3990562937,6.827717356,2.560454291,-0.4143689742,6.759134737,2.449752846,-1.028756887,6.724991633,2.302544925,-0.7656831309,6.8261608,2.384383269,-0.6936511631,6.761486921,2.241872562,-0.5365583161,6.759345297,2.140797074,-0.3100732092,6.8715971,2.239408621,-0.2577425128,6.941096016,2.302509539,-0.1433351777,7.020545553,2.334028283,0.09768530317,7.03236232,2.401792906,-0.01807407224,7.094237364,2.418971196,0.1217285892,7.106598587,2.669518574,-0.649187466,7.175544814,2.83156368,-0.8101695577,7.219302119,2.857908641,-0.6997297389
18,6.96751558,2.527574636,-0.246716897,6.787713555,2.594263862,-0.392567935,6.825572407,2.555225235,-0.4079672649,6.755994884,2.44240926,-1.022797229,6.725213445,2.298841363,-0.7598033688,6.825445884,2.381100617,-0.6892268498,6.760673449,2.237124858,-0.5310335132,6.757946347,2.137116832,-0.3027497534,6.869614567,2.234491129,-0.2517577768,6.935376682,2.297470637,-0.1383979436,7.015926527,2.32893072,0.1015438929,7.028398527,2.398060392,-0.01206251811,7.0911937,2.41501602,0.1274058475,7.10527527,2.665951843,-0.6392427323,7.172663146,2.829157221,-0.8034168844,7.216769357,2.851838776,-0.6925190447
19,6.963779519,2.525002508,-0.2409766925,6.784579115,2.591229366,-0.3868398841,6.823331348,2.55107817,-0.4023026044,6.754287674,2.435279077,-1.017808338,6.725947003,2.296934356,-0.7549647296,6.824406792,2.3782049,-0.684515812,6.760158251,2.23351659,-0.5263243564,6.757015546,2.133857639,-0.2968112329,6.867773704,2.230563949,-0.2463325234,6.928035504,2.293298255,-0.1342889267,7.011706777,2.324660465,0.1048652948,7.024587353,2.394953234,-0.006840484364,7.087994881,2.411767688,0.1316978013,7.103750673,2.663991733,-0.629795158,7.169794686,2.828237802,-0.7977243563,7.213161947,2.845057697,-0.6864167089
20,6.960416899,2.523552122,-0.2371975125,6.780845118,2.590227526,-0.3838682948,6.820224493,2.549800155,-0.3991676624,6.755742574,2.429435102,-1.016360816,6.725619967,2.299943392,-0.7531753552,6.822112113,2.375393404,-0.6794400615,6.758291484,2.233201719,-0.5234177928,6.75543175,2.131515103,-0.2951525552,6.866152958,2.227887861,-0.2431452933,6.919718422,2.290564202,-0.1325665792,7.009121299,2.321622775,0.1064047108,7.022109709,2.392004115,-0.004023428721,7.084624401,2.408596555,0.1334846914,7.101114661,2.66536108,-0.6240359674,7.166980491,2.830360219,-0.7966087725,7.206777985,2.839511497,-0.6830658403
21,6.957180912,2.520361594,-0.2321697627,6.776852164,2.587662494,-0.3795863887,6.816322303,2.547811002,-0.3946997343,6.755892931,2.424366657,-1.013089989,6.724561801,2.299413659,-0.749806145,6.817978141,2.370518595,-0.6724293234,6.756897173,2.231070307,-0.5182258388,6.754002339,2.126764171,-0.2932588015,6.863445457,2.224416444,-0.2378282689,6.91314497,2.283670614,-0.1293152226,7.007769922,2.318605154,0.1124385562,7.020179605,2.387929286,0.0004317012547,7.081000264,2.405303616,0.1387632568,7.097108684,2.664195261,-0.6190182271,7.163861948,2.829277121,-0.7949206147,7.200240161,2.830890402,-0.6798915484
